timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/03/17 16:16:45.248, 0, 0, 34.71, 1215, 765
2025/03/17 16:16:46.265, 0, 0, 34.61, 1215, 765
2025/03/17 16:16:47.270, 0, 0, 34.62, 1215, 765
2025/03/17 16:16:48.273, 0, 0, 34.31, 1215, 765
2025/03/17 16:16:49.279, 0, 0, 34.72, 1215, 765
2025/03/17 16:16:50.284, 0, 0, 34.51, 1215, 765
2025/03/17 16:16:51.287, 0, 0, 34.41, 1215, 765
2025/03/17 16:16:52.293, 0, 0, 34.71, 1215, 765
2025/03/17 16:16:53.297, 0, 0, 34.51, 1215, 765
2025/03/17 16:16:54.300, 0, 0, 34.62, 1215, 765
2025/03/17 16:16:55.304, 0, 0, 34.41, 1215, 765
2025/03/17 16:16:56.307, 0, 0, 34.61, 1215, 765
2025/03/17 16:16:57.313, 0, 0, 34.62, 1215, 765
2025/03/17 16:16:58.316, 0, 0, 34.61, 1215, 765
2025/03/17 16:16:59.322, 0, 0, 34.31, 1215, 765
2025/03/17 16:17:00.325, 0, 0, 34.52, 1215, 765
2025/03/17 16:17:01.328, 0, 0, 34.61, 1215, 765
2025/03/17 16:17:02.334, 0, 0, 34.41, 1215, 765
2025/03/17 16:17:03.338, 0, 0, 34.31, 1215, 765
2025/03/17 16:17:04.344, 0, 0, 34.62, 1215, 765
2025/03/17 16:17:05.351, 0, 0, 34.53, 1215, 765
2025/03/17 16:17:06.356, 0, 0, 34.62, 1215, 765
2025/03/17 16:17:07.360, 0, 0, 34.41, 1215, 765
2025/03/17 16:17:08.368, 0, 87, 37.57, 1215, 765
2025/03/17 16:17:09.373, 0, 81, 37.39, 1215, 765
2025/03/17 16:17:10.381, 0, 84, 37.39, 1215, 765
2025/03/17 16:17:11.384, 0, 11, 36.89, 1215, 765
2025/03/17 16:17:12.389, 0, 83, 37.49, 1215, 765
2025/03/17 16:17:13.396, 0, 0, 36.40, 1215, 765
2025/03/17 16:17:14.400, 0, 0, 36.81, 1215, 765
2025/03/17 16:17:15.405, 0, 0, 36.60, 1215, 765
