timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/03/18 03:45:23.491, 0, 0, 34.41, 1215, 765
2025/03/18 03:45:24.511, 0, 0, 34.60, 1215, 765
2025/03/18 03:45:25.514, 0, 0, 34.51, 1215, 765
2025/03/18 03:45:26.520, 0, 0, 34.81, 1215, 765
2025/03/18 03:45:27.524, 0, 0, 34.81, 1215, 765
2025/03/18 03:45:28.528, 0, 0, 34.41, 1215, 765
2025/03/18 03:45:29.533, 0, 0, 34.41, 1215, 765
2025/03/18 03:45:30.538, 0, 0, 34.62, 1215, 765
2025/03/18 03:45:31.541, 0, 0, 34.71, 1215, 765
2025/03/18 03:45:32.546, 0, 0, 34.81, 1215, 765
2025/03/18 03:45:33.549, 0, 0, 34.71, 1215, 765
2025/03/18 03:45:34.556, 0, 0, 34.81, 1215, 765
2025/03/18 03:45:35.559, 0, 0, 34.31, 1215, 765
2025/03/18 03:45:36.562, 0, 0, 34.31, 1215, 765
2025/03/18 03:45:37.565, 0, 0, 34.60, 1215, 765
2025/03/18 03:45:38.569, 0, 0, 34.31, 1215, 765
2025/03/18 03:45:39.571, 0, 0, 34.31, 1215, 765
2025/03/18 03:45:40.574, 0, 0, 34.62, 1215, 765
2025/03/18 03:45:41.577, 0, 0, 34.60, 1215, 765
2025/03/18 03:45:42.580, 0, 0, 34.60, 1215, 765
2025/03/18 03:45:43.584, 0, 0, 34.31, 1215, 765
2025/03/18 03:45:44.590, 0, 0, 34.81, 1215, 765
2025/03/18 03:45:45.597, 0, 2, 37.10, 1215, 765
2025/03/18 03:45:46.601, 0, 0, 37.55, 1215, 765
2025/03/18 03:45:47.605, 0, 19, 37.65, 1215, 765
2025/03/18 03:45:48.609, 0, 38, 36.57, 1215, 765
2025/03/18 03:45:49.612, 0, 0, 36.59, 1215, 765
2025/03/18 03:45:50.615, 0, 0, 36.80, 1215, 765
2025/03/18 03:45:51.619, 0, 0, 36.90, 1215, 765
2025/03/18 03:45:52.622, 0, 0, 36.90, 1215, 765
2025/03/18 03:45:53.624, 0, 0, 36.79, 1215, 765
2025/03/18 03:45:54.628, 0, 0, 37.00, 1215, 765
2025/03/18 03:45:55.630, 0, 0, 36.59, 1215, 765
2025/03/18 03:45:56.632, 0, 50, 97.81, 1215, 765
2025/03/18 03:45:57.635, 0, 92, 105.82, 1215, 765
2025/03/18 03:45:58.642, 0, 93, 94.64, 1215, 765
2025/03/18 03:45:59.647, 0, 92, 111.98, 1215, 765
2025/03/18 03:46:00.651, 0, 92, 105.42, 1215, 765
2025/03/18 03:46:01.657, 0, 89, 147.98, 1215, 765
2025/03/18 03:46:02.663, 0, 93, 99.03, 1215, 765
2025/03/18 03:46:03.669, 0, 92, 97.89, 1215, 765
2025/03/18 03:46:04.674, 0, 94, 108.80, 1215, 765
2025/03/18 03:46:05.680, 0, 93, 99.97, 1215, 765
2025/03/18 03:46:06.683, 0, 92, 92.33, 1215, 765
2025/03/18 03:46:07.686, 0, 92, 99.03, 1215, 765
2025/03/18 03:46:08.691, 0, 94, 108.10, 1215, 765
2025/03/18 03:46:09.694, 0, 92, 95.12, 1215, 765
2025/03/18 03:46:10.697, 0, 93, 105.05, 1215, 765
2025/03/18 03:46:11.700, 0, 93, 107.41, 1215, 765
2025/03/18 03:46:12.705, 0, 94, 107.97, 1215, 765
2025/03/18 03:46:13.708, 0, 93, 103.43, 1215, 765
2025/03/18 03:46:14.715, 0, 92, 101.79, 1215, 765
2025/03/18 03:46:15.723, 0, 93, 98.44, 1215, 765
2025/03/18 03:46:16.726, 0, 93, 98.30, 1215, 765
2025/03/18 03:46:17.729, 0, 94, 151.76, 1215, 765
2025/03/18 03:46:18.734, 0, 92, 104.65, 1215, 765
2025/03/18 03:46:19.740, 0, 93, 103.63, 1215, 765
2025/03/18 03:46:20.743, 0, 93, 107.11, 1215, 765
2025/03/18 03:46:21.748, 0, 92, 108.11, 1215, 765
2025/03/18 03:46:22.754, 0, 92, 105.19, 1215, 765
2025/03/18 03:46:23.758, 0, 93, 107.30, 1215, 765
2025/03/18 03:46:24.763, 0, 92, 100.88, 1215, 765
2025/03/18 03:46:25.768, 0, 92, 102.44, 1215, 765
2025/03/18 03:46:26.771, 0, 93, 107.97, 1215, 765
2025/03/18 03:46:27.774, 0, 92, 94.89, 1215, 765
2025/03/18 03:46:28.776, 0, 91, 96.40, 1215, 765
2025/03/18 03:46:29.783, 0, 92, 105.69, 1215, 765
2025/03/18 03:46:30.786, 0, 92, 106.91, 1215, 765
2025/03/18 03:46:31.789, 0, 93, 102.05, 1215, 765
2025/03/18 03:46:32.794, 0, 93, 104.73, 1215, 765
2025/03/18 03:46:33.799, 0, 92, 102.12, 1215, 765
2025/03/18 03:46:34.801, 0, 93, 101.67, 1215, 765
2025/03/18 03:46:35.806, 0, 93, 103.39, 1215, 765
2025/03/18 03:46:36.809, 0, 92, 96.58, 1215, 765
2025/03/18 03:46:37.813, 0, 92, 92.90, 1215, 765
2025/03/18 03:46:38.820, 0, 93, 99.12, 1215, 765
