timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/03/17 21:38:57.985, 1, 0, 35.84, 1215, 765
2025/03/17 21:38:59.005, 1, 0, 35.44, 1215, 765
2025/03/17 21:39:00.009, 1, 0, 35.64, 1215, 765
2025/03/17 21:39:01.016, 1, 0, 35.53, 1215, 765
2025/03/17 21:39:02.019, 1, 0, 35.65, 1215, 765
2025/03/17 21:39:03.022, 1, 0, 35.55, 1215, 765
2025/03/17 21:39:04.025, 1, 0, 35.53, 1215, 765
2025/03/17 21:39:05.029, 1, 0, 35.55, 1215, 765
2025/03/17 21:39:06.032, 1, 0, 35.55, 1215, 765
2025/03/17 21:39:07.037, 1, 0, 35.55, 1215, 765
2025/03/17 21:39:08.040, 1, 0, 35.65, 1215, 765
2025/03/17 21:39:09.043, 1, 0, 35.55, 1215, 765
2025/03/17 21:39:10.046, 1, 0, 35.64, 1215, 765
2025/03/17 21:39:11.053, 1, 0, 35.46, 1215, 765
2025/03/17 21:39:12.058, 1, 0, 35.64, 1215, 765
2025/03/17 21:39:13.061, 1, 0, 35.55, 1215, 765
2025/03/17 21:39:14.065, 1, 0, 35.65, 1215, 765
2025/03/17 21:39:15.067, 1, 0, 35.55, 1215, 765
2025/03/17 21:39:16.072, 1, 0, 35.46, 1215, 765
2025/03/17 21:39:17.076, 1, 0, 35.54, 1215, 765
2025/03/17 21:39:18.080, 1, 0, 35.54, 1215, 765
2025/03/17 21:39:19.086, 1, 0, 35.65, 1215, 765
2025/03/17 21:39:20.091, 1, 0, 35.65, 1215, 765
2025/03/17 21:39:21.095, 1, 0, 35.54, 1215, 765
2025/03/17 21:39:22.104, 1, 24, 38.68, 1215, 765
2025/03/17 21:39:23.106, 1, 0, 38.80, 1215, 765
2025/03/17 21:39:24.110, 1, 8, 38.90, 1215, 765
2025/03/17 21:39:25.115, 1, 0, 37.73, 1215, 765
2025/03/17 21:39:26.118, 1, 0, 37.73, 1215, 765
2025/03/17 21:39:27.123, 1, 0, 37.83, 1215, 765
2025/03/17 21:39:28.126, 1, 0, 37.83, 1215, 765
2025/03/17 21:39:29.130, 1, 0, 37.74, 1215, 765
2025/03/17 21:39:30.135, 1, 0, 37.83, 1215, 765
2025/03/17 21:39:31.137, 1, 0, 37.83, 1215, 765
2025/03/17 21:39:32.141, 1, 0, 37.74, 1215, 765
2025/03/17 21:39:33.144, 1, 90, 107.43, 1215, 765
2025/03/17 21:39:34.149, 1, 91, 112.88, 1215, 765
2025/03/17 21:39:35.151, 1, 92, 92.43, 1215, 765
2025/03/17 21:39:36.154, 1, 91, 115.32, 1215, 765
2025/03/17 21:39:37.157, 1, 92, 115.32, 1215, 765
2025/03/17 21:39:38.166, 1, 92, 117.94, 1215, 765
2025/03/17 21:39:39.170, 1, 91, 119.04, 1215, 765
2025/03/17 21:39:40.173, 1, 93, 105.45, 1215, 765
2025/03/17 21:39:41.180, 1, 93, 114.76, 1215, 765
