timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/03/17 14:04:42.530, 1, 0, 39.91, 1215, 765
2025/03/17 14:04:43.538, 1, 0, 37.81, 1215, 765
2025/03/17 14:04:44.543, 1, 0, 37.81, 1215, 765
2025/03/17 14:04:45.546, 1, 0, 37.72, 1215, 765
2025/03/17 14:04:46.549, 1, 0, 37.62, 1215, 765
2025/03/17 14:04:47.552, 1, 0, 37.62, 1215, 765
2025/03/17 14:04:48.556, 1, 0, 37.53, 1215, 765
2025/03/17 14:04:49.558, 1, 0, 37.33, 1215, 765
2025/03/17 14:04:50.563, 1, 0, 37.31, 1215, 765
2025/03/17 14:04:51.566, 1, 0, 37.23, 1215, 765
2025/03/17 14:04:52.570, 1, 0, 37.33, 1215, 765
2025/03/17 14:04:53.573, 1, 0, 37.22, 1215, 765
2025/03/17 14:04:54.577, 1, 0, 37.23, 1215, 765
2025/03/17 14:04:55.582, 1, 0, 37.13, 1215, 765
2025/03/17 14:04:56.585, 1, 0, 37.04, 1215, 765
2025/03/17 14:04:57.594, 1, 0, 37.12, 1215, 765
2025/03/17 14:04:58.599, 1, 0, 37.03, 1215, 765
2025/03/17 14:04:59.603, 1, 0, 36.93, 1215, 765
2025/03/17 14:05:00.610, 1, 0, 37.04, 1215, 765
2025/03/17 14:05:01.615, 1, 0, 36.94, 1215, 765
2025/03/17 14:05:02.618, 1, 0, 37.02, 1215, 765
2025/03/17 14:05:03.621, 1, 0, 36.82, 1215, 765
2025/03/17 14:05:04.626, 1, 0, 36.93, 1215, 765
2025/03/17 14:05:05.629, 1, 0, 36.73, 1215, 765
2025/03/17 14:05:06.632, 1, 50, 39.60, 1215, 765
2025/03/17 14:05:07.635, 1, 50, 39.60, 1215, 765
2025/03/17 14:05:08.642, 1, 49, 39.60, 1215, 765
2025/03/17 14:05:09.644, 1, 0, 38.43, 1215, 765
2025/03/17 14:05:10.647, 1, 0, 38.43, 1215, 765
2025/03/17 14:05:11.649, 1, 0, 38.34, 1215, 765
2025/03/17 14:05:12.652, 1, 0, 38.34, 1215, 765
2025/03/17 14:05:13.659, 1, 0, 38.53, 1215, 765
2025/03/17 14:05:14.663, 1, 0, 38.24, 1215, 765
2025/03/17 14:05:15.666, 1, 0, 38.43, 1215, 765
2025/03/17 14:05:16.669, 1, 0, 38.23, 1215, 765
2025/03/17 14:05:17.672, 1, 0, 38.24, 1215, 765
2025/03/17 14:05:18.674, 1, 0, 38.33, 1215, 765
2025/03/17 14:05:19.678, 1, 91, 93.02, 1215, 765
2025/03/17 14:05:20.681, 1, 90, 98.53, 1215, 765
2025/03/17 14:05:21.684, 1, 91, 89.54, 1215, 765
2025/03/17 14:05:22.688, 1, 91, 95.46, 1215, 765
2025/03/17 14:05:23.692, 1, 92, 104.01, 1215, 765
2025/03/17 14:05:24.703, 1, 91, 97.55, 1215, 765
2025/03/17 14:05:25.706, 1, 91, 100.36, 1215, 765
2025/03/17 14:05:26.711, 1, 91, 102.60, 1215, 765
2025/03/17 14:05:27.714, 1, 89, 96.00, 1215, 765
2025/03/17 14:05:28.717, 1, 91, 100.61, 1215, 765
2025/03/17 14:05:29.722, 1, 90, 105.45, 1215, 765
2025/03/17 14:05:30.729, 1, 90, 104.21, 1215, 765
2025/03/17 14:05:31.734, 1, 91, 90.40, 1215, 765
2025/03/17 14:05:32.737, 1, 91, 92.02, 1215, 765
2025/03/17 14:05:33.740, 1, 89, 101.28, 1215, 765
2025/03/17 14:05:34.744, 1, 91, 88.09, 1215, 765
2025/03/17 14:05:35.749, 1, 90, 102.92, 1215, 765
2025/03/17 14:05:36.752, 1, 90, 97.07, 1215, 765
2025/03/17 14:05:37.759, 1, 90, 96.75, 1215, 765
2025/03/17 14:05:38.767, 1, 91, 103.55, 1215, 765
2025/03/17 14:05:39.771, 1, 90, 90.41, 1215, 765
2025/03/17 14:05:40.774, 1, 90, 102.99, 1215, 765
2025/03/17 14:05:41.777, 1, 91, 96.07, 1215, 765
2025/03/17 14:05:42.783, 1, 90, 98.80, 1215, 765
2025/03/17 14:05:43.786, 1, 91, 95.65, 1215, 765
2025/03/17 14:05:44.791, 1, 91, 91.95, 1215, 765
2025/03/17 14:05:45.796, 1, 88, 101.23, 1215, 765
2025/03/17 14:05:46.799, 1, 90, 101.57, 1215, 765
2025/03/17 14:05:47.804, 1, 89, 94.51, 1215, 765
2025/03/17 14:05:48.807, 1, 90, 107.38, 1215, 765
2025/03/17 14:05:49.814, 1, 90, 96.81, 1215, 765
2025/03/17 14:05:50.817, 1, 90, 88.45, 1215, 765
2025/03/17 14:05:51.821, 1, 91, 100.31, 1215, 765
2025/03/17 14:05:52.824, 1, 89, 93.81, 1215, 765
2025/03/17 14:05:53.827, 1, 90, 91.15, 1215, 765
2025/03/17 14:05:54.832, 1, 91, 92.85, 1215, 765
2025/03/17 14:05:55.837, 1, 90, 99.86, 1215, 765
2025/03/17 14:05:56.842, 1, 90, 95.84, 1215, 765
2025/03/17 14:05:57.845, 1, 91, 98.00, 1215, 765
2025/03/17 14:05:58.848, 1, 90, 88.18, 1215, 765
2025/03/17 14:05:59.853, 1, 91, 96.02, 1215, 765
2025/03/17 14:06:00.859, 1, 89, 105.71, 1215, 765
2025/03/17 14:06:01.862, 1, 90, 102.48, 1215, 765
2025/03/17 14:06:02.867, 1, 89, 103.90, 1215, 765
2025/03/17 14:06:03.870, 1, 89, 101.35, 1215, 765
2025/03/17 14:06:04.873, 1, 91, 95.61, 1215, 765
2025/03/17 14:06:05.879, 1, 90, 105.75, 1215, 765
2025/03/17 14:06:06.881, 1, 90, 100.67, 1215, 765
2025/03/17 14:06:07.887, 1, 90, 103.38, 1215, 765
2025/03/17 14:06:08.891, 1, 89, 102.21, 1215, 765
2025/03/17 14:06:09.900, 1, 90, 97.34, 1215, 765
2025/03/17 14:06:10.903, 1, 89, 95.14, 1215, 765
2025/03/17 14:06:11.908, 1, 90, 104.31, 1215, 765
2025/03/17 14:06:12.911, 1, 91, 94.44, 1215, 765
2025/03/17 14:06:13.914, 1, 91, 100.06, 1215, 765
2025/03/17 14:06:14.919, 1, 90, 102.32, 1215, 765
2025/03/17 14:06:15.922, 1, 90, 93.46, 1215, 765
2025/03/17 14:06:16.927, 1, 90, 91.28, 1215, 765
2025/03/17 14:06:17.930, 1, 90, 104.49, 1215, 765
2025/03/17 14:06:18.936, 1, 90, 90.01, 1215, 765
2025/03/17 14:06:19.941, 1, 90, 97.16, 1215, 765
2025/03/17 14:06:20.944, 1, 91, 93.97, 1215, 765
2025/03/17 14:06:21.947, 1, 90, 96.62, 1215, 765
2025/03/17 14:06:22.953, 1, 90, 99.48, 1215, 765
