timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/03/17 10:02:15.975, 1, 0, 35.36, 1215, 765
2025/03/17 10:02:16.987, 1, 0, 35.44, 1215, 765
2025/03/17 10:02:17.989, 1, 0, 35.35, 1215, 765
2025/03/17 10:02:18.992, 1, 0, 35.26, 1215, 765
2025/03/17 10:02:19.995, 1, 0, 35.26, 1215, 765
2025/03/17 10:02:21.004, 1, 0, 35.26, 1215, 765
2025/03/17 10:02:22.008, 1, 0, 35.26, 1215, 765
2025/03/17 10:02:23.011, 1, 0, 35.36, 1215, 765
2025/03/17 10:02:24.014, 1, 0, 35.26, 1215, 765
2025/03/17 10:02:25.019, 1, 0, 35.16, 1215, 765
2025/03/17 10:02:26.025, 1, 0, 35.26, 1215, 765
2025/03/17 10:02:27.028, 1, 0, 35.36, 1215, 765
2025/03/17 10:02:28.031, 1, 0, 35.16, 1215, 765
2025/03/17 10:02:29.038, 1, 0, 35.26, 1215, 765
2025/03/17 10:02:30.041, 1, 0, 35.26, 1215, 765
2025/03/17 10:02:31.045, 1, 0, 35.16, 1215, 765
2025/03/17 10:02:32.048, 1, 0, 35.15, 1215, 765
2025/03/17 10:02:33.051, 1, 0, 35.36, 1215, 765
2025/03/17 10:02:34.058, 1, 0, 35.16, 1215, 765
2025/03/17 10:02:35.063, 1, 0, 35.16, 1215, 765
2025/03/17 10:02:36.066, 1, 0, 35.26, 1215, 765
2025/03/17 10:02:37.072, 1, 0, 35.25, 1215, 765
2025/03/17 10:02:38.076, 1, 0, 35.36, 1215, 765
2025/03/17 10:02:39.079, 1, 0, 35.26, 1215, 765
2025/03/17 10:02:40.084, 1, 0, 35.26, 1215, 765
2025/03/17 10:02:41.087, 1, 0, 35.26, 1215, 765
2025/03/17 10:02:42.091, 1, 0, 35.16, 1215, 765
2025/03/17 10:02:43.094, 1, 32, 38.32, 1215, 765
2025/03/17 10:02:44.097, 1, 0, 37.23, 1215, 765
2025/03/17 10:02:45.105, 1, 16, 38.43, 1215, 765
2025/03/17 10:02:46.109, 1, 32, 37.23, 1215, 765
2025/03/17 10:02:47.113, 1, 0, 37.35, 1215, 765
2025/03/17 10:02:48.116, 1, 0, 37.35, 1215, 765
2025/03/17 10:02:49.120, 1, 0, 37.35, 1215, 765
2025/03/17 10:02:50.124, 1, 0, 37.35, 1215, 765
