timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/03/17 12:25:49.314, 1, 0, 35.16, 1215, 765
2025/03/17 12:25:50.333, 1, 0, 35.07, 1215, 765
2025/03/17 12:25:51.336, 1, 0, 35.05, 1215, 765
2025/03/17 12:25:52.339, 1, 0, 35.08, 1215, 765
2025/03/17 12:25:53.341, 1, 0, 35.06, 1215, 765
2025/03/17 12:25:54.344, 1, 0, 35.16, 1215, 765
2025/03/17 12:25:55.347, 1, 0, 35.06, 1215, 765
2025/03/17 12:25:56.352, 1, 0, 35.07, 1215, 765
2025/03/17 12:25:57.355, 1, 0, 35.16, 1215, 765
2025/03/17 12:25:58.360, 1, 0, 35.16, 1215, 765
2025/03/17 12:25:59.364, 1, 0, 35.07, 1215, 765
2025/03/17 12:26:00.370, 1, 0, 35.14, 1215, 765
2025/03/17 12:26:01.373, 1, 0, 35.15, 1215, 765
2025/03/17 12:26:02.376, 1, 0, 35.07, 1215, 765
2025/03/17 12:26:03.379, 1, 0, 35.06, 1215, 765
2025/03/17 12:26:04.382, 1, 0, 35.16, 1215, 765
2025/03/17 12:26:05.384, 1, 0, 35.16, 1215, 765
2025/03/17 12:26:06.387, 1, 0, 35.07, 1215, 765
2025/03/17 12:26:07.390, 1, 0, 35.15, 1215, 765
2025/03/17 12:26:08.393, 1, 0, 35.16, 1215, 765
2025/03/17 12:26:09.396, 1, 0, 35.07, 1215, 765
2025/03/17 12:26:10.399, 1, 0, 35.16, 1215, 765
2025/03/17 12:26:11.403, 1, 0, 35.16, 1215, 765
2025/03/17 12:26:12.417, 1, 0, 35.07, 1215, 765
2025/03/17 12:26:13.423, 1, 50, 37.14, 1215, 765
2025/03/17 12:26:14.425, 1, 29, 36.94, 1215, 765
2025/03/17 12:26:15.429, 1, 0, 36.93, 1215, 765
2025/03/17 12:26:16.433, 1, 0, 37.04, 1215, 765
2025/03/17 12:26:17.436, 1, 0, 37.05, 1215, 765
2025/03/17 12:26:18.439, 1, 0, 36.94, 1215, 765
2025/03/17 12:26:19.443, 1, 0, 37.03, 1215, 765
2025/03/17 12:26:20.447, 1, 0, 37.04, 1215, 765
2025/03/17 12:26:21.451, 1, 0, 37.03, 1215, 765
2025/03/17 12:26:22.455, 1, 0, 37.04, 1215, 765
2025/03/17 12:26:23.458, 1, 0, 37.04, 1215, 765
2025/03/17 12:26:24.465, 1, 0, 37.04, 1215, 765
2025/03/17 12:26:25.468, 1, 0, 37.15, 1215, 765
2025/03/17 12:26:26.472, 1, 0, 37.04, 1215, 765
2025/03/17 12:26:27.479, 1, 0, 37.04, 1215, 765
2025/03/17 12:26:28.483, 1, 11, 37.65, 1215, 765
2025/03/17 12:26:29.487, 1, 96, 112.56, 1215, 765
2025/03/17 12:26:30.490, 1, 97, 119.72, 1215, 765
2025/03/17 12:26:31.495, 1, 97, 126.53, 1215, 765
2025/03/17 12:26:32.499, 1, 96, 123.67, 1215, 765
2025/03/17 12:26:33.502, 1, 97, 107.69, 1215, 765
2025/03/17 12:26:34.505, 1, 97, 111.56, 1215, 765
2025/03/17 12:26:35.509, 1, 97, 120.12, 1215, 765
2025/03/17 12:26:36.512, 1, 97, 110.86, 1215, 765
2025/03/17 12:26:37.517, 1, 97, 114.70, 1215, 765
2025/03/17 12:26:38.522, 1, 97, 109.11, 1215, 765
2025/03/17 12:26:39.525, 1, 97, 109.03, 1215, 765
2025/03/17 12:26:40.529, 1, 97, 120.51, 1215, 765
2025/03/17 12:26:41.533, 1, 97, 130.99, 1215, 765
2025/03/17 12:26:42.540, 1, 97, 122.61, 1215, 765
2025/03/17 12:26:43.543, 1, 97, 113.26, 1215, 765
2025/03/17 12:26:44.550, 1, 97, 134.69, 1215, 765
2025/03/17 12:26:45.553, 1, 97, 137.76, 1215, 765
2025/03/17 12:26:46.557, 1, 97, 109.49, 1215, 765
2025/03/17 12:26:47.560, 1, 97, 130.02, 1215, 765
2025/03/17 12:26:48.565, 1, 97, 135.67, 1215, 765
2025/03/17 12:26:49.572, 1, 97, 109.86, 1215, 765
2025/03/17 12:26:50.575, 1, 97, 130.83, 1215, 765
2025/03/17 12:26:51.578, 1, 97, 132.72, 1215, 765
2025/03/17 12:26:52.583, 1, 97, 135.97, 1215, 765
2025/03/17 12:26:53.587, 1, 97, 137.85, 1215, 765
2025/03/17 12:26:54.590, 1, 97, 107.04, 1215, 765
