timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/03/17 11:16:30.038, 0, 0, 34.70, 1215, 765
2025/03/17 11:16:31.058, 0, 0, 34.68, 1215, 765
2025/03/17 11:16:32.062, 0, 0, 34.70, 1215, 765
2025/03/17 11:16:33.066, 0, 0, 34.60, 1215, 765
2025/03/17 11:16:34.071, 0, 0, 34.60, 1215, 765
2025/03/17 11:16:35.075, 0, 0, 34.41, 1215, 765
2025/03/17 11:16:36.078, 0, 0, 34.41, 1215, 765
2025/03/17 11:16:37.081, 0, 0, 34.70, 1215, 765
2025/03/17 11:16:38.085, 0, 0, 34.51, 1215, 765
2025/03/17 11:16:39.090, 0, 0, 34.60, 1215, 765
2025/03/17 11:16:40.093, 0, 0, 34.41, 1215, 765
2025/03/17 11:16:41.096, 0, 0, 34.70, 1215, 765
2025/03/17 11:16:42.100, 0, 0, 34.72, 1215, 765
2025/03/17 11:16:43.104, 0, 0, 34.60, 1215, 765
2025/03/17 11:16:44.107, 0, 0, 34.60, 1215, 765
2025/03/17 11:16:45.111, 0, 0, 34.41, 1215, 765
2025/03/17 11:16:46.114, 0, 0, 34.60, 1215, 765
2025/03/17 11:16:47.117, 0, 0, 34.60, 1215, 765
2025/03/17 11:16:48.120, 0, 0, 34.41, 1215, 765
2025/03/17 11:16:49.123, 0, 0, 34.60, 1215, 765
2025/03/17 11:16:50.126, 0, 0, 34.70, 1215, 765
2025/03/17 11:16:51.132, 0, 0, 34.60, 1215, 765
2025/03/17 11:16:52.136, 0, 81, 37.48, 1215, 765
2025/03/17 11:16:53.139, 0, 0, 36.78, 1215, 765
2025/03/17 11:16:54.146, 0, 19, 37.48, 1215, 765
2025/03/17 11:16:55.151, 0, 81, 37.16, 1215, 765
2025/03/17 11:16:56.155, 0, 0, 36.80, 1215, 765
2025/03/17 11:16:57.159, 0, 0, 36.79, 1215, 765
2025/03/17 11:16:58.163, 0, 0, 36.90, 1215, 765
2025/03/17 11:16:59.170, 0, 0, 36.60, 1215, 765
2025/03/17 11:17:00.174, 0, 0, 36.79, 1215, 765
2025/03/17 11:17:01.178, 0, 0, 36.90, 1215, 765
2025/03/17 11:17:02.184, 0, 0, 36.89, 1215, 765
2025/03/17 11:17:03.188, 0, 94, 106.93, 1215, 765
2025/03/17 11:17:04.191, 0, 95, 105.82, 1215, 765
2025/03/17 11:17:05.194, 0, 92, 103.13, 1215, 765
2025/03/17 11:17:06.199, 0, 93, 114.19, 1215, 765
