timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/03/15 10:38:36.438, 1, 0, 35.65, 1215, 765
2025/03/15 10:38:37.457, 1, 0, 35.62, 1215, 765
2025/03/15 10:38:38.461, 1, 0, 35.75, 1215, 765
2025/03/15 10:38:39.469, 1, 0, 35.55, 1215, 765
2025/03/15 10:38:40.474, 1, 0, 35.74, 1215, 765
2025/03/15 10:38:41.478, 1, 0, 35.64, 1215, 765
2025/03/15 10:38:42.484, 1, 0, 35.64, 1215, 765
2025/03/15 10:38:43.489, 1, 0, 35.65, 1215, 765
2025/03/15 10:38:44.493, 1, 0, 35.64, 1215, 765
2025/03/15 10:38:45.498, 1, 0, 35.55, 1215, 765
2025/03/15 10:38:46.501, 1, 0, 35.64, 1215, 765
2025/03/15 10:38:47.505, 1, 0, 35.54, 1215, 765
2025/03/15 10:38:48.510, 1, 0, 35.54, 1215, 765
2025/03/15 10:38:49.514, 1, 0, 35.65, 1215, 765
2025/03/15 10:38:50.520, 1, 0, 35.75, 1215, 765
2025/03/15 10:38:51.525, 1, 0, 35.75, 1215, 765
2025/03/15 10:38:52.528, 1, 0, 35.64, 1215, 765
2025/03/15 10:38:53.531, 1, 0, 35.64, 1215, 765
2025/03/15 10:38:54.535, 1, 0, 35.64, 1215, 765
2025/03/15 10:38:55.541, 1, 0, 35.75, 1215, 765
2025/03/15 10:38:56.544, 1, 0, 35.64, 1215, 765
2025/03/15 10:38:57.547, 1, 0, 35.75, 1215, 765
2025/03/15 10:38:58.554, 1, 0, 35.54, 1215, 765
2025/03/15 10:38:59.557, 1, 3, 38.51, 1215, 765
2025/03/15 10:39:00.561, 1, 9, 38.60, 1215, 765
2025/03/15 10:39:01.563, 1, 51, 38.70, 1215, 765
2025/03/15 10:39:02.566, 1, 26, 37.53, 1215, 765
2025/03/15 10:39:03.570, 1, 0, 37.43, 1215, 765
2025/03/15 10:39:04.574, 1, 0, 37.53, 1215, 765
2025/03/15 10:39:05.578, 1, 0, 37.43, 1215, 765
2025/03/15 10:39:06.584, 1, 0, 37.43, 1215, 765
2025/03/15 10:39:07.588, 1, 0, 37.53, 1215, 765
2025/03/15 10:39:08.591, 1, 0, 37.43, 1215, 765
2025/03/15 10:39:09.597, 1, 0, 37.43, 1215, 765
2025/03/15 10:39:10.602, 1, 94, 106.27, 1215, 765
2025/03/15 10:39:11.609, 1, 96, 104.68, 1215, 765
2025/03/15 10:39:12.612, 1, 96, 105.64, 1215, 765
2025/03/15 10:39:13.616, 1, 96, 105.79, 1215, 765
2025/03/15 10:39:14.622, 1, 96, 105.12, 1215, 765
2025/03/15 10:39:15.627, 1, 96, 105.53, 1215, 765
2025/03/15 10:39:16.630, 1, 96, 105.69, 1215, 765
2025/03/15 10:39:17.636, 1, 96, 105.63, 1215, 765
2025/03/15 10:39:18.640, 1, 96, 106.50, 1215, 765
2025/03/15 10:39:19.644, 1, 96, 103.87, 1215, 765
2025/03/15 10:39:20.648, 1, 96, 105.95, 1215, 765
2025/03/15 10:39:21.652, 1, 95, 104.39, 1215, 765
2025/03/15 10:39:22.655, 1, 95, 107.81, 1215, 765
2025/03/15 10:39:23.661, 1, 96, 105.96, 1215, 765
2025/03/15 10:39:24.664, 1, 96, 106.86, 1215, 765
2025/03/15 10:39:25.667, 1, 96, 105.72, 1215, 765
2025/03/15 10:39:26.670, 1, 96, 107.59, 1215, 765
2025/03/15 10:39:27.677, 1, 96, 105.93, 1215, 765
2025/03/15 10:39:28.682, 1, 94, 105.85, 1215, 765
2025/03/15 10:39:29.685, 1, 96, 106.24, 1215, 765
2025/03/15 10:39:30.690, 1, 96, 106.64, 1215, 765
2025/03/15 10:39:31.694, 1, 96, 107.55, 1215, 765
2025/03/15 10:39:32.698, 1, 96, 107.96, 1215, 765
2025/03/15 10:39:33.701, 1, 96, 106.94, 1215, 765
2025/03/15 10:39:34.706, 1, 96, 106.04, 1215, 765
2025/03/15 10:39:35.711, 1, 96, 107.03, 1215, 765
