timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/03/15 10:57:45.279, 0, 0, 34.60, 1215, 765
2025/03/15 10:57:46.298, 0, 0, 34.51, 1215, 765
2025/03/15 10:57:47.303, 0, 0, 34.81, 1215, 765
2025/03/15 10:57:48.309, 0, 0, 34.71, 1215, 765
2025/03/15 10:57:49.314, 0, 0, 34.51, 1215, 765
2025/03/15 10:57:50.322, 0, 0, 34.71, 1215, 765
2025/03/15 10:57:51.325, 0, 0, 34.70, 1215, 765
2025/03/15 10:57:52.328, 0, 0, 34.81, 1215, 765
2025/03/15 10:57:53.331, 0, 0, 34.51, 1215, 765
2025/03/15 10:57:54.336, 0, 0, 34.81, 1215, 765
2025/03/15 10:57:55.340, 0, 0, 34.51, 1215, 765
2025/03/15 10:57:56.346, 0, 0, 34.71, 1215, 765
2025/03/15 10:57:57.353, 0, 0, 34.60, 1215, 765
2025/03/15 10:57:58.356, 0, 0, 34.70, 1215, 765
2025/03/15 10:57:59.361, 0, 0, 34.51, 1215, 765
2025/03/15 10:58:00.364, 0, 0, 34.71, 1215, 765
2025/03/15 10:58:01.369, 0, 0, 34.70, 1215, 765
2025/03/15 10:58:02.372, 0, 0, 34.70, 1215, 765
2025/03/15 10:58:03.376, 0, 0, 34.71, 1215, 765
2025/03/15 10:58:04.382, 0, 0, 34.60, 1215, 765
2025/03/15 10:58:05.388, 0, 0, 34.62, 1215, 765
2025/03/15 10:58:06.392, 0, 0, 34.41, 1215, 765
2025/03/15 10:58:07.395, 0, 0, 34.62, 1215, 765
2025/03/15 10:58:08.399, 0, 4, 37.48, 1215, 765
2025/03/15 10:58:09.402, 0, 84, 37.19, 1215, 765
2025/03/15 10:58:10.406, 0, 54, 37.77, 1215, 765
2025/03/15 10:58:11.410, 0, 82, 37.28, 1215, 765
2025/03/15 10:58:12.413, 0, 41, 36.49, 1215, 765
2025/03/15 10:58:13.417, 0, 0, 36.51, 1215, 765
2025/03/15 10:58:14.421, 0, 0, 36.92, 1215, 765
2025/03/15 10:58:15.426, 0, 0, 36.41, 1215, 765
2025/03/15 10:58:16.431, 0, 0, 36.82, 1215, 765
2025/03/15 10:58:17.435, 0, 0, 36.41, 1215, 765
2025/03/15 10:58:18.440, 0, 0, 36.92, 1215, 765
2025/03/15 10:58:19.444, 0, 0, 36.61, 1215, 765
2025/03/15 10:58:20.447, 0, 0, 36.82, 1215, 765
2025/03/15 10:58:21.453, 0, 0, 36.82, 1215, 765
2025/03/15 10:58:22.456, 0, 30, 105.98, 1215, 765
2025/03/15 10:58:23.460, 0, 85, 98.78, 1215, 765
2025/03/15 10:58:24.464, 0, 90, 102.09, 1215, 765
2025/03/15 10:58:25.467, 0, 93, 101.30, 1215, 765
2025/03/15 10:58:26.470, 0, 94, 108.44, 1215, 765
2025/03/15 10:58:27.473, 0, 93, 99.52, 1215, 765
2025/03/15 10:58:28.476, 0, 95, 104.59, 1215, 765
2025/03/15 10:58:29.481, 0, 93, 104.39, 1215, 765
2025/03/15 10:58:30.484, 0, 95, 102.01, 1215, 765
2025/03/15 10:58:31.487, 0, 93, 105.19, 1215, 765
2025/03/15 10:58:32.492, 0, 95, 105.91, 1215, 765
2025/03/15 10:58:33.495, 0, 94, 103.96, 1215, 765
2025/03/15 10:58:34.500, 0, 95, 110.01, 1215, 765
2025/03/15 10:58:35.505, 0, 95, 108.54, 1215, 765
2025/03/15 10:58:36.509, 0, 95, 101.57, 1215, 765
2025/03/15 10:58:37.513, 0, 93, 105.95, 1215, 765
2025/03/15 10:58:38.517, 0, 95, 106.64, 1215, 765
2025/03/15 10:58:39.524, 0, 93, 104.10, 1215, 765
2025/03/15 10:58:40.527, 0, 95, 106.57, 1215, 765
2025/03/15 10:58:41.530, 0, 94, 106.76, 1215, 765
2025/03/15 10:58:42.533, 0, 95, 101.92, 1215, 765
2025/03/15 10:58:43.536, 0, 94, 104.69, 1215, 765
2025/03/15 10:58:44.540, 0, 94, 109.29, 1215, 765
2025/03/15 10:58:45.543, 0, 95, 107.73, 1215, 765
2025/03/15 10:58:46.546, 0, 92, 104.51, 1215, 765
2025/03/15 10:58:47.550, 0, 95, 103.60, 1215, 765
2025/03/15 10:58:48.554, 0, 94, 104.48, 1215, 765
2025/03/15 10:58:49.557, 0, 95, 108.04, 1215, 765
2025/03/15 10:58:50.564, 0, 94, 105.96, 1215, 765
2025/03/15 10:58:51.567, 0, 95, 107.45, 1215, 765
2025/03/15 10:58:52.574, 0, 92, 103.44, 1215, 765
2025/03/15 10:58:53.579, 0, 95, 103.68, 1215, 765
2025/03/15 10:58:54.582, 0, 93, 104.89, 1215, 765
2025/03/15 10:58:55.586, 0, 95, 109.19, 1215, 765
2025/03/15 10:58:56.589, 0, 94, 104.89, 1215, 765
2025/03/15 10:58:57.593, 0, 95, 108.14, 1215, 765
2025/03/15 10:58:58.597, 0, 94, 105.32, 1215, 765
2025/03/15 10:58:59.602, 0, 95, 108.88, 1215, 765
2025/03/15 10:59:00.606, 0, 94, 101.50, 1215, 765
2025/03/15 10:59:01.610, 0, 95, 106.37, 1215, 765
2025/03/15 10:59:02.614, 0, 94, 108.47, 1215, 765
2025/03/15 10:59:03.620, 0, 95, 106.07, 1215, 765
2025/03/15 10:59:04.625, 0, 94, 105.29, 1215, 765
2025/03/15 10:59:05.629, 0, 94, 106.96, 1215, 765
2025/03/15 10:59:06.633, 0, 95, 103.36, 1215, 765
2025/03/15 10:59:07.637, 0, 93, 105.36, 1215, 765
2025/03/15 10:59:08.642, 0, 95, 104.76, 1215, 765
2025/03/15 10:59:09.645, 0, 94, 107.57, 1215, 765
2025/03/15 10:59:10.650, 0, 95, 102.89, 1215, 765
2025/03/15 10:59:11.653, 0, 94, 107.58, 1215, 765
2025/03/15 10:59:12.657, 0, 95, 104.35, 1215, 765
2025/03/15 10:59:13.660, 0, 93, 107.09, 1215, 765
2025/03/15 10:59:14.663, 0, 95, 102.71, 1215, 765
2025/03/15 10:59:15.666, 0, 94, 106.72, 1215, 765
2025/03/15 10:59:16.671, 0, 94, 106.64, 1215, 765
2025/03/15 10:59:17.674, 0, 95, 106.15, 1215, 765
2025/03/15 10:59:18.677, 0, 94, 107.47, 1215, 765
2025/03/15 10:59:19.680, 0, 94, 105.79, 1215, 765
2025/03/15 10:59:20.683, 0, 94, 107.67, 1215, 765
2025/03/15 10:59:21.689, 0, 95, 106.01, 1215, 765
2025/03/15 10:59:22.694, 0, 94, 108.36, 1215, 765
2025/03/15 10:59:23.697, 0, 95, 105.44, 1215, 765
2025/03/15 10:59:24.704, 0, 94, 107.97, 1215, 765
2025/03/15 10:59:25.710, 0, 95, 103.20, 1215, 765
2025/03/15 10:59:26.713, 0, 94, 108.26, 1215, 765
2025/03/15 10:59:27.716, 0, 95, 103.31, 1215, 765
2025/03/15 10:59:28.720, 0, 94, 105.79, 1215, 765
2025/03/15 10:59:29.726, 0, 95, 105.40, 1215, 765
2025/03/15 10:59:30.729, 0, 93, 103.86, 1215, 765
2025/03/15 10:59:31.732, 0, 95, 106.87, 1215, 765
2025/03/15 10:59:32.736, 0, 92, 104.62, 1215, 765
2025/03/15 10:59:33.739, 0, 94, 108.87, 1215, 765
2025/03/15 10:59:34.744, 0, 94, 104.95, 1215, 765
2025/03/15 10:59:35.747, 0, 93, 112.65, 1215, 765
2025/03/15 10:59:36.752, 0, 94, 105.96, 1215, 765
2025/03/15 10:59:37.756, 0, 95, 103.39, 1215, 765
2025/03/15 10:59:38.759, 0, 94, 107.94, 1215, 765
2025/03/15 10:59:39.766, 0, 95, 104.92, 1215, 765
2025/03/15 10:59:40.769, 0, 94, 107.97, 1215, 765
2025/03/15 10:59:41.773, 0, 95, 106.99, 1215, 765
2025/03/15 10:59:42.777, 0, 93, 107.09, 1215, 765
2025/03/15 10:59:43.780, 0, 95, 106.88, 1215, 765
2025/03/15 10:59:44.783, 0, 93, 107.48, 1215, 765
2025/03/15 10:59:45.786, 0, 95, 107.75, 1215, 765
2025/03/15 10:59:46.789, 0, 93, 107.55, 1215, 765
2025/03/15 10:59:47.794, 0, 95, 110.16, 1215, 765
2025/03/15 10:59:48.797, 0, 93, 107.74, 1215, 765
2025/03/15 10:59:49.802, 0, 94, 109.93, 1215, 765
2025/03/15 10:59:50.811, 0, 93, 113.36, 1215, 765
2025/03/15 10:59:51.814, 0, 95, 109.79, 1215, 765
2025/03/15 10:59:52.824, 0, 94, 105.22, 1215, 765
2025/03/15 10:59:53.827, 0, 95, 109.04, 1215, 765
2025/03/15 10:59:54.830, 0, 93, 112.21, 1215, 765
2025/03/15 10:59:55.835, 0, 95, 110.02, 1215, 765
2025/03/15 10:59:56.840, 0, 94, 103.62, 1215, 765
2025/03/15 10:59:57.843, 0, 95, 109.27, 1215, 765
2025/03/15 10:59:58.847, 0, 94, 106.12, 1215, 765
2025/03/15 10:59:59.854, 0, 95, 108.29, 1215, 765
2025/03/15 11:00:00.859, 0, 94, 108.13, 1215, 765
2025/03/15 11:00:01.868, 0, 95, 107.11, 1215, 765
2025/03/15 11:00:02.871, 0, 94, 106.85, 1215, 765
2025/03/15 11:00:03.874, 0, 94, 105.68, 1215, 765
2025/03/15 11:00:04.877, 0, 94, 107.05, 1215, 765
2025/03/15 11:00:05.884, 0, 95, 107.45, 1215, 765
2025/03/15 11:00:06.887, 0, 94, 106.67, 1215, 765
2025/03/15 11:00:07.892, 0, 95, 104.97, 1215, 765
2025/03/15 11:00:08.898, 0, 95, 105.43, 1215, 765
2025/03/15 11:00:09.903, 0, 95, 106.43, 1215, 765
2025/03/15 11:00:10.906, 0, 93, 105.07, 1215, 765
2025/03/15 11:00:11.910, 0, 94, 105.53, 1215, 765
2025/03/15 11:00:12.913, 0, 94, 106.07, 1215, 765
2025/03/15 11:00:13.918, 0, 95, 104.37, 1215, 765
2025/03/15 11:00:14.922, 0, 93, 105.97, 1215, 765
2025/03/15 11:00:15.930, 0, 94, 105.97, 1215, 765
2025/03/15 11:00:16.933, 0, 94, 105.86, 1215, 765
2025/03/15 11:00:17.938, 0, 95, 106.30, 1215, 765
2025/03/15 11:00:18.943, 0, 94, 107.18, 1215, 765
2025/03/15 11:00:19.951, 0, 94, 106.12, 1215, 765
2025/03/15 11:00:20.954, 0, 94, 107.68, 1215, 765
2025/03/15 11:00:21.961, 0, 95, 109.25, 1215, 765
2025/03/15 11:00:22.966, 0, 93, 102.00, 1215, 765
2025/03/15 11:00:23.971, 0, 95, 111.16, 1215, 765
2025/03/15 11:00:24.976, 0, 94, 103.88, 1215, 765
2025/03/15 11:00:25.980, 0, 94, 110.57, 1215, 765
2025/03/15 11:00:26.985, 0, 93, 105.89, 1215, 765
2025/03/15 11:00:27.988, 0, 95, 110.15, 1215, 765
2025/03/15 11:00:28.994, 0, 93, 103.49, 1215, 765
2025/03/15 11:00:29.998, 0, 95, 106.29, 1215, 765
2025/03/15 11:00:31.001, 0, 93, 104.88, 1215, 765
2025/03/15 11:00:32.004, 0, 95, 107.68, 1215, 765
2025/03/15 11:00:33.011, 0, 94, 107.68, 1215, 765
2025/03/15 11:00:34.014, 0, 94, 105.19, 1215, 765
2025/03/15 11:00:35.017, 0, 93, 106.88, 1215, 765
2025/03/15 11:00:36.020, 0, 95, 106.85, 1215, 765
2025/03/15 11:00:37.023, 0, 94, 107.37, 1215, 765
2025/03/15 11:00:38.027, 0, 94, 105.85, 1215, 765
2025/03/15 11:00:39.030, 0, 94, 108.14, 1215, 765
2025/03/15 11:00:40.035, 0, 94, 106.66, 1215, 765
2025/03/15 11:00:41.038, 0, 93, 109.97, 1215, 765
2025/03/15 11:00:42.043, 0, 95, 106.25, 1215, 765
2025/03/15 11:00:43.048, 0, 94, 105.07, 1215, 765
2025/03/15 11:00:44.051, 0, 95, 108.54, 1215, 765
2025/03/15 11:00:45.055, 0, 93, 102.32, 1215, 765
2025/03/15 11:00:46.062, 0, 94, 108.98, 1215, 765
2025/03/15 11:00:47.066, 0, 93, 107.84, 1215, 765
2025/03/15 11:00:48.069, 0, 95, 109.13, 1215, 765
2025/03/15 11:00:49.074, 0, 93, 107.68, 1215, 765
2025/03/15 11:00:50.079, 0, 94, 108.43, 1215, 765
2025/03/15 11:00:51.087, 0, 93, 101.70, 1215, 765
2025/03/15 11:00:52.090, 0, 95, 106.18, 1215, 765
2025/03/15 11:00:53.093, 0, 93, 104.82, 1215, 765
2025/03/15 11:00:54.097, 0, 93, 107.18, 1215, 765
2025/03/15 11:00:55.104, 0, 93, 106.45, 1215, 765
2025/03/15 11:00:56.109, 0, 94, 105.88, 1215, 765
2025/03/15 11:00:57.112, 0, 93, 105.70, 1215, 765
2025/03/15 11:00:58.117, 0, 94, 110.86, 1215, 765
2025/03/15 11:00:59.122, 0, 93, 106.29, 1215, 765
2025/03/15 11:01:00.127, 0, 95, 109.46, 1215, 765
2025/03/15 11:01:01.131, 0, 94, 105.86, 1215, 765
2025/03/15 11:01:02.136, 0, 95, 111.21, 1215, 765
2025/03/15 11:01:03.139, 0, 94, 106.61, 1215, 765
2025/03/15 11:01:04.145, 0, 94, 107.73, 1215, 765
2025/03/15 11:01:05.149, 0, 93, 108.67, 1215, 765
2025/03/15 11:01:06.152, 0, 94, 107.75, 1215, 765
2025/03/15 11:01:07.157, 0, 93, 107.63, 1215, 765
2025/03/15 11:01:08.161, 0, 95, 110.62, 1215, 765
2025/03/15 11:01:09.165, 0, 94, 106.01, 1215, 765
2025/03/15 11:01:10.168, 0, 94, 109.97, 1215, 765
2025/03/15 11:01:11.177, 0, 93, 105.69, 1215, 765
2025/03/15 11:01:12.180, 0, 95, 107.06, 1215, 765
2025/03/15 11:01:13.187, 0, 79, 110.80, 1215, 765
2025/03/15 11:01:14.192, 0, 94, 113.52, 1215, 765
2025/03/15 11:01:15.197, 0, 94, 107.17, 1215, 765
2025/03/15 11:01:16.199, 0, 94, 104.50, 1215, 765
2025/03/15 11:01:17.203, 0, 95, 106.57, 1215, 765
2025/03/15 11:01:18.577, 0, 95, 110.12, 1215, 765
2025/03/15 11:01:19.582, 0, 96, 112.28, 1215, 765
2025/03/15 11:01:20.591, 0, 93, 102.89, 1215, 765
2025/03/15 11:01:21.595, 0, 95, 107.74, 1215, 765
2025/03/15 11:01:22.606, 0, 95, 109.35, 1215, 765
2025/03/15 11:01:23.609, 0, 89, 108.28, 1215, 765
2025/03/15 11:01:24.617, 0, 93, 106.57, 1215, 765
