timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/03/15 04:24:25.852, 0, 0, 34.53, 1215, 765
2025/03/15 04:24:26.874, 0, 0, 34.52, 1215, 765
2025/03/15 04:24:27.878, 0, 0, 34.23, 1215, 765
2025/03/15 04:24:28.881, 0, 0, 34.52, 1215, 765
2025/03/15 04:24:29.886, 0, 0, 34.52, 1215, 765
2025/03/15 04:24:30.890, 0, 0, 34.32, 1215, 765
2025/03/15 04:24:31.896, 0, 0, 34.33, 1215, 765
2025/03/15 04:24:32.899, 0, 0, 34.52, 1215, 765
2025/03/15 04:24:33.902, 0, 0, 34.52, 1215, 765
2025/03/15 04:24:34.905, 0, 0, 34.53, 1215, 765
2025/03/15 04:24:35.908, 0, 0, 34.52, 1215, 765
2025/03/15 04:24:36.914, 0, 0, 34.52, 1215, 765
2025/03/15 04:24:37.919, 0, 0, 34.23, 1215, 765
2025/03/15 04:24:38.922, 0, 0, 34.62, 1215, 765
2025/03/15 04:24:39.927, 0, 0, 34.24, 1215, 765
2025/03/15 04:24:40.930, 0, 0, 34.23, 1215, 765
2025/03/15 04:24:41.933, 0, 0, 34.43, 1215, 765
2025/03/15 04:24:42.936, 0, 0, 34.52, 1215, 765
2025/03/15 04:24:43.939, 0, 0, 34.32, 1215, 765
2025/03/15 04:24:45.393, 0, 0, 36.41, 1215, 765
2025/03/15 04:24:46.395, 0, 0, 34.63, 1215, 765
2025/03/15 04:24:47.398, 0, 0, 34.43, 1215, 765
2025/03/15 04:24:48.401, 0, 0, 34.53, 1215, 765
2025/03/15 04:24:49.404, 0, 0, 34.52, 1215, 765
2025/03/15 04:24:50.410, 0, 0, 34.53, 1215, 765
2025/03/15 04:24:51.413, 0, 28, 37.21, 1215, 765
2025/03/15 04:24:52.416, 0, 83, 37.12, 1215, 765
2025/03/15 04:24:53.421, 0, 82, 37.00, 1215, 765
2025/03/15 04:24:54.425, 0, 0, 36.51, 1215, 765
2025/03/15 04:24:55.433, 0, 84, 37.12, 1215, 765
2025/03/15 04:24:56.438, 0, 19, 36.51, 1215, 765
2025/03/15 04:24:57.442, 0, 0, 36.61, 1215, 765
2025/03/15 04:24:58.445, 0, 0, 36.53, 1215, 765
2025/03/15 04:24:59.448, 0, 0, 36.23, 1215, 765
2025/03/15 04:25:00.451, 0, 0, 36.62, 1215, 765
2025/03/15 04:25:01.455, 0, 0, 36.61, 1215, 765
2025/03/15 04:25:02.459, 0, 0, 36.53, 1215, 765
2025/03/15 04:25:03.462, 0, 0, 36.51, 1215, 765
2025/03/15 04:25:04.466, 0, 93, 106.15, 1215, 765
2025/03/15 04:25:05.469, 0, 94, 104.59, 1215, 765
2025/03/15 04:25:06.472, 0, 95, 103.01, 1215, 765
2025/03/15 04:25:07.477, 0, 94, 104.00, 1215, 765
2025/03/15 04:25:08.486, 0, 95, 103.49, 1215, 765
2025/03/15 04:25:09.490, 0, 95, 105.58, 1215, 765
2025/03/15 04:25:10.497, 0, 96, 106.17, 1215, 765
