timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/03/14 16:20:51.973, 1, 0, 35.51, 1215, 765
2025/03/14 16:20:52.983, 1, 0, 35.25, 1215, 765
2025/03/14 16:20:53.988, 1, 0, 35.64, 1215, 765
2025/03/14 16:20:54.993, 1, 0, 35.56, 1215, 765
2025/03/14 16:20:55.996, 1, 0, 35.56, 1215, 765
2025/03/14 16:20:57.002, 1, 0, 35.66, 1215, 765
2025/03/14 16:20:58.005, 1, 0, 35.56, 1215, 765
2025/03/14 16:20:59.008, 1, 0, 35.55, 1215, 765
2025/03/14 16:21:00.013, 1, 0, 35.47, 1215, 765
2025/03/14 16:21:01.016, 1, 0, 35.56, 1215, 765
2025/03/14 16:21:02.021, 1, 0, 35.56, 1215, 765
2025/03/14 16:21:03.027, 1, 0, 35.56, 1215, 765
2025/03/14 16:21:04.030, 1, 0, 35.56, 1215, 765
2025/03/14 16:21:05.037, 1, 0, 35.46, 1215, 765
2025/03/14 16:21:06.041, 1, 0, 35.56, 1215, 765
2025/03/14 16:21:07.044, 1, 0, 35.56, 1215, 765
2025/03/14 16:21:08.047, 1, 0, 35.46, 1215, 765
2025/03/14 16:21:09.053, 1, 0, 35.56, 1215, 765
2025/03/14 16:21:10.058, 1, 0, 35.46, 1215, 765
2025/03/14 16:21:11.061, 1, 0, 35.56, 1215, 765
2025/03/14 16:21:12.065, 1, 0, 35.56, 1215, 765
2025/03/14 16:21:13.076, 1, 0, 35.46, 1215, 765
2025/03/14 16:21:14.081, 1, 0, 38.55, 1215, 765
2025/03/14 16:21:15.085, 1, 0, 38.53, 1215, 765
2025/03/14 16:21:16.092, 1, 18, 38.83, 1215, 765
2025/03/14 16:21:17.096, 1, 26, 37.84, 1215, 765
2025/03/14 16:21:18.100, 1, 0, 37.79, 1215, 765
2025/03/14 16:21:19.102, 1, 0, 37.70, 1215, 765
2025/03/14 16:21:20.105, 1, 0, 37.85, 1215, 765
2025/03/14 16:21:21.111, 1, 0, 37.75, 1215, 765
2025/03/14 16:21:22.117, 1, 0, 37.78, 1215, 765
2025/03/14 16:21:23.119, 1, 0, 37.69, 1215, 765
2025/03/14 16:21:24.125, 1, 0, 37.79, 1215, 765
2025/03/14 16:21:25.128, 1, 0, 37.75, 1215, 765
2025/03/14 16:21:26.131, 1, 95, 101.77, 1215, 765
2025/03/14 16:21:27.135, 1, 94, 102.47, 1215, 765
2025/03/14 16:21:28.139, 1, 95, 104.77, 1215, 765
2025/03/14 16:21:29.142, 1, 95, 111.49, 1215, 765
2025/03/14 16:21:30.147, 1, 95, 103.18, 1215, 765
2025/03/14 16:21:31.153, 1, 95, 105.74, 1215, 765
2025/03/14 16:21:32.158, 1, 95, 103.56, 1215, 765
2025/03/14 16:21:33.165, 1, 95, 100.18, 1215, 765
2025/03/14 16:21:34.168, 1, 96, 105.06, 1215, 765
2025/03/14 16:21:35.171, 1, 95, 107.04, 1215, 765
2025/03/14 16:21:36.176, 1, 95, 104.63, 1215, 765
2025/03/14 16:21:37.183, 1, 95, 102.14, 1215, 765
2025/03/14 16:21:38.186, 1, 95, 105.66, 1215, 765
2025/03/14 16:21:39.189, 1, 95, 105.64, 1215, 765
2025/03/14 16:21:40.194, 1, 95, 105.84, 1215, 765
2025/03/14 16:21:41.197, 1, 95, 106.14, 1215, 765
2025/03/14 16:21:42.202, 1, 96, 105.24, 1215, 765
2025/03/14 16:21:43.211, 1, 94, 105.55, 1215, 765
2025/03/14 16:21:44.214, 1, 95, 104.25, 1215, 765
2025/03/14 16:21:45.217, 1, 95, 108.18, 1215, 765
2025/03/14 16:21:46.220, 1, 95, 102.24, 1215, 765
2025/03/14 16:21:47.223, 1, 95, 105.14, 1215, 765
2025/03/14 16:21:48.228, 1, 96, 105.75, 1215, 765
2025/03/14 16:21:49.233, 1, 95, 107.01, 1215, 765
2025/03/14 16:21:50.236, 1, 96, 106.37, 1215, 765
2025/03/14 16:21:51.240, 1, 95, 106.94, 1215, 765
2025/03/14 16:21:52.245, 1, 95, 105.64, 1215, 765
2025/03/14 16:21:53.250, 1, 95, 104.33, 1215, 765
2025/03/14 16:21:54.253, 1, 94, 106.52, 1215, 765
2025/03/14 16:21:55.256, 1, 95, 104.96, 1215, 765
2025/03/14 16:21:56.260, 1, 95, 101.66, 1215, 765
2025/03/14 16:21:57.266, 1, 96, 107.12, 1215, 765
2025/03/14 16:21:58.269, 1, 95, 105.97, 1215, 765
2025/03/14 16:21:59.276, 1, 95, 111.69, 1215, 765
2025/03/14 16:22:00.281, 1, 95, 106.56, 1215, 765
2025/03/14 16:22:01.284, 1, 94, 104.88, 1215, 765
2025/03/14 16:22:02.289, 1, 95, 103.54, 1215, 765
2025/03/14 16:22:03.294, 1, 95, 109.26, 1215, 765
2025/03/14 16:22:04.297, 1, 95, 106.63, 1215, 765
2025/03/14 16:22:05.301, 1, 95, 103.57, 1215, 765
2025/03/14 16:22:06.304, 1, 94, 106.46, 1215, 765
2025/03/14 16:22:07.309, 1, 95, 101.58, 1215, 765
2025/03/14 16:22:08.314, 1, 95, 101.15, 1215, 765
2025/03/14 16:22:09.317, 1, 95, 102.86, 1215, 765
2025/03/14 16:22:10.325, 1, 95, 100.80, 1215, 765
2025/03/14 16:22:11.330, 1, 95, 102.66, 1215, 765
2025/03/14 16:22:12.333, 1, 96, 103.65, 1215, 765
2025/03/14 16:22:13.338, 1, 96, 105.01, 1215, 765
2025/03/14 16:22:14.345, 1, 76, 100.64, 1215, 765
2025/03/14 16:22:15.350, 1, 96, 105.77, 1215, 765
2025/03/14 16:22:16.354, 1, 96, 104.33, 1215, 765
2025/03/14 16:22:17.357, 1, 95, 105.52, 1215, 765
2025/03/14 16:22:18.360, 1, 95, 104.95, 1215, 765
2025/03/14 16:22:19.366, 1, 95, 107.59, 1215, 765
2025/03/14 16:22:20.369, 1, 95, 103.18, 1215, 765
2025/03/14 16:22:21.372, 1, 95, 102.41, 1215, 765
2025/03/14 16:22:22.377, 1, 95, 102.36, 1215, 765
2025/03/14 16:22:23.380, 1, 95, 103.31, 1215, 765
2025/03/14 16:22:24.383, 1, 95, 102.21, 1215, 765
2025/03/14 16:22:25.386, 1, 95, 101.37, 1215, 765
2025/03/14 16:22:26.392, 1, 95, 103.86, 1215, 765
2025/03/14 16:22:27.401, 1, 95, 103.02, 1215, 765
2025/03/14 16:22:28.405, 1, 95, 102.50, 1215, 765
2025/03/14 16:22:29.408, 1, 95, 105.25, 1215, 765
2025/03/14 16:22:30.411, 1, 95, 103.39, 1215, 765
2025/03/14 16:22:31.414, 1, 95, 103.52, 1215, 765
2025/03/14 16:22:32.418, 1, 95, 102.69, 1215, 765
2025/03/14 16:22:33.422, 1, 94, 103.10, 1215, 765
2025/03/14 16:22:34.425, 1, 95, 102.57, 1215, 765
2025/03/14 16:22:35.430, 1, 95, 102.86, 1215, 765
2025/03/14 16:22:36.433, 1, 95, 105.48, 1215, 765
2025/03/14 16:22:37.436, 1, 95, 104.05, 1215, 765
2025/03/14 16:22:38.440, 1, 95, 105.66, 1215, 765
2025/03/14 16:22:39.443, 1, 95, 105.34, 1215, 765
2025/03/14 16:22:40.446, 1, 96, 107.44, 1215, 765
2025/03/14 16:22:41.454, 1, 95, 106.17, 1215, 765
2025/03/14 16:22:42.461, 1, 95, 101.21, 1215, 765
2025/03/14 16:22:43.468, 1, 95, 102.79, 1215, 765
