timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/03/14 17:55:25.752, 0, 0, 34.31, 1215, 765
2025/03/14 17:55:26.771, 0, 0, 34.79, 1215, 765
2025/03/14 17:55:27.773, 0, 0, 34.70, 1215, 765
2025/03/14 17:55:28.782, 0, 0, 34.41, 1215, 765
2025/03/14 17:55:29.785, 0, 0, 34.70, 1215, 765
2025/03/14 17:55:30.789, 0, 0, 34.41, 1215, 765
2025/03/14 17:55:31.797, 0, 0, 34.60, 1215, 765
2025/03/14 17:55:32.802, 0, 0, 34.62, 1215, 765
2025/03/14 17:55:33.806, 0, 0, 34.40, 1215, 765
2025/03/14 17:55:34.814, 0, 0, 34.41, 1215, 765
2025/03/14 17:55:35.817, 0, 0, 34.71, 1215, 765
2025/03/14 17:55:36.820, 0, 0, 34.41, 1215, 765
2025/03/14 17:55:37.825, 0, 0, 34.71, 1215, 765
2025/03/14 17:55:38.829, 0, 0, 34.41, 1215, 765
2025/03/14 17:55:39.832, 0, 0, 34.71, 1215, 765
2025/03/14 17:55:40.835, 0, 0, 34.31, 1215, 765
2025/03/14 17:55:41.838, 0, 0, 34.60, 1215, 765
2025/03/14 17:55:42.841, 0, 0, 34.60, 1215, 765
2025/03/14 17:55:43.844, 0, 0, 34.31, 1215, 765
2025/03/14 17:55:44.853, 0, 0, 34.51, 1215, 765
2025/03/14 17:55:45.856, 0, 0, 34.60, 1215, 765
2025/03/14 17:55:46.860, 0, 0, 34.71, 1215, 765
2025/03/14 17:55:47.864, 0, 0, 34.51, 1215, 765
2025/03/14 17:55:48.867, 0, 34, 37.27, 1215, 765
2025/03/14 17:55:49.872, 0, 85, 37.28, 1215, 765
2025/03/14 17:55:50.874, 0, 82, 37.28, 1215, 765
2025/03/14 17:55:51.878, 0, 0, 36.97, 1215, 765
2025/03/14 17:55:52.883, 0, 85, 37.38, 1215, 765
2025/03/14 17:55:53.887, 0, 0, 36.49, 1215, 765
2025/03/14 17:55:54.891, 0, 0, 36.49, 1215, 765
2025/03/14 17:55:55.898, 0, 0, 36.69, 1215, 765
2025/03/14 17:55:56.901, 0, 0, 36.70, 1215, 765
2025/03/14 17:55:57.904, 0, 0, 36.40, 1215, 765
2025/03/14 17:55:58.907, 0, 0, 36.70, 1215, 765
2025/03/14 17:55:59.911, 0, 0, 36.70, 1215, 765
2025/03/14 17:56:00.915, 0, 93, 107.25, 1215, 765
2025/03/14 17:56:01.919, 0, 95, 105.98, 1215, 765
2025/03/14 17:56:02.926, 0, 95, 110.54, 1215, 765
2025/03/14 17:56:03.929, 0, 93, 104.99, 1215, 765
2025/03/14 17:56:04.934, 0, 95, 101.15, 1215, 765
2025/03/14 17:56:05.939, 0, 95, 104.52, 1215, 765
2025/03/14 17:56:06.942, 0, 95, 106.57, 1215, 765
2025/03/14 17:56:07.945, 0, 95, 100.41, 1215, 765
2025/03/14 17:56:08.951, 0, 94, 110.63, 1215, 765
2025/03/14 17:56:09.954, 0, 95, 105.82, 1215, 765
2025/03/14 17:56:10.959, 0, 96, 101.66, 1215, 765
2025/03/14 17:56:11.962, 0, 94, 100.65, 1215, 765
2025/03/14 17:56:12.968, 0, 96, 107.33, 1215, 765
2025/03/14 17:56:13.972, 0, 95, 104.52, 1215, 765
2025/03/14 17:56:14.977, 0, 95, 104.03, 1215, 765
2025/03/14 17:56:15.980, 0, 94, 106.00, 1215, 765
2025/03/14 17:56:16.985, 0, 96, 106.39, 1215, 765
2025/03/14 17:56:17.988, 0, 95, 107.76, 1215, 765
2025/03/14 17:56:18.991, 0, 96, 106.94, 1215, 765
2025/03/14 17:56:19.996, 0, 94, 105.11, 1215, 765
2025/03/14 17:56:20.999, 0, 95, 107.07, 1215, 765
2025/03/14 17:56:22.002, 0, 95, 102.47, 1215, 765
2025/03/14 17:56:23.006, 0, 94, 102.56, 1215, 765
2025/03/14 17:56:24.011, 0, 96, 107.97, 1215, 765
2025/03/14 17:56:25.016, 0, 95, 101.35, 1215, 765
2025/03/14 17:56:26.021, 0, 95, 105.84, 1215, 765
2025/03/14 17:56:27.024, 0, 95, 104.05, 1215, 765
2025/03/14 17:56:28.029, 0, 94, 105.78, 1215, 765
2025/03/14 17:56:29.034, 0, 94, 108.25, 1215, 765
2025/03/14 17:56:30.043, 0, 95, 107.00, 1215, 765
2025/03/14 17:56:31.046, 0, 94, 106.61, 1215, 765
2025/03/14 17:56:32.049, 0, 94, 105.03, 1215, 765
2025/03/14 17:56:33.052, 0, 95, 108.35, 1215, 765
2025/03/14 17:56:34.055, 0, 95, 106.41, 1215, 765
2025/03/14 17:56:35.060, 0, 95, 105.63, 1215, 765
2025/03/14 17:56:36.063, 0, 95, 107.11, 1215, 765
2025/03/14 17:56:37.067, 0, 95, 108.16, 1215, 765
2025/03/14 17:56:38.075, 0, 96, 107.38, 1215, 765
2025/03/14 17:56:39.080, 0, 95, 107.56, 1215, 765
2025/03/14 17:56:40.083, 0, 95, 104.55, 1215, 765
2025/03/14 17:56:41.088, 0, 95, 107.78, 1215, 765
2025/03/14 17:56:42.093, 0, 96, 106.52, 1215, 765
2025/03/14 17:56:43.100, 0, 95, 108.18, 1215, 765
2025/03/14 17:56:44.103, 0, 95, 102.03, 1215, 765
2025/03/14 17:56:45.109, 0, 95, 103.13, 1215, 765
2025/03/14 17:56:46.113, 0, 95, 106.90, 1215, 765
2025/03/14 17:56:47.116, 0, 94, 107.96, 1215, 765
2025/03/14 17:56:48.121, 0, 95, 106.80, 1215, 765
2025/03/14 17:56:49.128, 0, 94, 106.78, 1215, 765
2025/03/14 17:56:50.131, 0, 95, 106.97, 1215, 765
2025/03/14 17:56:51.134, 0, 93, 106.76, 1215, 765
2025/03/14 17:56:52.139, 0, 95, 105.94, 1215, 765
2025/03/14 17:56:53.142, 0, 95, 111.11, 1215, 765
2025/03/14 17:56:54.147, 0, 95, 107.64, 1215, 765
2025/03/14 17:56:55.151, 0, 95, 109.36, 1215, 765
2025/03/14 17:56:56.155, 0, 95, 108.97, 1215, 765
