timestamp, index, utilization.gpu [%], power.draw [W]
2025/01/10 19:04:09.085, 0, 0, 37.34
2025/01/10 19:04:10.086, 0, 0, 37.32
2025/01/10 19:04:11.086, 0, 0, 37.32
2025/01/10 19:04:12.086, 0, 0, 37.32
2025/01/10 19:04:13.086, 0, 0, 37.12
2025/01/10 19:04:14.086, 0, 0, 37.22
2025/01/10 19:04:15.087, 0, 0, 37.42
2025/01/10 19:04:16.087, 0, 0, 37.22
2025/01/10 19:04:17.087, 0, 0, 37.32
2025/01/10 19:04:18.087, 0, 0, 37.34
2025/01/10 19:04:19.088, 0, 0, 37.22
2025/01/10 19:04:20.088, 0, 0, 37.32
2025/01/10 19:04:21.088, 0, 0, 37.22
2025/01/10 19:04:22.088, 0, 0, 37.22
2025/01/10 19:04:23.088, 0, 0, 37.71
2025/01/10 19:04:24.089, 0, 0, 37.22
2025/01/10 19:04:25.089, 0, 0, 37.12
2025/01/10 19:04:26.089, 0, 0, 37.22
2025/01/10 19:04:27.089, 0, 0, 37.52
2025/01/10 19:04:28.090, 0, 0, 37.52
2025/01/10 19:04:29.090, 0, 0, 37.62
2025/01/10 19:04:30.090, 0, 0, 37.90
2025/01/10 19:04:31.090, 0, 0, 37.32
2025/01/10 19:04:32.090, 0, 0, 37.21
2025/01/10 19:04:33.091, 0, 0, 40.01
2025/01/10 19:04:34.091, 0, 54, 38.29
2025/01/10 19:04:35.091, 0, 37, 37.32
2025/01/10 19:04:36.091, 0, 65, 38.40
2025/01/10 19:04:37.092, 0, 40, 37.01
2025/01/10 19:04:38.092, 0, 37, 36.92
2025/01/10 19:04:39.092, 0, 0, 37.04
2025/01/10 19:04:40.092, 0, 0, 36.94
2025/01/10 19:04:41.093, 0, 0, 36.92
2025/01/10 19:04:42.093, 0, 0, 36.93
2025/01/10 19:04:43.093, 0, 0, 37.44
2025/01/10 19:04:44.093, 0, 0, 36.92
2025/01/10 19:04:45.094, 0, 0, 37.01
2025/01/10 19:04:46.094, 0, 0, 37.22
2025/01/10 19:04:47.094, 0, 0, 36.92
2025/01/10 19:04:48.094, 0, 0, 37.22
2025/01/10 19:04:49.095, 0, 0, 36.81
2025/01/10 19:04:50.095, 0, 0, 36.92
2025/01/10 19:04:51.095, 0, 0, 37.12
2025/01/10 19:04:52.095, 0, 0, 37.12
2025/01/10 19:04:53.095, 0, 0, 36.82
2025/01/10 19:04:54.096, 0, 38, 175.59
2025/01/10 19:04:55.096, 0, 36, 125.06
2025/01/10 19:04:56.096, 0, 97, 123.90
2025/01/10 19:04:57.096, 0, 97, 125.50
2025/01/10 19:04:58.096, 0, 72, 117.91
2025/01/10 19:04:59.097, 0, 97, 126.45
2025/01/10 19:05:00.097, 0, 97, 108.01
2025/01/10 19:05:01.097, 0, 98, 123.75
2025/01/10 19:05:02.097, 0, 97, 126.60
2025/01/10 19:05:03.098, 0, 97, 126.96
2025/01/10 19:05:04.098, 0, 97, 128.15
2025/01/10 19:05:05.098, 0, 97, 128.69
2025/01/10 19:05:06.098, 0, 97, 128.62
2025/01/10 19:05:07.098, 0, 97, 129.22
2025/01/10 19:05:08.099, 0, 97, 128.72
