timestamp, index, utilization.gpu [%], power.draw [W]
2025/01/16 10:34:58.144, 0, 0, 38.63
2025/01/16 10:34:59.145, 0, 0, 38.22
2025/01/16 10:35:00.145, 0, 0, 38.51
2025/01/16 10:35:01.145, 0, 0, 38.51
2025/01/16 10:35:02.145, 0, 0, 38.41
2025/01/16 10:35:03.146, 0, 0, 38.41
2025/01/16 10:35:04.146, 0, 0, 38.41
2025/01/16 10:35:05.146, 0, 0, 38.21
2025/01/16 10:35:06.146, 0, 0, 38.23
2025/01/16 10:35:07.146, 0, 0, 38.01
2025/01/16 10:35:08.146, 0, 0, 38.32
2025/01/16 10:35:09.147, 0, 0, 38.32
2025/01/16 10:35:10.147, 0, 0, 37.91
2025/01/16 10:35:11.147, 0, 0, 37.91
2025/01/16 10:35:12.147, 0, 0, 38.21
2025/01/16 10:35:13.147, 0, 0, 38.11
2025/01/16 10:35:14.147, 0, 0, 38.51
2025/01/16 10:35:15.148, 0, 0, 38.32
2025/01/16 10:35:16.148, 0, 0, 38.21
2025/01/16 10:35:17.148, 0, 0, 39.40
2025/01/16 10:35:18.148, 0, 0, 38.32
2025/01/16 10:35:19.148, 0, 0, 38.22
2025/01/16 10:35:20.148, 0, 0, 37.71
2025/01/16 10:35:21.148, 0, 30, 37.90
2025/01/16 10:35:22.149, 0, 84, 38.89
2025/01/16 10:35:23.149, 0, 0, 38.11
2025/01/16 10:35:24.149, 0, 84, 38.79
2025/01/16 10:35:25.149, 0, 83, 38.50
2025/01/16 10:35:26.149, 0, 50, 38.01
2025/01/16 10:35:27.149, 0, 52, 38.60
2025/01/16 10:35:28.150, 0, 0, 37.90
2025/01/16 10:35:29.150, 0, 0, 37.92
2025/01/16 10:35:30.150, 0, 0, 38.11
2025/01/16 10:35:31.150, 0, 0, 38.10
2025/01/16 10:35:32.150, 0, 0, 37.71
2025/01/16 10:35:33.150, 0, 0, 37.71
2025/01/16 10:35:34.151, 0, 0, 37.90
2025/01/16 10:35:35.151, 0, 0, 37.52
2025/01/16 10:35:36.151, 0, 0, 37.91
2025/01/16 10:35:37.151, 0, 0, 37.62
2025/01/16 10:35:38.151, 0, 0, 37.52
2025/01/16 10:35:39.151, 0, 0, 37.81
2025/01/16 10:35:40.152, 0, 0, 37.52
2025/01/16 10:35:41.152, 0, 7, 166.79
2025/01/16 10:35:42.152, 0, 90, 41.30
2025/01/16 10:35:43.152, 0, 95, 126.15
2025/01/16 10:35:44.152, 0, 96, 124.27
2025/01/16 10:35:45.152, 0, 93, 110.13
2025/01/16 10:35:46.153, 0, 94, 128.34
2025/01/16 10:35:47.153, 0, 96, 123.36
2025/01/16 10:35:48.153, 0, 94, 100.74
2025/01/16 10:35:49.153, 0, 96, 124.66
2025/01/16 10:35:50.153, 0, 94, 128.04
2025/01/16 10:35:51.153, 0, 94, 102.61
2025/01/16 10:35:52.153, 0, 96, 122.78
2025/01/16 10:35:53.154, 0, 95, 127.10
2025/01/16 10:35:54.154, 0, 94, 128.64
2025/01/16 10:35:55.154, 0, 94, 129.34
2025/01/16 10:35:56.154, 0, 94, 128.62
2025/01/16 10:35:57.154, 0, 94, 128.77
2025/01/16 10:35:58.154, 0, 96, 124.66
2025/01/16 10:35:59.155, 0, 96, 117.61
2025/01/16 10:36:00.155, 0, 94, 127.14
2025/01/16 10:36:01.155, 0, 93, 170.99
2025/01/16 10:36:02.155, 0, 94, 121.58
2025/01/16 10:36:03.155, 0, 94, 122.37
2025/01/16 10:36:04.155, 0, 94, 115.46
2025/01/16 10:36:05.156, 0, 94, 96.55
2025/01/16 10:36:06.156, 0, 94, 126.64
2025/01/16 10:36:07.156, 0, 95, 114.79
2025/01/16 10:36:08.156, 0, 94, 126.74
2025/01/16 10:36:09.156, 0, 94, 98.24
2025/01/16 10:36:10.157, 0, 94, 122.82
2025/01/16 10:36:11.157, 0, 94, 126.66
2025/01/16 10:36:12.157, 0, 94, 128.62
2025/01/16 10:36:13.157, 0, 94, 127.80
2025/01/16 10:36:14.157, 0, 94, 128.07
2025/01/16 10:36:15.158, 0, 94, 128.28
2025/01/16 10:36:16.158, 0, 94, 124.56
2025/01/16 10:36:17.158, 0, 94, 105.68
2025/01/16 10:36:18.158, 0, 95, 128.84
2025/01/16 10:36:19.159, 0, 94, 123.36
2025/01/16 10:36:20.159, 0, 100, 92.22
2025/01/16 10:36:21.159, 0, 94, 117.90
2025/01/16 10:36:22.159, 0, 94, 123.36
2025/01/16 10:36:23.159, 0, 94, 123.65
2025/01/16 10:36:24.160, 0, 94, 125.35
2025/01/16 10:36:25.160, 0, 94, 123.36
2025/01/16 10:36:26.160, 0, 94, 112.71
2025/01/16 10:36:27.160, 0, 94, 125.46
2025/01/16 10:36:28.160, 0, 94, 124.66
2025/01/16 10:36:29.160, 0, 94, 96.74
2025/01/16 10:36:30.161, 0, 94, 121.43
2025/01/16 10:36:31.161, 0, 95, 127.14
2025/01/16 10:36:32.161, 0, 94, 130.08
2025/01/16 10:36:33.161, 0, 94, 126.49
2025/01/16 10:36:34.161, 0, 94, 126.86
2025/01/16 10:36:35.162, 0, 94, 126.74
2025/01/16 10:36:36.162, 0, 94, 126.84
2025/01/16 10:36:37.162, 0, 94, 122.37
2025/01/16 10:36:38.162, 0, 96, 93.88
2025/01/16 10:36:39.162, 0, 93, 121.87
2025/01/16 10:36:40.162, 0, 94, 125.71
2025/01/16 10:36:41.163, 0, 94, 126.62
2025/01/16 10:36:42.163, 0, 94, 127.24
2025/01/16 10:36:43.163, 0, 94, 126.73
2025/01/16 10:36:44.163, 0, 94, 124.85
2025/01/16 10:36:45.163, 0, 94, 122.18
2025/01/16 10:36:46.164, 0, 94, 93.39
2025/01/16 10:36:47.164, 0, 94, 126.44
2025/01/16 10:36:48.164, 0, 94, 94.61
2025/01/16 10:36:49.164, 0, 94, 123.56
2025/01/16 10:36:50.164, 0, 94, 118.14
2025/01/16 10:36:51.165, 0, 94, 125.16
2025/01/16 10:36:52.165, 0, 95, 127.24
2025/01/16 10:36:53.165, 0, 95, 126.89
2025/01/16 10:36:54.165, 0, 96, 127.49
2025/01/16 10:36:55.165, 0, 95, 126.73
2025/01/16 10:36:56.165, 0, 93, 99.13
2025/01/16 10:36:57.166, 0, 94, 113.22
2025/01/16 10:36:58.166, 0, 94, 114.87
2025/01/16 10:36:59.166, 0, 93, 122.48
2025/01/16 10:37:00.166, 0, 94, 98.26
2025/01/16 10:37:01.166, 0, 93, 119.60
2025/01/16 10:37:02.167, 0, 94, 125.25
2025/01/16 10:37:03.167, 0, 94, 127.04
2025/01/16 10:37:04.167, 0, 94, 128.23
2025/01/16 10:37:05.167, 0, 94, 128.77
2025/01/16 10:37:06.167, 0, 93, 125.85
2025/01/16 10:37:07.167, 0, 94, 124.86
2025/01/16 10:37:08.168, 0, 94, 113.11
2025/01/16 10:37:09.168, 0, 94, 127.43
2025/01/16 10:37:10.168, 0, 95, 119.89
2025/01/16 10:37:11.168, 0, 94, 128.08
2025/01/16 10:37:12.168, 0, 94, 98.56
2025/01/16 10:37:13.169, 0, 96, 96.00
2025/01/16 10:37:14.169, 0, 94, 97.10
2025/01/16 10:37:15.169, 0, 94, 125.15
2025/01/16 10:37:16.169, 0, 92, 122.97
2025/01/16 10:37:17.169, 0, 94, 95.26
2025/01/16 10:37:18.170, 0, 93, 123.26
2025/01/16 10:37:19.170, 0, 94, 126.54
2025/01/16 10:37:20.170, 0, 94, 99.25
2025/01/16 10:37:21.170, 0, 94, 113.87
2025/01/16 10:37:22.171, 0, 94, 117.05
2025/01/16 10:37:23.171, 0, 94, 127.00
2025/01/16 10:37:24.171, 0, 94, 125.94
2025/01/16 10:37:25.171, 0, 94, 120.39
2025/01/16 10:37:26.171, 0, 94, 98.92
2025/01/16 10:37:27.172, 0, 94, 126.70
2025/01/16 10:37:28.172, 0, 94, 99.26
2025/01/16 10:37:29.172, 0, 94, 125.06
2025/01/16 10:37:30.172, 0, 100, 172.08
2025/01/16 10:37:31.172, 0, 94, 94.38
2025/01/16 10:37:32.173, 0, 92, 107.74
2025/01/16 10:37:33.173, 0, 92, 109.19
