timestamp, index, utilization.gpu [%], power.draw [W]
2025/01/10 16:29:53.774, 0, 0, 39.15
2025/01/10 16:29:54.775, 0, 0, 39.04
2025/01/10 16:29:55.775, 0, 0, 38.94
2025/01/10 16:29:56.775, 0, 0, 38.96
2025/01/10 16:29:57.775, 0, 0, 39.03
2025/01/10 16:29:58.775, 0, 0, 38.96
2025/01/10 16:29:59.775, 0, 0, 38.86
2025/01/10 16:30:00.775, 0, 0, 38.87
2025/01/10 16:30:01.776, 0, 0, 38.87
2025/01/10 16:30:02.776, 0, 0, 38.68
2025/01/10 16:30:03.776, 0, 0, 38.67
2025/01/10 16:30:04.776, 0, 0, 38.78
2025/01/10 16:30:05.776, 0, 0, 39.34
2025/01/10 16:30:06.777, 0, 0, 39.15
2025/01/10 16:30:07.777, 0, 0, 38.92
2025/01/10 16:30:08.777, 0, 0, 38.95
2025/01/10 16:30:09.777, 0, 0, 38.97
2025/01/10 16:30:10.777, 0, 0, 38.95
2025/01/10 16:30:11.777, 0, 0, 38.84
2025/01/10 16:30:12.778, 0, 0, 38.57
2025/01/10 16:30:13.778, 0, 0, 38.66
2025/01/10 16:30:14.778, 0, 0, 38.58
2025/01/10 16:30:15.778, 0, 0, 38.55
2025/01/10 16:30:16.778, 0, 0, 38.84
2025/01/10 16:30:17.778, 0, 0, 41.03
2025/01/10 16:30:18.779, 0, 69, 38.73
2025/01/10 16:30:19.779, 0, 53, 39.81
2025/01/10 16:30:20.779, 0, 34, 38.69
2025/01/10 16:30:21.779, 0, 59, 39.09
2025/01/10 16:30:22.779, 0, 7, 38.37
2025/01/10 16:30:23.779, 0, 28, 39.12
2025/01/10 16:30:24.780, 0, 0, 38.29
2025/01/10 16:30:25.780, 0, 0, 38.67
2025/01/10 16:30:26.780, 0, 0, 38.24
2025/01/10 16:30:27.780, 0, 0, 38.05
2025/01/10 16:30:28.780, 0, 0, 38.14
2025/01/10 16:30:29.780, 0, 0, 38.16
2025/01/10 16:30:30.780, 0, 0, 37.76
2025/01/10 16:30:31.781, 0, 0, 38.07
2025/01/10 16:30:32.781, 0, 0, 37.95
2025/01/10 16:30:33.781, 0, 0, 37.97
2025/01/10 16:30:34.781, 0, 0, 38.07
2025/01/10 16:30:35.781, 0, 0, 37.65
