timestamp, index, utilization.gpu [%], power.draw [W]
2025/01/16 02:06:39.537, 0, 0, 39.02
2025/01/16 02:06:40.538, 0, 0, 38.41
2025/01/16 02:06:41.538, 0, 0, 38.81
2025/01/16 02:06:42.538, 0, 0, 38.71
2025/01/16 02:06:43.538, 0, 0, 38.32
2025/01/16 02:06:44.538, 0, 0, 38.61
2025/01/16 02:06:45.539, 0, 0, 38.51
2025/01/16 02:06:46.539, 0, 0, 38.50
2025/01/16 02:06:47.539, 0, 0, 38.02
2025/01/16 02:06:48.539, 0, 0, 37.91
2025/01/16 02:06:49.540, 0, 0, 38.21
2025/01/16 02:06:50.540, 0, 0, 38.11
2025/01/16 02:06:51.540, 0, 0, 38.01
2025/01/16 02:06:52.540, 0, 0, 37.71
2025/01/16 02:06:53.541, 0, 0, 41.19
2025/01/16 02:06:54.541, 0, 0, 38.01
2025/01/16 02:06:55.541, 0, 0, 37.62
2025/01/16 02:06:56.541, 0, 0, 37.91
2025/01/16 02:06:57.541, 0, 0, 37.91
2025/01/16 02:06:58.542, 0, 0, 37.84
2025/01/16 02:06:59.542, 0, 0, 37.91
2025/01/16 02:07:00.542, 0, 0, 37.90
2025/01/16 02:07:01.542, 0, 27, 38.59
2025/01/16 02:07:02.542, 0, 46, 38.59
2025/01/16 02:07:03.543, 0, 46, 38.50
2025/01/16 02:07:04.543, 0, 45, 38.40
2025/01/16 02:07:05.543, 0, 84, 38.19
2025/01/16 02:07:06.543, 0, 82, 38.09
2025/01/16 02:07:07.544, 0, 84, 38.40
2025/01/16 02:07:08.544, 0, 87, 38.40
2025/01/16 02:07:09.544, 0, 0, 37.53
2025/01/16 02:07:10.544, 0, 0, 37.73
2025/01/16 02:07:11.545, 0, 0, 37.83
2025/01/16 02:07:12.545, 0, 0, 38.00
2025/01/16 02:07:13.545, 0, 0, 37.62
2025/01/16 02:07:14.545, 0, 0, 37.71
2025/01/16 02:07:15.545, 0, 0, 37.62
