timestamp, index, utilization.gpu [%], power.draw [W]
2025/01/15 17:24:29.264, 0, 0, 37.03
2025/01/15 17:24:30.265, 0, 0, 36.99
2025/01/15 17:24:31.265, 0, 0, 37.22
2025/01/15 17:24:32.265, 0, 0, 37.50
2025/01/15 17:24:33.265, 0, 0, 37.21
2025/01/15 17:24:34.265, 0, 0, 37.42
2025/01/15 17:24:35.266, 0, 0, 37.12
2025/01/15 17:24:36.266, 0, 0, 36.92
2025/01/15 17:24:37.266, 0, 0, 37.43
2025/01/15 17:24:38.266, 0, 0, 37.00
2025/01/15 17:24:39.266, 0, 0, 37.21
2025/01/15 17:24:40.267, 0, 0, 36.91
2025/01/15 17:24:41.267, 0, 0, 37.01
2025/01/15 17:24:42.267, 0, 0, 37.21
2025/01/15 17:24:43.267, 0, 0, 37.21
2025/01/15 17:24:44.267, 0, 0, 36.82
2025/01/15 17:24:45.267, 0, 0, 36.81
2025/01/15 17:24:46.268, 0, 0, 37.22
2025/01/15 17:24:47.268, 0, 0, 37.22
2025/01/15 17:24:48.268, 0, 0, 36.91
2025/01/15 17:24:49.268, 0, 0, 37.12
2025/01/15 17:24:50.268, 0, 0, 36.91
2025/01/15 17:24:51.268, 0, 0, 36.91
2025/01/15 17:24:52.268, 0, 60, 37.89
2025/01/15 17:24:53.269, 0, 0, 38.17
2025/01/15 17:24:54.269, 0, 83, 37.59
2025/01/15 17:24:55.269, 0, 85, 37.50
2025/01/15 17:24:56.269, 0, 53, 38.18
2025/01/15 17:24:57.269, 0, 85, 38.08
2025/01/15 17:24:58.269, 0, 84, 37.70
2025/01/15 17:24:59.270, 0, 84, 37.69
2025/01/15 17:25:00.270, 0, 0, 36.92
2025/01/15 17:25:01.270, 0, 0, 37.14
2025/01/15 17:25:02.270, 0, 0, 37.21
2025/01/15 17:25:03.270, 0, 0, 37.21
2025/01/15 17:25:04.271, 0, 0, 36.92
2025/01/15 17:25:05.271, 0, 0, 36.81
2025/01/15 17:25:06.271, 0, 0, 37.12
2025/01/15 17:25:07.271, 0, 0, 36.91
2025/01/15 17:25:08.271, 0, 0, 36.80
2025/01/15 17:25:09.271, 0, 0, 36.81
2025/01/15 17:25:10.271, 0, 0, 36.81
2025/01/15 17:25:11.272, 0, 0, 37.12
2025/01/15 17:25:12.272, 0, 0, 36.81
2025/01/15 17:25:13.272, 0, 30, 59.67
2025/01/15 17:25:14.272, 0, 98, 123.31
2025/01/15 17:25:15.272, 0, 98, 120.19
