timestamp, index, utilization.gpu [%], power.draw [W]
2025/01/09 12:01:17.053, 0, 0, 38.77
2025/01/09 12:01:18.054, 0, 0, 38.83
2025/01/09 12:01:19.054, 0, 0, 38.65
2025/01/09 12:01:20.054, 0, 0, 38.77
2025/01/09 12:01:21.054, 0, 0, 38.48
2025/01/09 12:01:22.055, 0, 0, 37.98
2025/01/09 12:01:23.055, 0, 0, 38.60
2025/01/09 12:01:24.055, 0, 0, 38.44
2025/01/09 12:01:25.055, 0, 0, 38.58
2025/01/09 12:01:26.056, 0, 0, 38.56
2025/01/09 12:01:27.056, 0, 0, 38.48
2025/01/09 12:01:28.056, 0, 0, 38.26
2025/01/09 12:01:29.056, 0, 0, 38.18
2025/01/09 12:01:30.056, 0, 0, 38.37
2025/01/09 12:01:31.057, 0, 0, 38.36
2025/01/09 12:01:32.057, 0, 0, 38.27
2025/01/09 12:01:33.057, 0, 0, 38.26
2025/01/09 12:01:34.057, 0, 0, 38.07
2025/01/09 12:01:35.057, 0, 0, 38.00
2025/01/09 12:01:36.058, 0, 0, 37.70
2025/01/09 12:01:37.058, 0, 0, 38.17
2025/01/09 12:01:38.058, 0, 0, 38.08
2025/01/09 12:01:39.058, 0, 0, 37.99
2025/01/09 12:01:40.059, 0, 0, 38.07
2025/01/09 12:01:41.059, 0, 0, 38.22
2025/01/09 12:01:42.059, 0, 0, 40.88
2025/01/09 12:01:43.059, 0, 53, 39.00
2025/01/09 12:01:44.059, 0, 80, 38.53
2025/01/09 12:01:45.060, 0, 50, 38.14
2025/01/09 12:01:46.060, 0, 53, 37.91
2025/01/09 12:01:47.060, 0, 83, 38.63
2025/01/09 12:01:48.060, 0, 31, 38.28
2025/01/09 12:01:49.060, 0, 0, 38.19
2025/01/09 12:01:50.061, 0, 0, 38.09
2025/01/09 12:01:51.061, 0, 0, 37.97
2025/01/09 12:01:52.061, 0, 0, 37.89
2025/01/09 12:01:53.061, 0, 0, 37.77
2025/01/09 12:01:54.061, 0, 0, 37.87
2025/01/09 12:01:55.062, 0, 0, 38.17
2025/01/09 12:01:56.062, 0, 0, 37.98
2025/01/09 12:01:57.062, 0, 0, 37.98
2025/01/09 12:01:58.062, 0, 0, 37.98
2025/01/09 12:01:59.062, 0, 0, 37.75
2025/01/09 12:02:00.063, 0, 0, 37.69
2025/01/09 12:02:01.063, 0, 0, 37.79
2025/01/09 12:02:02.063, 0, 36, 69.86
2025/01/09 12:02:03.063, 0, 97, 121.64
2025/01/09 12:02:04.064, 0, 98, 123.39
2025/01/09 12:02:05.064, 0, 98, 119.49
2025/01/09 12:02:06.064, 0, 98, 121.35
2025/01/09 12:02:07.064, 0, 98, 114.62
2025/01/09 12:02:08.064, 0, 98, 120.13
2025/01/09 12:02:09.065, 0, 98, 115.79
2025/01/09 12:02:10.065, 0, 98, 119.72
2025/01/09 12:02:11.065, 0, 98, 120.90
2025/01/09 12:02:12.065, 0, 98, 119.98
2025/01/09 12:02:13.065, 0, 98, 123.87
2025/01/09 12:02:14.066, 0, 97, 115.67
2025/01/09 12:02:15.066, 0, 98, 123.08
2025/01/09 12:02:16.066, 0, 97, 122.63
2025/01/09 12:02:17.066, 0, 97, 122.47
2025/01/09 12:02:18.067, 0, 97, 124.76
2025/01/09 12:02:19.067, 0, 98, 117.78
2025/01/09 12:02:20.067, 0, 98, 115.91
2025/01/09 12:02:21.067, 0, 98, 115.67
2025/01/09 12:02:22.067, 0, 98, 122.08
2025/01/09 12:02:23.068, 0, 98, 123.79
2025/01/09 12:02:24.068, 0, 98, 140.07
2025/01/09 12:02:25.068, 0, 98, 117.47
2025/01/09 12:02:26.068, 0, 97, 117.67
2025/01/09 12:02:27.068, 0, 98, 123.63
2025/01/09 12:02:28.069, 0, 98, 121.11
2025/01/09 12:02:29.069, 0, 97, 123.15
2025/01/09 12:02:30.069, 0, 97, 119.04
2025/01/09 12:02:31.069, 0, 98, 123.10
2025/01/09 12:02:32.070, 0, 98, 122.69
2025/01/09 12:02:33.070, 0, 98, 123.62
2025/01/09 12:02:34.070, 0, 98, 116.11
2025/01/09 12:02:35.070, 0, 98, 121.14
2025/01/09 12:02:36.070, 0, 98, 125.91
2025/01/09 12:02:37.071, 0, 97, 120.43
2025/01/09 12:02:38.071, 0, 98, 124.54
2025/01/09 12:02:39.071, 0, 97, 126.16
2025/01/09 12:02:40.071, 0, 97, 130.15
2025/01/09 12:02:41.071, 0, 98, 116.68
2025/01/09 12:02:42.072, 0, 98, 124.12
