timestamp, index, utilization.gpu [%], power.draw [W]
2025/01/13 02:52:42.137, 0, 0, 38.32
2025/01/13 02:52:43.138, 0, 0, 38.24
2025/01/13 02:52:44.138, 0, 0, 38.33
2025/01/13 02:52:45.139, 0, 0, 38.22
2025/01/13 02:52:46.139, 0, 0, 38.33
2025/01/13 02:52:47.139, 0, 0, 38.29
2025/01/13 02:52:48.139, 0, 0, 38.29
2025/01/13 02:52:49.139, 0, 0, 38.24
2025/01/13 02:52:50.140, 0, 0, 38.11
2025/01/13 02:52:51.140, 0, 0, 38.10
2025/01/13 02:52:52.140, 0, 0, 37.99
2025/01/13 02:52:53.140, 0, 0, 38.32
2025/01/13 02:52:54.140, 0, 0, 38.11
2025/01/13 02:52:55.141, 0, 0, 38.33
2025/01/13 02:52:56.141, 0, 0, 38.01
2025/01/13 02:52:57.141, 0, 0, 37.79
2025/01/13 02:52:58.141, 0, 0, 38.12
2025/01/13 02:52:59.141, 0, 0, 37.79
2025/01/13 02:53:00.142, 0, 0, 37.94
2025/01/13 02:53:01.142, 0, 0, 37.89
2025/01/13 02:53:02.142, 0, 0, 38.00
2025/01/13 02:53:03.142, 0, 0, 38.10
2025/01/13 02:53:04.142, 0, 0, 38.40
2025/01/13 02:53:05.143, 0, 0, 37.82
2025/01/13 02:53:06.143, 0, 0, 38.09
2025/01/13 02:53:07.143, 0, 0, 38.16
2025/01/13 02:53:08.143, 0, 0, 40.88
2025/01/13 02:53:09.143, 0, 56, 39.10
2025/01/13 02:53:10.144, 0, 41, 39.19
2025/01/13 02:53:11.144, 0, 37, 38.17
2025/01/13 02:53:12.144, 0, 55, 38.72
2025/01/13 02:53:13.144, 0, 0, 38.02
2025/01/13 02:53:14.145, 0, 0, 37.71
2025/01/13 02:53:15.145, 0, 0, 37.99
2025/01/13 02:53:16.145, 0, 0, 38.20
2025/01/13 02:53:17.145, 0, 0, 37.99
2025/01/13 02:53:18.145, 0, 0, 37.89
2025/01/13 02:53:19.145, 0, 0, 37.90
2025/01/13 02:53:20.146, 0, 0, 38.02
2025/01/13 02:53:21.146, 0, 0, 37.59
2025/01/13 02:53:22.146, 0, 0, 37.60
2025/01/13 02:53:23.146, 0, 0, 37.67
2025/01/13 02:53:24.146, 0, 0, 37.80
2025/01/13 02:53:25.147, 0, 0, 37.82
2025/01/13 02:53:26.147, 0, 0, 37.72
2025/01/13 02:53:27.147, 0, 0, 37.22
2025/01/13 02:53:28.147, 0, 0, 37.60
2025/01/13 02:53:29.147, 0, 0, 37.49
2025/01/13 02:53:30.148, 0, 0, 37.50
2025/01/13 02:53:31.148, 0, 0, 37.51
2025/01/13 02:53:32.148, 0, 0, 37.49
2025/01/13 02:53:33.148, 0, 0, 37.61
2025/01/13 02:53:34.148, 0, 0, 37.48
2025/01/13 02:53:35.149, 0, 0, 37.41
2025/01/13 02:53:36.149, 0, 0, 37.40
2025/01/13 02:53:37.149, 0, 0, 37.40
2025/01/13 02:53:38.149, 0, 0, 37.37
2025/01/13 02:53:39.149, 0, 0, 37.40
2025/01/13 02:53:40.150, 0, 0, 37.50
2025/01/13 02:53:41.150, 0, 0, 37.22
2025/01/13 02:53:42.150, 0, 0, 37.11
2025/01/13 02:53:43.150, 0, 0, 37.21
2025/01/13 02:53:44.150, 0, 0, 37.31
2025/01/13 02:53:45.151, 0, 0, 37.51
2025/01/13 02:53:46.151, 0, 0, 37.51
2025/01/13 02:53:47.151, 0, 0, 37.42
2025/01/13 02:53:48.151, 0, 0, 37.43
2025/01/13 02:53:49.151, 0, 0, 37.01
2025/01/13 02:53:50.152, 0, 0, 37.42
2025/01/13 02:53:51.152, 0, 0, 37.31
2025/01/13 02:53:52.152, 0, 0, 37.77
2025/01/13 02:53:53.152, 0, 1, 43.71
2025/01/13 02:53:54.152, 0, 100, 173.31
2025/01/13 02:53:55.153, 0, 57, 131.77
2025/01/13 02:53:56.153, 0, 97, 129.04
2025/01/13 02:53:57.153, 0, 97, 129.71
2025/01/13 02:53:58.153, 0, 97, 129.76
2025/01/13 02:53:59.153, 0, 98, 121.26
2025/01/13 02:54:00.154, 0, 98, 131.68
2025/01/13 02:54:01.154, 0, 98, 131.52
2025/01/13 02:54:02.154, 0, 98, 112.49
2025/01/13 02:54:03.154, 0, 98, 131.41
2025/01/13 02:54:04.154, 0, 98, 111.86
