timestamp, index, utilization.gpu [%], power.draw [W]
2025/01/20 03:50:18.116, 0, 0, 38.90
2025/01/20 03:50:19.117, 0, 0, 38.61
2025/01/20 03:50:20.117, 0, 0, 38.22
2025/01/20 03:50:21.117, 0, 0, 38.11
2025/01/20 03:50:22.117, 0, 0, 38.11
2025/01/20 03:50:23.118, 0, 0, 38.11
2025/01/20 03:50:24.118, 0, 0, 38.19
2025/01/20 03:50:25.118, 0, 0, 38.41
2025/01/20 03:50:26.118, 0, 0, 38.51
2025/01/20 03:50:27.118, 0, 0, 38.32
2025/01/20 03:50:28.119, 0, 0, 38.11
2025/01/20 03:50:29.119, 0, 0, 38.32
2025/01/20 03:50:30.119, 0, 0, 38.11
2025/01/20 03:50:31.119, 0, 0, 37.91
2025/01/20 03:50:32.120, 0, 0, 38.01
2025/01/20 03:50:33.120, 0, 0, 38.32
2025/01/20 03:50:34.120, 0, 0, 37.91
2025/01/20 03:50:35.120, 0, 0, 37.81
2025/01/20 03:50:36.120, 0, 0, 37.81
2025/01/20 03:50:37.121, 0, 0, 37.81
2025/01/20 03:50:38.121, 0, 0, 37.71
2025/01/20 03:50:39.121, 0, 0, 37.80
2025/01/20 03:50:40.121, 0, 0, 37.71
2025/01/20 03:50:41.122, 0, 0, 37.61
2025/01/20 03:50:42.122, 0, 86, 38.78
2025/01/20 03:50:43.122, 0, 54, 37.70
2025/01/20 03:50:44.122, 0, 57, 38.68
2025/01/20 03:50:45.122, 0, 66, 38.68
2025/01/20 03:50:46.123, 0, 26, 38.59
2025/01/20 03:50:47.123, 0, 48, 37.62
2025/01/20 03:50:48.123, 0, 0, 37.62
2025/01/20 03:50:49.123, 0, 0, 37.53
2025/01/20 03:50:50.124, 0, 0, 37.53
2025/01/20 03:50:51.124, 0, 0, 37.52
2025/01/20 03:50:52.124, 0, 0, 37.52
2025/01/20 03:50:53.124, 0, 0, 37.62
2025/01/20 03:50:54.124, 0, 0, 37.71
2025/01/20 03:50:55.125, 0, 0, 37.61
2025/01/20 03:50:56.125, 0, 0, 37.52
2025/01/20 03:50:57.125, 0, 0, 37.52
2025/01/20 03:50:58.125, 0, 0, 37.52
2025/01/20 03:50:59.125, 0, 0, 37.52
2025/01/20 03:51:00.126, 0, 0, 37.52
2025/01/20 03:51:01.126, 0, 0, 37.51
2025/01/20 03:51:02.126, 0, 0, 37.42
2025/01/20 03:51:03.126, 0, 0, 37.71
2025/01/20 03:51:04.126, 0, 0, 37.81
2025/01/20 03:51:05.127, 0, 0, 37.32
2025/01/20 03:51:06.127, 0, 0, 37.32
2025/01/20 03:51:07.127, 0, 0, 37.81
2025/01/20 03:51:08.127, 0, 0, 37.42
2025/01/20 03:51:09.128, 0, 0, 37.41
2025/01/20 03:51:10.128, 0, 0, 37.62
2025/01/20 03:51:11.128, 0, 0, 37.31
2025/01/20 03:51:12.128, 0, 0, 37.61
2025/01/20 03:51:13.128, 0, 0, 37.31
2025/01/20 03:51:14.129, 0, 0, 37.62
2025/01/20 03:51:15.129, 0, 0, 37.32
2025/01/20 03:51:16.129, 0, 0, 37.32
2025/01/20 03:51:17.129, 0, 0, 37.62
2025/01/20 03:51:18.129, 0, 0, 37.62
2025/01/20 03:51:19.130, 0, 0, 37.51
2025/01/20 03:51:20.130, 0, 0, 37.81
2025/01/20 03:51:21.130, 0, 0, 37.42
2025/01/20 03:51:22.130, 0, 0, 37.70
2025/01/20 03:51:23.131, 0, 0, 37.42
2025/01/20 03:51:24.131, 0, 0, 37.41
2025/01/20 03:51:25.131, 0, 0, 37.21
2025/01/20 03:51:26.131, 0, 0, 37.00
2025/01/20 03:51:27.131, 0, 10, 37.21
2025/01/20 03:51:28.132, 0, 94, 138.92
2025/01/20 03:51:29.132, 0, 97, 110.13
2025/01/20 03:51:30.132, 0, 97, 137.68
2025/01/20 03:51:31.132, 0, 97, 135.88
2025/01/20 03:51:32.133, 0, 94, 136.98
2025/01/20 03:51:33.133, 0, 94, 137.24
2025/01/20 03:51:34.133, 0, 97, 96.56
2025/01/20 03:51:35.133, 0, 97, 116.84
2025/01/20 03:51:36.133, 0, 97, 129.63
2025/01/20 03:51:37.134, 0, 97, 132.95
2025/01/20 03:51:38.134, 0, 97, 138.56
2025/01/20 03:51:39.134, 0, 97, 123.91
2025/01/20 03:51:40.134, 0, 97, 139.94
2025/01/20 03:51:41.135, 0, 95, 138.26
2025/01/20 03:51:42.135, 0, 94, 132.31
2025/01/20 03:51:43.135, 0, 97, 98.95
2025/01/20 03:51:44.135, 0, 97, 141.88
2025/01/20 03:51:45.135, 0, 97, 140.03
2025/01/20 03:51:46.136, 0, 97, 139.37
2025/01/20 03:51:47.136, 0, 94, 134.98
2025/01/20 03:51:48.136, 0, 97, 145.59
