timestamp, index, utilization.gpu [%], power.draw [W]
2025/01/18 04:05:43.102, 0, 0, 36.90
2025/01/18 04:05:44.102, 0, 0, 36.92
2025/01/18 04:05:45.103, 0, 0, 36.91
2025/01/18 04:05:46.103, 0, 0, 36.92
2025/01/18 04:05:47.103, 0, 0, 36.91
2025/01/18 04:05:48.103, 0, 0, 37.01
2025/01/18 04:05:49.103, 0, 0, 36.90
2025/01/18 04:05:50.104, 0, 0, 36.82
2025/01/18 04:05:51.104, 0, 0, 36.81
2025/01/18 04:05:52.104, 0, 0, 36.92
2025/01/18 04:05:53.104, 0, 0, 37.22
2025/01/18 04:05:54.104, 0, 0, 36.81
2025/01/18 04:05:55.104, 0, 0, 36.81
2025/01/18 04:05:56.105, 0, 0, 36.81
2025/01/18 04:05:57.105, 0, 0, 37.00
2025/01/18 04:05:58.105, 0, 0, 37.12
2025/01/18 04:05:59.105, 0, 0, 36.92
2025/01/18 04:06:00.105, 0, 0, 36.78
2025/01/18 04:06:01.105, 0, 0, 36.70
2025/01/18 04:06:02.105, 0, 0, 36.81
2025/01/18 04:06:03.106, 0, 0, 37.00
2025/01/18 04:06:04.106, 0, 0, 37.00
2025/01/18 04:06:05.106, 0, 0, 37.31
2025/01/18 04:06:06.106, 0, 0, 37.31
2025/01/18 04:06:07.106, 0, 0, 37.00
2025/01/18 04:06:08.106, 0, 0, 37.00
2025/01/18 04:06:09.107, 0, 50, 37.90
2025/01/18 04:06:10.107, 0, 84, 37.98
2025/01/18 04:06:11.107, 0, 54, 38.08
2025/01/18 04:06:12.107, 0, 54, 37.60
2025/01/18 04:06:13.107, 0, 57, 37.98
2025/01/18 04:06:14.107, 0, 0, 36.92
2025/01/18 04:06:15.108, 0, 0, 36.91
2025/01/18 04:06:16.108, 0, 0, 36.93
2025/01/18 04:06:17.108, 0, 0, 36.81
2025/01/18 04:06:18.108, 0, 0, 36.91
2025/01/18 04:06:19.108, 0, 0, 36.92
2025/01/18 04:06:20.108, 0, 0, 36.82
2025/01/18 04:06:21.109, 0, 0, 36.91
2025/01/18 04:06:22.109, 0, 0, 36.92
2025/01/18 04:06:23.109, 0, 0, 37.02
2025/01/18 04:06:24.109, 0, 0, 37.12
2025/01/18 04:06:25.109, 0, 0, 37.00
