timestamp, index, utilization.gpu [%], power.draw [W]
2025/01/06 23:27:10.797, 0, 0, 38.68
2025/01/06 23:27:11.799, 0, 0, 38.59
2025/01/06 23:27:12.799, 0, 0, 38.68
2025/01/06 23:27:13.799, 0, 0, 38.49
2025/01/06 23:27:14.800, 0, 0, 38.59
2025/01/06 23:27:15.800, 0, 0, 38.49
2025/01/06 23:27:16.800, 0, 0, 38.49
2025/01/06 23:27:17.800, 0, 0, 38.39
2025/01/06 23:27:18.800, 0, 0, 38.29
2025/01/06 23:27:19.800, 0, 0, 38.49
2025/01/06 23:27:20.801, 0, 0, 38.29
2025/01/06 23:27:21.801, 0, 0, 38.38
2025/01/06 23:27:22.801, 0, 0, 38.29
2025/01/06 23:27:23.801, 0, 0, 38.28
2025/01/06 23:27:24.801, 0, 0, 38.18
2025/01/06 23:27:25.802, 0, 0, 38.18
2025/01/06 23:27:26.802, 0, 0, 38.18
2025/01/06 23:27:27.802, 0, 0, 38.08
2025/01/06 23:27:28.802, 0, 0, 38.08
2025/01/06 23:27:29.803, 0, 0, 38.08
2025/01/06 23:27:30.803, 0, 0, 38.08
2025/01/06 23:27:31.803, 0, 0, 38.08
2025/01/06 23:27:32.803, 0, 0, 38.08
2025/01/06 23:27:33.804, 0, 0, 37.89
2025/01/06 23:27:34.804, 0, 0, 37.97
2025/01/06 23:27:35.804, 0, 0, 37.87
2025/01/06 23:27:36.804, 0, 0, 37.79
2025/01/06 23:27:37.804, 0, 37, 38.35
2025/01/06 23:27:38.804, 0, 0, 38.35
2025/01/06 23:27:39.804, 0, 53, 38.64
2025/01/06 23:27:40.805, 0, 54, 38.71
2025/01/06 23:27:41.805, 0, 54, 38.37
2025/01/06 23:27:42.805, 0, 54, 38.26
2025/01/06 23:27:43.805, 0, 59, 37.59
2025/01/06 23:27:44.805, 0, 31, 37.50
2025/01/06 23:27:45.805, 0, 0, 37.59
2025/01/06 23:27:46.805, 0, 0, 37.50
2025/01/06 23:27:47.806, 0, 0, 37.50
2025/01/06 23:27:48.806, 0, 0, 37.59
2025/01/06 23:27:49.806, 0, 0, 37.70
2025/01/06 23:27:50.806, 0, 100, 164.92
2025/01/06 23:27:51.806, 0, 100, 170.67
2025/01/06 23:27:52.806, 0, 98, 132.74
2025/01/06 23:27:53.806, 0, 97, 129.96
2025/01/06 23:27:54.807, 0, 98, 114.26
2025/01/06 23:27:55.807, 0, 98, 130.47
2025/01/06 23:27:56.807, 0, 98, 108.72
2025/01/06 23:27:57.807, 0, 97, 128.75
2025/01/06 23:27:58.807, 0, 97, 108.52
2025/01/06 23:27:59.807, 0, 98, 127.88
2025/01/06 23:28:00.808, 0, 98, 126.08
2025/01/06 23:28:01.808, 0, 98, 132.18
2025/01/06 23:28:02.808, 0, 98, 111.76
2025/01/06 23:28:03.808, 0, 98, 126.39
2025/01/06 23:28:04.808, 0, 98, 133.59
2025/01/06 23:28:05.808, 0, 97, 132.12
2025/01/06 23:28:06.808, 0, 97, 130.18
2025/01/06 23:28:07.809, 0, 97, 130.93
2025/01/06 23:28:08.809, 0, 97, 134.08
2025/01/06 23:28:09.809, 0, 98, 133.89
2025/01/06 23:28:10.809, 0, 97, 133.01
2025/01/06 23:28:11.809, 0, 97, 132.06
2025/01/06 23:28:12.809, 0, 97, 125.31
2025/01/06 23:28:13.809, 0, 98, 118.30
2025/01/06 23:28:14.810, 0, 98, 129.09
2025/01/06 23:28:15.810, 0, 100, 177.55
2025/01/06 23:28:16.810, 0, 98, 121.85
2025/01/06 23:28:17.810, 0, 97, 135.62
2025/01/06 23:28:18.810, 0, 98, 131.36
2025/01/06 23:28:19.810, 0, 97, 134.33
2025/01/06 23:28:20.810, 0, 97, 132.49
2025/01/06 23:28:21.811, 0, 98, 132.32
2025/01/06 23:28:22.811, 0, 98, 132.76
2025/01/06 23:28:23.811, 0, 97, 131.24
2025/01/06 23:28:24.811, 0, 98, 127.12
2025/01/06 23:28:25.811, 0, 98, 129.45
2025/01/06 23:28:26.811, 0, 97, 131.98
2025/01/06 23:28:27.811, 0, 97, 116.32
2025/01/06 23:28:28.812, 0, 98, 114.11
2025/01/06 23:28:29.812, 0, 98, 122.27
2025/01/06 23:28:30.812, 0, 98, 130.28
2025/01/06 23:28:31.812, 0, 98, 132.62
2025/01/06 23:28:32.812, 0, 98, 131.08
2025/01/06 23:28:33.812, 0, 98, 131.45
2025/01/06 23:28:34.813, 0, 97, 131.61
2025/01/06 23:28:35.813, 0, 98, 132.79
2025/01/06 23:28:36.813, 0, 98, 127.50
2025/01/06 23:28:37.813, 0, 98, 121.36
2025/01/06 23:28:38.813, 0, 98, 124.03
2025/01/06 23:28:39.813, 0, 100, 175.45
2025/01/06 23:28:40.813, 0, 100, 185.32
2025/01/06 23:28:41.814, 0, 97, 132.16
2025/01/06 23:28:42.814, 0, 98, 130.75
2025/01/06 23:28:43.814, 0, 98, 117.59
2025/01/06 23:28:44.814, 0, 97, 134.28
2025/01/06 23:28:45.814, 0, 97, 128.70
2025/01/06 23:28:46.814, 0, 97, 132.87
2025/01/06 23:28:47.814, 0, 98, 124.28
2025/01/06 23:28:48.815, 0, 97, 132.45
2025/01/06 23:28:49.815, 0, 97, 134.68
2025/01/06 23:28:50.815, 0, 98, 129.12
2025/01/06 23:28:51.815, 0, 97, 131.53
