timestamp, index, utilization.gpu [%], power.draw [W]
2025/01/07 13:51:37.247, 1, 0, 39.02
2025/01/07 13:51:38.248, 1, 0, 39.04
2025/01/07 13:51:39.248, 1, 0, 38.85
2025/01/07 13:51:40.248, 1, 0, 38.91
2025/01/07 13:51:41.248, 1, 0, 38.82
2025/01/07 13:51:42.248, 1, 0, 38.91
2025/01/07 13:51:43.248, 1, 0, 38.90
2025/01/07 13:51:44.248, 1, 0, 38.82
2025/01/07 13:51:45.248, 1, 0, 38.91
2025/01/07 13:51:46.249, 1, 0, 40.70
2025/01/07 13:51:47.249, 1, 0, 38.62
2025/01/07 13:51:48.249, 1, 0, 38.73
2025/01/07 13:51:49.249, 1, 0, 38.70
2025/01/07 13:51:50.249, 1, 0, 38.62
2025/01/07 13:51:51.249, 1, 0, 38.51
2025/01/07 13:51:52.249, 1, 0, 38.51
2025/01/07 13:51:53.250, 1, 0, 38.71
2025/01/07 13:51:54.250, 1, 0, 38.51
2025/01/07 13:51:55.250, 1, 0, 38.42
2025/01/07 13:51:56.250, 1, 0, 38.52
2025/01/07 13:51:57.250, 1, 0, 38.42
2025/01/07 13:51:58.250, 1, 0, 38.51
2025/01/07 13:51:59.250, 1, 0, 38.52
2025/01/07 13:52:00.251, 1, 0, 38.27
2025/01/07 13:52:01.251, 1, 0, 38.42
2025/01/07 13:52:02.251, 1, 0, 38.52
2025/01/07 13:52:03.251, 1, 0, 38.60
2025/01/07 13:52:04.251, 1, 0, 38.23
2025/01/07 13:52:05.251, 1, 0, 40.20
2025/01/07 13:52:06.251, 1, 3, 38.37
2025/01/07 13:52:07.251, 1, 3, 38.55
2025/01/07 13:52:08.251, 1, 3, 38.46
2025/01/07 13:52:09.252, 1, 3, 38.28
2025/01/07 13:52:10.252, 1, 3, 38.27
2025/01/07 13:52:11.252, 1, 3, 38.26
2025/01/07 13:52:12.252, 1, 3, 38.48
2025/01/07 13:52:13.252, 1, 0, 38.33
2025/01/07 13:52:14.252, 1, 3, 38.37
2025/01/07 13:52:15.252, 1, 3, 38.27
2025/01/07 13:52:16.252, 1, 3, 39.81
2025/01/07 13:52:17.252, 1, 3, 38.37
2025/01/07 13:52:18.253, 1, 3, 38.38
2025/01/07 13:52:19.253, 1, 3, 38.56
2025/01/07 13:52:20.253, 1, 3, 38.48
2025/01/07 13:52:21.253, 1, 3, 38.43
2025/01/07 13:52:22.253, 1, 3, 38.56
2025/01/07 13:52:23.253, 1, 3, 38.07
2025/01/07 13:52:24.253, 1, 3, 38.36
2025/01/07 13:52:25.253, 1, 3, 37.78
2025/01/07 13:52:26.253, 1, 3, 38.06
2025/01/07 13:52:27.253, 1, 3, 38.27
2025/01/07 13:52:28.253, 1, 3, 38.06
2025/01/07 13:52:29.254, 1, 2, 38.24
2025/01/07 13:52:30.254, 1, 3, 38.44
2025/01/07 13:52:31.254, 1, 3, 38.17
2025/01/07 13:52:32.254, 1, 3, 38.30
2025/01/07 13:52:33.254, 1, 3, 38.19
2025/01/07 13:52:34.254, 1, 3, 38.17
2025/01/07 13:52:35.254, 1, 3, 38.26
2025/01/07 13:52:36.254, 1, 3, 38.17
2025/01/07 13:52:37.254, 1, 3, 38.19
2025/01/07 13:52:38.254, 1, 0, 38.02
2025/01/07 13:52:39.254, 1, 3, 37.86
2025/01/07 13:52:40.254, 1, 3, 38.10
