timestamp, index, utilization.gpu [%], power.draw [W]
2025/01/07 02:51:33.821, 1, 0, 39.00
2025/01/07 02:51:34.822, 1, 0, 39.19
2025/01/07 02:51:35.822, 1, 0, 38.90
2025/01/07 02:51:36.822, 1, 0, 38.82
2025/01/07 02:51:37.822, 1, 0, 38.91
2025/01/07 02:51:38.822, 1, 0, 38.82
2025/01/07 02:51:39.822, 1, 0, 38.73
2025/01/07 02:51:40.823, 1, 0, 38.82
2025/01/07 02:51:41.823, 1, 0, 38.62
2025/01/07 02:51:42.823, 1, 0, 38.72
2025/01/07 02:51:43.823, 1, 0, 38.72
2025/01/07 02:51:44.823, 1, 0, 38.62
2025/01/07 02:51:45.823, 1, 0, 38.62
2025/01/07 02:51:46.824, 1, 0, 38.62
2025/01/07 02:51:47.824, 1, 0, 38.62
2025/01/07 02:51:48.824, 1, 0, 38.53
2025/01/07 02:51:49.824, 1, 0, 38.52
2025/01/07 02:51:50.824, 1, 0, 38.61
2025/01/07 02:51:51.824, 1, 0, 38.42
2025/01/07 02:51:52.824, 1, 0, 38.52
2025/01/07 02:51:53.825, 1, 0, 38.42
2025/01/07 02:51:54.825, 1, 0, 38.42
2025/01/07 02:51:55.825, 1, 0, 38.52
2025/01/07 02:51:56.825, 1, 0, 38.22
2025/01/07 02:51:57.825, 1, 0, 38.33
2025/01/07 02:51:58.825, 1, 0, 38.33
2025/01/07 02:51:59.826, 1, 0, 38.33
2025/01/07 02:52:00.826, 1, 50, 39.49
2025/01/07 02:52:01.826, 1, 20, 38.42
2025/01/07 02:52:02.826, 1, 11, 38.31
2025/01/07 02:52:03.826, 1, 11, 39.45
2025/01/07 02:52:04.826, 1, 40, 39.35
2025/01/07 02:52:05.826, 1, 0, 38.21
2025/01/07 02:52:06.827, 1, 0, 38.24
2025/01/07 02:52:07.827, 1, 0, 38.13
2025/01/07 02:52:08.827, 1, 0, 38.13
2025/01/07 02:52:09.827, 1, 0, 38.23
2025/01/07 02:52:10.827, 1, 0, 38.13
2025/01/07 02:52:11.827, 1, 0, 38.13
2025/01/07 02:52:12.827, 1, 100, 160.15
2025/01/07 02:52:13.828, 1, 100, 180.70
2025/01/07 02:52:14.828, 1, 100, 184.40
2025/01/07 02:52:15.828, 1, 100, 166.45
2025/01/07 02:52:16.828, 1, 97, 106.50
2025/01/07 02:52:17.828, 1, 96, 131.61
2025/01/07 02:52:18.828, 1, 95, 124.69
2025/01/07 02:52:19.828, 1, 97, 128.95
2025/01/07 02:52:20.829, 1, 96, 133.94
2025/01/07 02:52:21.829, 1, 95, 135.34
2025/01/07 02:52:22.829, 1, 97, 114.35
2025/01/07 02:52:23.829, 1, 97, 130.62
2025/01/07 02:52:24.829, 1, 97, 134.24
2025/01/07 02:52:25.829, 1, 95, 134.98
2025/01/07 02:52:26.829, 1, 96, 101.16
2025/01/07 02:52:27.830, 1, 97, 131.77
2025/01/07 02:52:28.830, 1, 95, 132.59
2025/01/07 02:52:29.830, 1, 96, 136.72
2025/01/07 02:52:30.830, 1, 97, 133.83
2025/01/07 02:52:31.830, 1, 96, 124.51
2025/01/07 02:52:32.830, 1, 96, 100.79
2025/01/07 02:52:33.830, 1, 97, 101.02
2025/01/07 02:52:34.831, 1, 95, 101.78
2025/01/07 02:52:35.831, 1, 95, 92.89
2025/01/07 02:52:36.831, 1, 95, 101.15
2025/01/07 02:52:37.831, 1, 97, 102.18
2025/01/07 02:52:38.831, 1, 97, 116.36
2025/01/07 02:52:39.831, 1, 97, 120.53
2025/01/07 02:52:40.832, 1, 97, 137.52
2025/01/07 02:52:41.832, 1, 96, 136.46
2025/01/07 02:52:42.832, 1, 95, 137.63
2025/01/07 02:52:43.832, 1, 95, 135.10
2025/01/07 02:52:44.832, 1, 95, 135.81
2025/01/07 02:52:45.832, 1, 96, 101.65
2025/01/07 02:52:46.833, 1, 97, 134.06
2025/01/07 02:52:47.833, 1, 96, 101.61
2025/01/07 02:52:48.833, 1, 95, 135.00
2025/01/07 02:52:49.833, 1, 97, 133.94
2025/01/07 02:52:50.833, 1, 97, 126.96
2025/01/07 02:52:51.833, 1, 96, 137.64
2025/01/07 02:52:52.833, 1, 100, 162.07
2025/01/07 02:52:53.834, 1, 100, 182.63
2025/01/07 02:52:54.834, 1, 100, 173.54
2025/01/07 02:52:55.834, 1, 95, 130.79
2025/01/07 02:52:56.834, 1, 97, 130.76
2025/01/07 02:52:57.834, 1, 95, 120.78
2025/01/07 02:52:58.834, 1, 97, 129.01
2025/01/07 02:52:59.834, 1, 97, 135.88
2025/01/07 02:53:00.835, 1, 97, 129.10
2025/01/07 02:53:01.835, 1, 95, 131.71
2025/01/07 02:53:02.835, 1, 97, 134.24
2025/01/07 02:53:03.835, 1, 95, 101.74
2025/01/07 02:53:04.835, 1, 97, 100.93
2025/01/07 02:53:05.835, 1, 95, 135.05
2025/01/07 02:53:06.836, 1, 97, 134.83
2025/01/07 02:53:07.836, 1, 97, 133.71
2025/01/07 02:53:08.836, 1, 97, 100.60
2025/01/07 02:53:09.836, 1, 97, 97.09
2025/01/07 02:53:10.836, 1, 97, 121.57
2025/01/07 02:53:11.836, 1, 95, 123.25
2025/01/07 02:53:12.836, 1, 97, 130.49
2025/01/07 02:53:13.837, 1, 97, 132.13
2025/01/07 02:53:14.837, 1, 96, 134.68
2025/01/07 02:53:15.837, 1, 95, 133.04
2025/01/07 02:53:16.837, 1, 97, 137.72
2025/01/07 02:53:17.837, 1, 95, 132.23
2025/01/07 02:53:18.837, 1, 97, 124.22
2025/01/07 02:53:19.837, 1, 97, 136.83
2025/01/07 02:53:20.838, 1, 97, 137.05
2025/01/07 02:53:21.838, 1, 97, 122.55
2025/01/07 02:53:22.838, 1, 96, 133.32
2025/01/07 02:53:23.838, 1, 95, 123.30
2025/01/07 02:53:24.838, 1, 95, 101.32
2025/01/07 02:53:25.838, 1, 97, 184.53
2025/01/07 02:53:26.838, 1, 100, 177.31
2025/01/07 02:53:27.839, 1, 100, 170.59
2025/01/07 02:53:28.839, 1, 100, 181.72
2025/01/07 02:53:29.839, 1, 95, 100.76
2025/01/07 02:53:30.839, 1, 95, 130.68
2025/01/07 02:53:31.839, 1, 96, 134.19
2025/01/07 02:53:32.839, 1, 96, 133.34
2025/01/07 02:53:33.840, 1, 97, 134.69
2025/01/07 02:53:34.840, 1, 97, 136.42
2025/01/07 02:53:35.840, 1, 96, 132.54
2025/01/07 02:53:36.840, 1, 97, 130.93
2025/01/07 02:53:37.840, 1, 96, 102.87
2025/01/07 02:53:38.840, 1, 97, 132.69
2025/01/07 02:53:39.840, 1, 95, 135.54
2025/01/07 02:53:40.840, 1, 95, 132.15
2025/01/07 02:53:41.841, 1, 96, 128.57
2025/01/07 02:53:42.841, 1, 97, 115.47
2025/01/07 02:53:43.841, 1, 97, 131.71
2025/01/07 02:53:44.841, 1, 96, 132.55
2025/01/07 02:53:45.841, 1, 97, 134.75
