timestamp, index, utilization.gpu [%], power.draw [W]
2025/01/06 14:43:29.463, 1, 0, 39.21
2025/01/06 14:43:30.463, 1, 0, 39.39
2025/01/06 14:43:31.464, 1, 0, 39.16
2025/01/06 14:43:32.464, 1, 0, 39.11
2025/01/06 14:43:33.464, 1, 0, 39.21
2025/01/06 14:43:34.464, 1, 0, 39.20
2025/01/06 14:43:35.464, 1, 0, 39.01
2025/01/06 14:43:36.464, 1, 0, 39.01
2025/01/06 14:43:37.464, 1, 0, 39.01
2025/01/06 14:43:38.465, 1, 0, 39.01
2025/01/06 14:43:39.465, 1, 0, 38.82
2025/01/06 14:43:40.465, 1, 0, 38.91
2025/01/06 14:43:41.465, 1, 0, 38.91
2025/01/06 14:43:42.465, 1, 0, 38.72
2025/01/06 14:43:43.465, 1, 0, 38.82
2025/01/06 14:43:44.465, 1, 0, 38.72
2025/01/06 14:43:45.465, 1, 0, 38.82
2025/01/06 14:43:46.466, 1, 0, 38.82
2025/01/06 14:43:47.466, 1, 0, 38.72
2025/01/06 14:43:48.466, 1, 0, 38.62
2025/01/06 14:43:49.466, 1, 0, 38.62
2025/01/06 14:43:50.466, 1, 0, 38.42
2025/01/06 14:43:51.466, 1, 0, 38.52
2025/01/06 14:43:52.466, 1, 0, 38.51
2025/01/06 14:43:53.467, 1, 0, 38.42
2025/01/06 14:43:54.467, 1, 36, 39.17
2025/01/06 14:43:55.467, 1, 38, 39.17
2025/01/06 14:43:56.467, 1, 38, 39.06
2025/01/06 14:43:57.467, 1, 36, 38.97
2025/01/06 14:43:58.467, 1, 38, 39.17
2025/01/06 14:43:59.467, 1, 37, 38.87
2025/01/06 14:44:00.467, 1, 36, 39.06
2025/01/06 14:44:01.468, 1, 13, 38.23
2025/01/06 14:44:02.468, 1, 0, 38.23
2025/01/06 14:44:03.468, 1, 0, 38.13
2025/01/06 14:44:04.468, 1, 0, 38.33
2025/01/06 14:44:05.468, 1, 0, 38.23
2025/01/06 14:44:06.468, 1, 0, 38.13
2025/01/06 14:44:07.468, 1, 3, 150.97
2025/01/06 14:44:08.468, 1, 98, 121.84
2025/01/06 14:44:09.469, 1, 98, 139.80
2025/01/06 14:44:10.469, 1, 98, 120.37
2025/01/06 14:44:11.469, 1, 98, 136.24
2025/01/06 14:44:12.469, 1, 98, 122.00
2025/01/06 14:44:13.469, 1, 98, 140.06
2025/01/06 14:44:14.469, 1, 98, 122.45
2025/01/06 14:44:15.469, 1, 98, 125.17
2025/01/06 14:44:16.470, 1, 98, 122.56
2025/01/06 14:44:17.470, 1, 98, 127.33
2025/01/06 14:44:18.470, 1, 98, 138.04
2025/01/06 14:44:19.470, 1, 98, 124.45
2025/01/06 14:44:20.470, 1, 98, 124.58
2025/01/06 14:44:21.470, 1, 98, 125.72
2025/01/06 14:44:22.470, 1, 98, 131.71
2025/01/06 14:44:23.471, 1, 98, 153.70
2025/01/06 14:44:24.471, 1, 98, 122.79
2025/01/06 14:44:25.471, 1, 98, 125.57
2025/01/06 14:44:26.471, 1, 98, 135.62
2025/01/06 14:44:27.471, 1, 98, 130.55
