timestamp, index, utilization.gpu [%], power.draw [W]
2025/01/06 11:59:18.799, 0, 0, 38.18
2025/01/06 11:59:19.800, 0, 0, 38.29
2025/01/06 11:59:20.800, 0, 0, 38.35
2025/01/06 11:59:21.801, 0, 0, 38.08
2025/01/06 11:59:22.801, 0, 0, 38.18
2025/01/06 11:59:23.801, 0, 0, 38.17
2025/01/06 11:59:24.801, 0, 0, 38.08
2025/01/06 11:59:25.801, 0, 0, 37.98
2025/01/06 11:59:26.801, 0, 0, 38.16
2025/01/06 11:59:27.801, 0, 0, 37.97
2025/01/06 11:59:28.802, 0, 0, 38.07
2025/01/06 11:59:29.802, 0, 0, 38.08
2025/01/06 11:59:30.802, 0, 0, 38.37
2025/01/06 11:59:31.802, 0, 0, 38.17
2025/01/06 11:59:32.802, 0, 0, 38.18
2025/01/06 11:59:33.802, 0, 0, 37.98
2025/01/06 11:59:34.803, 0, 0, 38.08
2025/01/06 11:59:35.803, 0, 0, 38.16
2025/01/06 11:59:36.803, 0, 0, 37.69
2025/01/06 11:59:37.803, 0, 0, 37.97
2025/01/06 11:59:38.803, 0, 0, 37.88
2025/01/06 11:59:39.803, 0, 0, 37.79
2025/01/06 11:59:40.803, 0, 0, 37.89
2025/01/06 11:59:41.804, 0, 0, 37.87
2025/01/06 11:59:42.804, 0, 0, 37.49
2025/01/06 11:59:43.804, 0, 0, 37.77
2025/01/06 11:59:44.804, 0, 0, 38.39
2025/01/06 11:59:45.804, 0, 0, 37.77
2025/01/06 11:59:46.804, 0, 2, 38.03
2025/01/06 11:59:47.804, 0, 0, 38.36
2025/01/06 11:59:48.805, 0, 0, 37.49
2025/01/06 11:59:49.805, 0, 0, 38.35
2025/01/06 11:59:50.805, 0, 0, 38.13
2025/01/06 11:59:51.805, 0, 0, 38.36
2025/01/06 11:59:52.805, 0, 83, 37.48
2025/01/06 11:59:53.805, 0, 9, 37.58
2025/01/06 11:59:54.806, 0, 0, 37.38
2025/01/06 11:59:55.806, 0, 0, 37.59
2025/01/06 11:59:56.806, 0, 0, 37.69
2025/01/06 11:59:57.806, 0, 0, 37.69
2025/01/06 11:59:58.806, 0, 0, 37.79
2025/01/06 11:59:59.806, 0, 0, 37.40
2025/01/06 12:00:00.806, 0, 11, 37.77
2025/01/06 12:00:01.807, 0, 97, 121.33
2025/01/06 12:00:02.807, 0, 97, 123.94
2025/01/06 12:00:03.807, 0, 97, 119.60
2025/01/06 12:00:04.807, 0, 97, 119.73
2025/01/06 12:00:05.807, 0, 98, 122.32
2025/01/06 12:00:06.807, 0, 97, 122.97
2025/01/06 12:00:07.808, 0, 97, 118.82
2025/01/06 12:00:08.808, 0, 98, 123.34
2025/01/06 12:00:09.808, 0, 98, 123.87
2025/01/06 12:00:10.808, 0, 97, 121.09
2025/01/06 12:00:11.808, 0, 98, 124.00
2025/01/06 12:00:12.808, 0, 97, 113.56
2025/01/06 12:00:13.808, 0, 98, 120.10
2025/01/06 12:00:14.809, 0, 97, 121.99
2025/01/06 12:00:15.809, 0, 98, 123.85
2025/01/06 12:00:16.809, 0, 97, 123.09
2025/01/06 12:00:17.809, 0, 98, 124.33
2025/01/06 12:00:18.809, 0, 98, 120.15
2025/01/06 12:00:19.809, 0, 97, 121.33
2025/01/06 12:00:20.809, 0, 98, 124.00
2025/01/06 12:00:21.810, 0, 98, 122.47
2025/01/06 12:00:22.810, 0, 97, 117.57
2025/01/06 12:00:23.810, 0, 97, 121.46
2025/01/06 12:00:24.810, 0, 98, 126.04
2025/01/06 12:00:25.810, 0, 98, 121.44
2025/01/06 12:00:26.810, 0, 97, 121.68
2025/01/06 12:00:27.810, 0, 100, 159.48
2025/01/06 12:00:28.811, 0, 97, 120.54
2025/01/06 12:00:29.811, 0, 98, 116.08
2025/01/06 12:00:30.811, 0, 98, 123.07
2025/01/06 12:00:31.811, 0, 97, 119.15
2025/01/06 12:00:32.811, 0, 98, 122.37
2025/01/06 12:00:33.811, 0, 98, 115.72
2025/01/06 12:00:34.811, 0, 97, 120.44
2025/01/06 12:00:35.812, 0, 98, 121.94
