timestamp, index, utilization.gpu [%], power.draw [W]
2025/01/06 09:35:12.787, 1, 0, 40.30
2025/01/06 09:35:13.788, 1, 0, 40.30
2025/01/06 09:35:14.788, 1, 0, 40.10
2025/01/06 09:35:15.788, 1, 0, 40.10
2025/01/06 09:35:16.788, 1, 0, 39.71
2025/01/06 09:35:17.789, 1, 0, 39.88
2025/01/06 09:35:18.789, 1, 0, 39.91
2025/01/06 09:35:19.789, 1, 0, 39.75
2025/01/06 09:35:20.789, 1, 0, 39.68
2025/01/06 09:35:21.793, 1, 0, 39.62
2025/01/06 09:35:22.793, 1, 0, 39.67
2025/01/06 09:35:23.793, 1, 0, 39.66
2025/01/06 09:35:24.793, 1, 0, 39.41
2025/01/06 09:35:25.793, 1, 0, 39.42
2025/01/06 09:35:26.793, 1, 0, 39.42
2025/01/06 09:35:27.794, 1, 0, 39.21
2025/01/06 09:35:28.794, 1, 0, 39.43
2025/01/06 09:35:29.794, 1, 0, 39.31
2025/01/06 09:35:30.794, 1, 0, 39.31
2025/01/06 09:35:31.794, 1, 0, 39.11
2025/01/06 09:35:32.794, 1, 0, 39.11
2025/01/06 09:35:33.794, 1, 0, 39.01
2025/01/06 09:35:34.795, 1, 0, 39.11
2025/01/06 09:35:35.795, 1, 0, 39.01
2025/01/06 09:35:36.795, 1, 0, 39.21
2025/01/06 09:35:37.795, 1, 0, 38.91
2025/01/06 09:35:38.795, 1, 0, 38.91
2025/01/06 09:35:39.795, 1, 0, 39.11
2025/01/06 09:35:40.796, 1, 0, 38.72
2025/01/06 09:35:41.796, 1, 36, 39.88
2025/01/06 09:35:42.796, 1, 0, 38.72
2025/01/06 09:35:43.796, 1, 0, 39.78
2025/01/06 09:35:44.796, 1, 53, 39.88
2025/01/06 09:35:45.796, 1, 53, 39.78
2025/01/06 09:35:46.796, 1, 52, 38.62
2025/01/06 09:35:47.797, 1, 13, 38.60
2025/01/06 09:35:48.797, 1, 0, 38.52
2025/01/06 09:35:49.797, 1, 0, 38.52
2025/01/06 09:35:50.797, 1, 0, 38.52
2025/01/06 09:35:51.797, 1, 0, 38.62
2025/01/06 09:35:52.797, 1, 0, 38.52
2025/01/06 09:35:53.797, 1, 0, 38.52
2025/01/06 09:35:54.798, 1, 100, 43.57
2025/01/06 09:35:55.798, 1, 98, 117.77
2025/01/06 09:35:56.798, 1, 98, 121.26
2025/01/06 09:35:57.798, 1, 98, 117.07
2025/01/06 09:35:58.798, 1, 98, 120.50
2025/01/06 09:35:59.798, 1, 97, 118.63
2025/01/06 09:36:00.799, 1, 98, 121.36
2025/01/06 09:36:01.799, 1, 98, 119.48
2025/01/06 09:36:02.799, 1, 88, 117.59
2025/01/06 09:36:03.799, 1, 98, 121.98
2025/01/06 09:36:04.799, 1, 98, 121.61
2025/01/06 09:36:05.799, 1, 98, 121.60
2025/01/06 09:36:06.799, 1, 98, 121.00
2025/01/06 09:36:07.800, 1, 98, 122.75
2025/01/06 09:36:08.800, 1, 98, 120.00
2025/01/06 09:36:09.800, 1, 98, 120.70
2025/01/06 09:36:10.800, 1, 98, 121.73
