timestamp, index, utilization.gpu [%], power.draw [W]
2025/01/02 02:05:25.862, 1, 0, 37.23
2025/01/02 02:05:26.863, 1, 0, 37.43
2025/01/02 02:05:27.864, 1, 0, 37.31
2025/01/02 02:05:28.864, 1, 0, 37.33
2025/01/02 02:05:29.864, 1, 0, 37.22
2025/01/02 02:05:30.864, 1, 0, 37.22
2025/01/02 02:05:31.864, 1, 0, 37.22
2025/01/02 02:05:32.864, 1, 0, 37.12
2025/01/02 02:05:33.864, 1, 0, 37.23
2025/01/02 02:05:34.865, 1, 0, 37.20
2025/01/02 02:05:35.865, 1, 0, 37.32
2025/01/02 02:05:36.865, 1, 0, 37.22
2025/01/02 02:05:37.865, 1, 0, 37.12
2025/01/02 02:05:38.865, 1, 0, 37.42
2025/01/02 02:05:39.865, 1, 0, 37.22
2025/01/02 02:05:40.865, 1, 0, 37.32
2025/01/02 02:05:41.866, 1, 0, 37.22
2025/01/02 02:05:42.866, 1, 0, 37.22
2025/01/02 02:05:43.866, 1, 0, 37.23
2025/01/02 02:05:44.866, 1, 0, 37.23
2025/01/02 02:05:45.867, 1, 0, 37.22
2025/01/02 02:05:46.867, 1, 0, 37.22
2025/01/02 02:05:47.867, 1, 0, 37.32
2025/01/02 02:05:48.867, 1, 0, 37.23
2025/01/02 02:05:49.868, 1, 0, 37.22
2025/01/02 02:05:50.868, 1, 16, 38.20
2025/01/02 02:05:51.868, 1, 53, 38.20
2025/01/02 02:05:52.868, 1, 30, 37.31
2025/01/02 02:05:53.868, 1, 5, 38.46
2025/01/02 02:05:54.868, 1, 52, 38.50
2025/01/02 02:05:55.868, 1, 33, 37.33
2025/01/02 02:05:56.868, 1, 0, 37.33
2025/01/02 02:05:57.869, 1, 0, 37.33
2025/01/02 02:05:58.869, 1, 0, 37.22
2025/01/02 02:05:59.869, 1, 0, 37.32
2025/01/02 02:06:00.869, 1, 0, 37.33
2025/01/02 02:06:01.869, 1, 0, 37.22
2025/01/02 02:06:02.869, 1, 0, 37.32
2025/01/02 02:06:03.869, 1, 95, 99.80
2025/01/02 02:06:04.870, 1, 96, 110.95
2025/01/02 02:06:05.870, 1, 96, 112.97
2025/01/02 02:06:06.870, 1, 96, 107.49
2025/01/02 02:06:07.870, 1, 96, 112.79
2025/01/02 02:06:08.870, 1, 92, 153.69
2025/01/02 02:06:09.870, 1, 95, 112.26
2025/01/02 02:06:10.870, 1, 95, 112.21
2025/01/02 02:06:11.871, 1, 96, 113.14
2025/01/02 02:06:12.871, 1, 93, 150.77
2025/01/02 02:06:13.871, 1, 95, 110.94
2025/01/02 02:06:14.871, 1, 95, 113.49
2025/01/02 02:06:15.871, 1, 96, 111.55
2025/01/02 02:06:16.871, 1, 99, 149.90
