timestamp, index, utilization.gpu [%], power.draw [W]
2025/01/02 09:37:25.095, 1, 0, 37.22
2025/01/02 09:37:26.095, 1, 0, 37.61
2025/01/02 09:37:27.096, 1, 0, 37.21
2025/01/02 09:37:28.096, 1, 0, 37.53
2025/01/02 09:37:29.096, 1, 0, 37.63
2025/01/02 09:37:30.096, 1, 0, 37.74
2025/01/02 09:37:31.096, 1, 0, 37.32
2025/01/02 09:37:32.096, 1, 0, 37.62
2025/01/02 09:37:33.096, 1, 0, 37.62
2025/01/02 09:37:34.097, 1, 0, 37.71
2025/01/02 09:37:35.097, 1, 0, 37.63
2025/01/02 09:37:36.097, 1, 0, 37.63
2025/01/02 09:37:37.097, 1, 0, 37.73
2025/01/02 09:37:38.097, 1, 0, 37.62
2025/01/02 09:37:39.097, 1, 0, 37.62
2025/01/02 09:37:40.097, 1, 0, 37.73
2025/01/02 09:37:41.098, 1, 0, 37.62
2025/01/02 09:37:42.098, 1, 0, 37.52
2025/01/02 09:37:43.098, 1, 0, 37.42
2025/01/02 09:37:44.098, 1, 0, 37.52
2025/01/02 09:37:45.098, 1, 0, 37.42
2025/01/02 09:37:46.098, 1, 0, 37.53
2025/01/02 09:37:47.099, 1, 0, 37.53
2025/01/02 09:37:48.099, 1, 0, 37.52
2025/01/02 09:37:49.099, 1, 0, 37.13
2025/01/02 09:37:50.099, 1, 0, 37.52
2025/01/02 09:37:51.099, 1, 0, 37.63
2025/01/02 09:37:52.099, 1, 0, 38.23
2025/01/02 09:37:53.099, 1, 18, 38.19
2025/01/02 09:37:54.099, 1, 51, 38.60
2025/01/02 09:37:55.100, 1, 20, 37.52
2025/01/02 09:37:56.100, 1, 13, 38.41
2025/01/02 09:37:57.100, 1, 51, 38.69
2025/01/02 09:37:58.100, 1, 0, 37.53
2025/01/02 09:37:59.100, 1, 0, 37.42
2025/01/02 09:38:00.100, 1, 0, 37.64
2025/01/02 09:38:01.100, 1, 0, 37.22
2025/01/02 09:38:02.101, 1, 0, 37.23
2025/01/02 09:38:03.101, 1, 0, 37.64
2025/01/02 09:38:04.101, 1, 0, 37.52
2025/01/02 09:38:05.101, 1, 40, 45.05
2025/01/02 09:38:06.101, 1, 91, 89.56
2025/01/02 09:38:07.101, 1, 91, 126.84
2025/01/02 09:38:08.101, 1, 93, 117.77
2025/01/02 09:38:09.102, 1, 93, 121.06
2025/01/02 09:38:10.102, 1, 92, 118.63
2025/01/02 09:38:11.102, 1, 94, 91.60
2025/01/02 09:38:12.102, 1, 94, 126.75
2025/01/02 09:38:13.102, 1, 91, 127.97
2025/01/02 09:38:14.102, 1, 94, 127.51
2025/01/02 09:38:15.102, 1, 91, 100.27
2025/01/02 09:38:16.103, 1, 91, 124.28
2025/01/02 09:38:17.103, 1, 91, 123.86
2025/01/02 09:38:18.103, 1, 91, 125.26
2025/01/02 09:38:19.103, 1, 91, 126.48
2025/01/02 09:38:20.103, 1, 92, 104.62
2025/01/02 09:38:21.103, 1, 92, 114.03
2025/01/02 09:38:22.103, 1, 93, 112.21
2025/01/02 09:38:23.104, 1, 91, 86.41
2025/01/02 09:38:24.104, 1, 94, 125.56
2025/01/02 09:38:25.104, 1, 94, 125.90
2025/01/02 09:38:26.104, 1, 94, 119.86
2025/01/02 09:38:27.104, 1, 94, 123.41
2025/01/02 09:38:28.104, 1, 93, 123.06
2025/01/02 09:38:29.104, 1, 91, 117.05
2025/01/02 09:38:30.105, 1, 94, 125.39
2025/01/02 09:38:31.105, 1, 91, 113.19
2025/01/02 09:38:32.105, 1, 94, 123.80
2025/01/02 09:38:33.105, 1, 92, 110.17
2025/01/02 09:38:34.105, 1, 91, 121.17
2025/01/02 09:38:35.105, 1, 91, 100.46
2025/01/02 09:38:36.105, 1, 91, 120.68
2025/01/02 09:38:37.106, 1, 91, 98.38
2025/01/02 09:38:38.106, 1, 91, 124.80
2025/01/02 09:38:39.106, 1, 94, 117.67
2025/01/02 09:38:40.106, 1, 93, 120.86
2025/01/02 09:38:41.106, 1, 91, 116.25
2025/01/02 09:38:42.106, 1, 91, 99.26
2025/01/02 09:38:43.106, 1, 94, 120.65
2025/01/02 09:38:44.107, 1, 92, 122.69
2025/01/02 09:38:45.107, 1, 91, 94.96
2025/01/02 09:38:46.107, 1, 92, 115.34
2025/01/02 09:38:47.107, 1, 91, 92.33
2025/01/02 09:38:48.107, 1, 91, 103.14
2025/01/02 09:38:49.107, 1, 94, 100.23
2025/01/02 09:38:50.107, 1, 91, 120.50
2025/01/02 09:38:51.108, 1, 94, 109.96
2025/01/02 09:38:52.108, 1, 90, 106.02
2025/01/02 09:38:53.108, 1, 91, 122.93
2025/01/02 09:38:54.108, 1, 94, 119.33
2025/01/02 09:38:55.108, 1, 93, 111.91
2025/01/02 09:38:56.108, 1, 94, 122.70
2025/01/02 09:38:57.108, 1, 93, 125.96
2025/01/02 09:38:58.109, 1, 93, 108.39
2025/01/02 09:38:59.109, 1, 92, 125.31
2025/01/02 09:39:00.109, 1, 91, 121.52
2025/01/02 09:39:01.109, 1, 93, 121.83
2025/01/02 09:39:02.109, 1, 94, 122.49
2025/01/02 09:39:03.109, 1, 92, 119.50
2025/01/02 09:39:04.109, 1, 91, 112.71
2025/01/02 09:39:05.110, 1, 92, 118.07
2025/01/02 09:39:06.110, 1, 93, 116.76
2025/01/02 09:39:07.110, 1, 91, 124.60
2025/01/02 09:39:08.110, 1, 91, 101.50
2025/01/02 09:39:09.110, 1, 93, 110.40
2025/01/02 09:39:10.110, 1, 91, 107.09
2025/01/02 09:39:11.110, 1, 91, 92.47
2025/01/02 09:39:12.111, 1, 91, 97.97
2025/01/02 09:39:13.111, 1, 91, 122.52
2025/01/02 09:39:14.111, 1, 91, 121.42
2025/01/02 09:39:15.111, 1, 93, 89.46
2025/01/02 09:39:16.111, 1, 91, 119.94
2025/01/02 09:39:17.111, 1, 91, 112.18
2025/01/02 09:39:18.111, 1, 91, 114.94
2025/01/02 09:39:19.112, 1, 94, 122.62
2025/01/02 09:39:20.112, 1, 92, 112.94
2025/01/02 09:39:21.112, 1, 91, 105.85
2025/01/02 09:39:22.112, 1, 91, 111.26
2025/01/02 09:39:23.112, 1, 91, 89.73
2025/01/02 09:39:24.112, 1, 91, 125.31
2025/01/02 09:39:25.112, 1, 90, 119.70
2025/01/02 09:39:26.113, 1, 91, 129.66
2025/01/02 09:39:27.113, 1, 91, 107.00
2025/01/02 09:39:28.113, 1, 91, 119.86
2025/01/02 09:39:29.113, 1, 91, 123.96
2025/01/02 09:39:30.113, 1, 91, 124.18
2025/01/02 09:39:31.113, 1, 94, 111.65
2025/01/02 09:39:32.114, 1, 92, 114.84
2025/01/02 09:39:33.114, 1, 91, 103.13
2025/01/02 09:39:34.114, 1, 91, 120.29
2025/01/02 09:39:35.114, 1, 91, 121.78
2025/01/02 09:39:36.114, 1, 94, 89.51
2025/01/02 09:39:37.114, 1, 91, 106.79
2025/01/02 09:39:38.114, 1, 91, 107.72
2025/01/02 09:39:39.114, 1, 91, 100.22
2025/01/02 09:39:40.115, 1, 91, 91.93
2025/01/02 09:39:41.115, 1, 94, 96.76
2025/01/02 09:39:42.115, 1, 92, 88.28
2025/01/02 09:39:43.115, 1, 91, 120.42
2025/01/02 09:39:44.115, 1, 91, 121.43
2025/01/02 09:39:45.115, 1, 91, 108.74
2025/01/02 09:39:46.115, 1, 91, 122.53
2025/01/02 09:39:47.116, 1, 91, 98.36
2025/01/02 09:39:48.116, 1, 91, 123.86
2025/01/02 09:39:49.116, 1, 94, 125.35
2025/01/02 09:39:50.116, 1, 94, 124.26
2025/01/02 09:39:51.116, 1, 94, 118.56
2025/01/02 09:39:52.116, 1, 92, 121.78
2025/01/02 09:39:53.116, 1, 91, 114.43
2025/01/02 09:39:54.117, 1, 90, 87.37
2025/01/02 09:39:55.117, 1, 92, 98.66
2025/01/02 09:39:56.117, 1, 91, 89.17
2025/01/02 09:39:57.117, 1, 91, 128.47
2025/01/02 09:39:58.117, 1, 94, 124.86
2025/01/02 09:39:59.117, 1, 92, 121.34
2025/01/02 09:40:00.117, 1, 91, 123.21
2025/01/02 09:40:01.118, 1, 91, 116.73
2025/01/02 09:40:02.118, 1, 93, 120.82
2025/01/02 09:40:03.118, 1, 91, 90.45
2025/01/02 09:40:04.118, 1, 94, 118.43
2025/01/02 09:40:05.118, 1, 94, 120.55
2025/01/02 09:40:06.118, 1, 94, 124.39
2025/01/02 09:40:07.118, 1, 91, 124.40
2025/01/02 09:40:08.119, 1, 91, 94.77
2025/01/02 09:40:09.119, 1, 92, 102.06
2025/01/02 09:40:10.119, 1, 91, 123.21
2025/01/02 09:40:11.119, 1, 94, 113.60
2025/01/02 09:40:12.119, 1, 91, 124.30
2025/01/02 09:40:13.119, 1, 92, 116.56
2025/01/02 09:40:14.120, 1, 94, 110.02
2025/01/02 09:40:15.120, 1, 91, 122.50
2025/01/02 09:40:16.120, 1, 93, 92.22
2025/01/02 09:40:17.120, 1, 94, 95.77
2025/01/02 09:40:18.120, 1, 92, 121.65
2025/01/02 09:40:19.120, 1, 91, 102.57
2025/01/02 09:40:20.120, 1, 91, 103.04
2025/01/02 09:40:21.120, 1, 91, 125.27
2025/01/02 09:40:22.121, 1, 94, 117.46
2025/01/02 09:40:23.121, 1, 91, 91.93
2025/01/02 09:40:24.121, 1, 94, 112.21
2025/01/02 09:40:25.121, 1, 91, 121.45
2025/01/02 09:40:26.121, 1, 93, 121.97
2025/01/02 09:40:27.121, 1, 91, 92.28
2025/01/02 09:40:28.121, 1, 94, 111.38
2025/01/02 09:40:29.122, 1, 92, 123.14
2025/01/02 09:40:30.122, 1, 91, 121.69
2025/01/02 09:40:31.122, 1, 91, 123.82
2025/01/02 09:40:32.122, 1, 91, 124.97
2025/01/02 09:40:33.122, 1, 94, 111.09
2025/01/02 09:40:34.122, 1, 91, 89.33
2025/01/02 09:40:35.122, 1, 94, 122.62
2025/01/02 09:40:36.123, 1, 91, 123.49
2025/01/02 09:40:37.123, 1, 91, 119.90
2025/01/02 09:40:38.123, 1, 91, 123.63
2025/01/02 09:40:39.123, 1, 91, 122.62
2025/01/02 09:40:40.123, 1, 92, 109.18
2025/01/02 09:40:41.123, 1, 91, 105.81
2025/01/02 09:40:42.123, 1, 94, 120.36
2025/01/02 09:40:43.124, 1, 91, 123.58
2025/01/02 09:40:44.124, 1, 91, 123.60
2025/01/02 09:40:45.124, 1, 91, 113.07
2025/01/02 09:40:46.124, 1, 91, 121.94
2025/01/02 09:40:47.124, 1, 91, 106.35
2025/01/02 09:40:48.124, 1, 91, 123.26
2025/01/02 09:40:49.124, 1, 93, 124.39
2025/01/02 09:40:50.125, 1, 94, 98.49
2025/01/02 09:40:51.125, 1, 93, 124.34
2025/01/02 09:40:52.125, 1, 91, 103.28
2025/01/02 09:40:53.125, 1, 91, 98.84
2025/01/02 09:40:54.125, 1, 91, 89.35
2025/01/02 09:40:55.125, 1, 91, 122.83
2025/01/02 09:40:56.125, 1, 93, 116.16
2025/01/02 09:40:57.126, 1, 93, 124.83
2025/01/02 09:40:58.126, 1, 91, 123.17
2025/01/02 09:40:59.126, 1, 91, 121.48
2025/01/02 09:41:00.126, 1, 91, 92.43
2025/01/02 09:41:01.126, 1, 91, 122.50
2025/01/02 09:41:02.126, 1, 91, 123.43
2025/01/02 09:41:03.126, 1, 92, 122.03
2025/01/02 09:41:04.127, 1, 91, 90.87
2025/01/02 09:41:05.127, 1, 91, 103.60
2025/01/02 09:41:06.127, 1, 91, 122.23
2025/01/02 09:41:07.127, 1, 91, 122.56
2025/01/02 09:41:08.127, 1, 91, 88.99
2025/01/02 09:41:09.127, 1, 91, 105.88
2025/01/02 09:41:10.127, 1, 90, 124.55
2025/01/02 09:41:11.128, 1, 91, 90.41
2025/01/02 09:41:12.128, 1, 92, 112.84
2025/01/02 09:41:13.128, 1, 91, 100.93
2025/01/02 09:41:14.128, 1, 91, 117.76
2025/01/02 09:41:15.128, 1, 92, 112.94
2025/01/02 09:41:16.128, 1, 91, 123.26
2025/01/02 09:41:17.128, 1, 94, 111.11
2025/01/02 09:41:18.129, 1, 91, 123.04
2025/01/02 09:41:19.129, 1, 91, 125.95
2025/01/02 09:41:20.129, 1, 93, 126.64
2025/01/02 09:41:21.129, 1, 94, 124.98
2025/01/02 09:41:22.129, 1, 91, 111.86
2025/01/02 09:41:23.129, 1, 91, 121.02
2025/01/02 09:41:24.130, 1, 91, 97.56
2025/01/02 09:41:25.130, 1, 91, 122.16
2025/01/02 09:41:26.130, 1, 91, 125.70
2025/01/02 09:41:27.130, 1, 91, 90.44
2025/01/02 09:41:28.130, 1, 91, 117.23
2025/01/02 09:41:29.130, 1, 91, 120.70
2025/01/02 09:41:30.130, 1, 93, 89.93
2025/01/02 09:41:31.131, 1, 90, 116.53
2025/01/02 09:41:32.131, 1, 91, 119.57
2025/01/02 09:41:33.131, 1, 91, 107.13
2025/01/02 09:41:34.131, 1, 92, 122.38
2025/01/02 09:41:35.131, 1, 91, 115.92
2025/01/02 09:41:36.131, 1, 91, 113.05
2025/01/02 09:41:37.131, 1, 91, 113.57
2025/01/02 09:41:38.132, 1, 91, 89.68
2025/01/02 09:41:39.132, 1, 91, 120.61
2025/01/02 09:41:40.132, 1, 91, 91.76
2025/01/02 09:41:41.132, 1, 91, 121.29
2025/01/02 09:41:42.132, 1, 91, 119.84
2025/01/02 09:41:43.132, 1, 91, 121.12
2025/01/02 09:41:44.133, 1, 91, 91.13
2025/01/02 09:41:45.133, 1, 91, 127.05
2025/01/02 09:41:46.133, 1, 91, 89.36
2025/01/02 09:41:47.133, 1, 91, 89.66
2025/01/02 09:41:48.133, 1, 91, 107.80
2025/01/02 09:41:49.133, 1, 91, 122.70
2025/01/02 09:41:50.133, 1, 91, 124.43
2025/01/02 09:41:51.134, 1, 91, 123.99
2025/01/02 09:41:52.134, 1, 92, 124.46
2025/01/02 09:41:53.134, 1, 90, 119.79
2025/01/02 09:41:54.134, 1, 91, 123.35
2025/01/02 09:41:55.134, 1, 92, 93.27
2025/01/02 09:41:56.134, 1, 91, 100.39
2025/01/02 09:41:57.134, 1, 91, 123.44
2025/01/02 09:41:58.135, 1, 91, 118.61
2025/01/02 09:41:59.135, 1, 91, 120.82
2025/01/02 09:42:00.135, 1, 91, 100.96
2025/01/02 09:42:01.135, 1, 90, 120.89
2025/01/02 09:42:02.135, 1, 91, 115.70
2025/01/02 09:42:03.135, 1, 91, 123.38
2025/01/02 09:42:04.135, 1, 91, 123.12
2025/01/02 09:42:05.135, 1, 91, 113.55
2025/01/02 09:42:06.136, 1, 91, 121.25
2025/01/02 09:42:07.136, 1, 91, 109.64
2025/01/02 09:42:08.136, 1, 91, 122.30
2025/01/02 09:42:09.136, 1, 91, 121.54
2025/01/02 09:42:10.136, 1, 93, 123.33
2025/01/02 09:42:11.136, 1, 91, 100.60
2025/01/02 09:42:12.137, 1, 91, 115.94
2025/01/02 09:42:13.137, 1, 91, 117.58
2025/01/02 09:42:14.137, 1, 91, 123.38
2025/01/02 09:42:15.137, 1, 91, 120.15
2025/01/02 09:42:16.137, 1, 91, 99.07
2025/01/02 09:42:17.137, 1, 91, 118.87
2025/01/02 09:42:18.137, 1, 91, 121.46
2025/01/02 09:42:19.137, 1, 91, 108.39
2025/01/02 09:42:20.138, 1, 91, 130.81
2025/01/02 09:42:21.138, 1, 91, 121.64
2025/01/02 09:42:22.138, 1, 91, 127.01
2025/01/02 09:42:23.138, 1, 91, 117.36
2025/01/02 09:42:24.138, 1, 91, 120.89
2025/01/02 09:42:25.138, 1, 91, 121.37
2025/01/02 09:42:26.138, 1, 90, 122.33
2025/01/02 09:42:27.139, 1, 91, 119.91
2025/01/02 09:42:28.139, 1, 92, 116.70
2025/01/02 09:42:29.139, 1, 91, 124.54
