timestamp, index, utilization.gpu [%], power.draw [W]
2025/01/01 22:36:33.436, 1, 0, 37.66
2025/01/01 22:36:34.437, 1, 0, 37.42
2025/01/01 22:36:35.437, 1, 0, 37.74
2025/01/01 22:36:36.437, 1, 0, 37.75
2025/01/01 22:36:37.438, 1, 0, 37.44
2025/01/01 22:36:38.438, 1, 0, 37.74
2025/01/01 22:36:39.438, 1, 0, 37.75
2025/01/01 22:36:40.438, 1, 0, 37.75
2025/01/01 22:36:41.438, 1, 0, 37.74
2025/01/01 22:36:42.438, 1, 0, 37.44
2025/01/01 22:36:43.438, 1, 0, 37.44
2025/01/01 22:36:44.439, 1, 0, 37.44
2025/01/01 22:36:45.439, 1, 0, 37.75
2025/01/01 22:36:46.439, 1, 0, 37.85
2025/01/01 22:36:47.439, 1, 0, 37.75
2025/01/01 22:36:48.439, 1, 0, 37.44
2025/01/01 22:36:49.439, 1, 0, 37.75
2025/01/01 22:36:50.439, 1, 0, 37.85
2025/01/01 22:36:51.439, 1, 0, 37.75
2025/01/01 22:36:52.440, 1, 0, 37.75
2025/01/01 22:36:53.440, 1, 0, 37.85
2025/01/01 22:36:54.440, 1, 0, 37.75
2025/01/01 22:36:55.440, 1, 0, 37.44
2025/01/01 22:36:56.440, 1, 0, 37.75
2025/01/01 22:36:57.440, 1, 0, 37.85
2025/01/01 22:36:58.440, 1, 0, 37.44
2025/01/01 22:36:59.441, 1, 0, 37.75
2025/01/01 22:37:00.441, 1, 0, 37.85
2025/01/01 22:37:01.441, 1, 0, 37.54
2025/01/01 22:37:02.441, 1, 7, 37.75
2025/01/01 22:37:03.441, 1, 9, 38.63
2025/01/01 22:37:04.441, 1, 50, 38.42
2025/01/01 22:37:05.441, 1, 35, 37.65
2025/01/01 22:37:06.441, 1, 2, 38.73
2025/01/01 22:37:07.442, 1, 28, 37.35
2025/01/01 22:37:08.442, 1, 0, 37.86
2025/01/01 22:37:09.442, 1, 0, 37.35
2025/01/01 22:37:10.442, 1, 0, 37.45
2025/01/01 22:37:11.442, 1, 0, 37.66
