timestamp, index, utilization.gpu [%], power.draw [W]
2025/01/01 02:39:25.311, 1, 0, 37.52
2025/01/01 02:39:26.312, 1, 0, 37.12
2025/01/01 02:39:27.312, 1, 0, 37.10
2025/01/01 02:39:28.312, 1, 0, 37.52
2025/01/01 02:39:29.312, 1, 0, 37.52
2025/01/01 02:39:30.312, 1, 0, 37.50
2025/01/01 02:39:31.312, 1, 0, 37.52
2025/01/01 02:39:32.312, 1, 0, 37.63
2025/01/01 02:39:33.312, 1, 0, 37.42
2025/01/01 02:39:34.313, 1, 0, 37.52
2025/01/01 02:39:35.313, 1, 0, 37.33
2025/01/01 02:39:36.313, 1, 0, 37.52
2025/01/01 02:39:37.313, 1, 0, 37.52
2025/01/01 02:39:38.313, 1, 0, 37.52
2025/01/01 02:39:39.313, 1, 0, 37.32
2025/01/01 02:39:40.314, 1, 0, 37.22
2025/01/01 02:39:41.314, 1, 0, 37.22
2025/01/01 02:39:42.314, 1, 0, 37.22
2025/01/01 02:39:43.314, 1, 0, 37.32
2025/01/01 02:39:44.314, 1, 0, 37.12
2025/01/01 02:39:45.314, 1, 0, 37.22
2025/01/01 02:39:46.314, 1, 0, 37.42
2025/01/01 02:39:47.315, 1, 0, 37.11
2025/01/01 02:39:48.315, 1, 0, 37.01
2025/01/01 02:39:49.315, 1, 0, 37.41
2025/01/01 02:39:50.315, 1, 0, 37.03
2025/01/01 02:39:51.315, 1, 0, 37.81
2025/01/01 02:39:52.315, 1, 0, 37.42
2025/01/01 02:39:53.315, 1, 38, 37.01
2025/01/01 02:39:54.315, 1, 0, 37.12
2025/01/01 02:39:55.316, 1, 32, 38.31
2025/01/01 02:39:56.316, 1, 54, 37.42
2025/01/01 02:39:57.316, 1, 0, 37.70
2025/01/01 02:39:58.316, 1, 48, 37.62
2025/01/01 02:39:59.316, 1, 0, 37.12
2025/01/01 02:40:00.316, 1, 0, 37.45
2025/01/01 02:40:01.316, 1, 0, 37.42
2025/01/01 02:40:02.317, 1, 0, 37.42
2025/01/01 02:40:03.317, 1, 0, 37.32
2025/01/01 02:40:04.317, 1, 0, 37.42
2025/01/01 02:40:05.317, 1, 0, 37.11
2025/01/01 02:40:06.317, 1, 83, 113.82
2025/01/01 02:40:07.317, 1, 95, 121.13
2025/01/01 02:40:08.317, 1, 97, 112.39
2025/01/01 02:40:09.318, 1, 97, 120.08
2025/01/01 02:40:10.318, 1, 97, 113.11
2025/01/01 02:40:11.318, 1, 97, 120.34
2025/01/01 02:40:12.318, 1, 97, 120.14
2025/01/01 02:40:13.318, 1, 97, 118.33
2025/01/01 02:40:14.318, 1, 97, 119.12
2025/01/01 02:40:15.318, 1, 97, 116.00
2025/01/01 02:40:16.319, 1, 97, 129.16
2025/01/01 02:40:17.319, 1, 97, 117.60
2025/01/01 02:40:18.319, 1, 97, 119.54
2025/01/01 02:40:19.319, 1, 97, 118.86
2025/01/01 02:40:20.319, 1, 97, 117.95
2025/01/01 02:40:21.319, 1, 97, 117.69
2025/01/01 02:40:22.319, 1, 96, 119.19
2025/01/01 02:40:23.320, 1, 97, 124.46
2025/01/01 02:40:24.320, 1, 97, 115.27
2025/01/01 02:40:25.320, 1, 97, 118.77
2025/01/01 02:40:26.320, 1, 97, 122.76
2025/01/01 02:40:27.320, 1, 97, 119.36
2025/01/01 02:40:28.320, 1, 97, 117.35
2025/01/01 02:40:29.320, 1, 97, 118.21
2025/01/01 02:40:30.320, 1, 97, 118.00
2025/01/01 02:40:31.321, 1, 97, 122.07
2025/01/01 02:40:32.321, 1, 97, 120.48
2025/01/01 02:40:33.321, 1, 96, 120.33
2025/01/01 02:40:34.321, 1, 97, 119.79
2025/01/01 02:40:35.321, 1, 97, 122.12
2025/01/01 02:40:36.321, 1, 96, 119.82
2025/01/01 02:40:37.321, 1, 97, 115.47
2025/01/01 02:40:38.322, 1, 97, 114.76
2025/01/01 02:40:39.322, 1, 97, 115.25
2025/01/01 02:40:40.322, 1, 95, 115.24
2025/01/01 02:40:41.322, 1, 97, 116.05
2025/01/01 02:40:42.322, 1, 97, 120.04
2025/01/01 02:40:43.322, 1, 97, 121.70
2025/01/01 02:40:44.322, 1, 97, 115.66
2025/01/01 02:40:45.323, 1, 97, 128.07
2025/01/01 02:40:46.323, 1, 97, 123.25
2025/01/01 02:40:47.323, 1, 97, 120.96
2025/01/01 02:40:48.323, 1, 97, 121.98
2025/01/01 02:40:49.323, 1, 97, 118.35
2025/01/01 02:40:50.323, 1, 96, 122.52
2025/01/01 02:40:51.323, 1, 97, 119.15
2025/01/01 02:40:52.324, 1, 97, 120.06
2025/01/01 02:40:53.324, 1, 97, 121.12
2025/01/01 02:40:54.324, 1, 97, 120.96
2025/01/01 02:40:55.324, 1, 97, 120.01
2025/01/01 02:40:56.324, 1, 97, 117.01
2025/01/01 02:40:57.324, 1, 97, 120.34
2025/01/01 02:40:58.324, 1, 97, 116.15
2025/01/01 02:40:59.325, 1, 97, 118.72
2025/01/01 02:41:00.325, 1, 97, 120.29
2025/01/01 02:41:01.325, 1, 97, 120.75
2025/01/01 02:41:02.325, 1, 97, 129.87
2025/01/01 02:41:03.325, 1, 97, 120.40
2025/01/01 02:41:04.325, 1, 97, 117.61
2025/01/01 02:41:05.325, 1, 97, 123.20
2025/01/01 02:41:06.326, 1, 97, 119.68
2025/01/01 02:41:07.326, 1, 97, 122.46
2025/01/01 02:41:08.326, 1, 98, 122.84
2025/01/01 02:41:09.326, 1, 97, 123.95
2025/01/01 02:41:10.326, 1, 97, 117.56
2025/01/01 02:41:11.326, 1, 97, 126.22
2025/01/01 02:41:12.326, 1, 98, 117.23
2025/01/01 02:41:13.327, 1, 97, 119.54
2025/01/01 02:41:14.327, 1, 97, 123.66
2025/01/01 02:41:15.327, 1, 96, 120.96
2025/01/01 02:41:16.327, 1, 97, 116.72
2025/01/01 02:41:17.327, 1, 97, 121.29
2025/01/01 02:41:18.327, 1, 97, 120.46
2025/01/01 02:41:19.327, 1, 97, 120.80
2025/01/01 02:41:20.328, 1, 97, 124.32
2025/01/01 02:41:21.328, 1, 97, 121.76
2025/01/01 02:41:22.328, 1, 96, 120.87
2025/01/01 02:41:23.328, 1, 97, 116.63
2025/01/01 02:41:24.328, 1, 96, 121.08
2025/01/01 02:41:25.328, 1, 97, 120.35
2025/01/01 02:41:26.328, 1, 97, 123.38
2025/01/01 02:41:27.329, 1, 97, 123.66
2025/01/01 02:41:28.329, 1, 97, 122.26
2025/01/01 02:41:29.329, 1, 96, 121.44
2025/01/01 02:41:30.329, 1, 97, 120.54
2025/01/01 02:41:31.329, 1, 97, 119.73
2025/01/01 02:41:32.329, 1, 97, 122.91
2025/01/01 02:41:33.329, 1, 97, 120.87
2025/01/01 02:41:34.330, 1, 97, 118.42
2025/01/01 02:41:35.330, 1, 97, 117.59
2025/01/01 02:41:36.330, 1, 97, 119.75
2025/01/01 02:41:37.330, 1, 97, 121.43
2025/01/01 02:41:38.330, 1, 97, 121.40
2025/01/01 02:41:39.330, 1, 97, 122.94
2025/01/01 02:41:40.330, 1, 97, 119.79
2025/01/01 02:41:41.330, 1, 97, 123.14
2025/01/01 02:41:42.331, 1, 97, 121.81
2025/01/01 02:41:43.331, 1, 97, 120.18
2025/01/01 02:41:44.331, 1, 97, 117.05
2025/01/01 02:41:45.331, 1, 97, 122.33
2025/01/01 02:41:46.331, 1, 97, 117.35
2025/01/01 02:41:47.331, 1, 97, 114.19
2025/01/01 02:41:48.331, 1, 97, 123.09
2025/01/01 02:41:49.332, 1, 96, 122.75
2025/01/01 02:41:50.332, 1, 97, 125.52
2025/01/01 02:41:51.332, 1, 97, 122.55
2025/01/01 02:41:52.332, 1, 97, 121.88
2025/01/01 02:41:53.332, 1, 97, 122.00
2025/01/01 02:41:54.332, 1, 96, 122.22
2025/01/01 02:41:55.332, 1, 97, 120.48
2025/01/01 02:41:56.333, 1, 97, 120.75
2025/01/01 02:41:57.333, 1, 97, 123.26
2025/01/01 02:41:58.333, 1, 97, 117.33
2025/01/01 02:41:59.333, 1, 97, 122.05
2025/01/01 02:42:00.333, 1, 97, 116.36
2025/01/01 02:42:01.333, 1, 97, 121.76
2025/01/01 02:42:02.333, 1, 97, 126.56
2025/01/01 02:42:03.334, 1, 97, 129.58
2025/01/01 02:42:04.334, 1, 97, 124.00
2025/01/01 02:42:05.334, 1, 97, 121.93
2025/01/01 02:42:06.334, 1, 97, 120.69
2025/01/01 02:42:07.334, 1, 97, 120.38
2025/01/01 02:42:08.334, 1, 97, 121.13
2025/01/01 02:42:09.334, 1, 97, 121.56
2025/01/01 02:42:10.335, 1, 97, 123.82
2025/01/01 02:42:11.335, 1, 97, 124.77
2025/01/01 02:42:12.335, 1, 97, 122.44
2025/01/01 02:42:13.335, 1, 97, 120.57
2025/01/01 02:42:14.335, 1, 97, 121.40
2025/01/01 02:42:15.335, 1, 97, 122.10
2025/01/01 02:42:16.335, 1, 97, 123.18
2025/01/01 02:42:17.335, 1, 97, 122.10
2025/01/01 02:42:18.336, 1, 97, 123.11
2025/01/01 02:42:19.336, 1, 96, 121.72
2025/01/01 02:42:20.336, 1, 97, 122.45
2025/01/01 02:42:21.336, 1, 97, 117.55
2025/01/01 02:42:22.336, 1, 97, 124.32
2025/01/01 02:42:23.336, 1, 97, 120.40
2025/01/01 02:42:24.336, 1, 97, 122.81
2025/01/01 02:42:25.337, 1, 97, 119.56
2025/01/01 02:42:26.337, 1, 97, 124.43
2025/01/01 02:42:27.337, 1, 97, 118.50
2025/01/01 02:42:28.337, 1, 97, 122.54
2025/01/01 02:42:29.337, 1, 97, 121.68
2025/01/01 02:42:30.337, 1, 97, 121.34
2025/01/01 02:42:31.338, 1, 97, 122.35
2025/01/01 02:42:32.338, 1, 97, 123.89
2025/01/01 02:42:33.338, 1, 97, 120.91
2025/01/01 02:42:34.338, 1, 97, 127.15
2025/01/01 02:42:35.338, 1, 97, 124.04
2025/01/01 02:42:36.338, 1, 97, 121.28
2025/01/01 02:42:37.338, 1, 97, 122.06
2025/01/01 02:42:38.339, 1, 96, 123.30
2025/01/01 02:42:39.339, 1, 97, 122.37
2025/01/01 02:42:40.339, 1, 96, 124.27
2025/01/01 02:42:41.339, 1, 97, 119.96
2025/01/01 02:42:42.339, 1, 97, 122.69
2025/01/01 02:42:43.339, 1, 97, 121.97
2025/01/01 02:42:44.339, 1, 97, 117.91
2025/01/01 02:42:45.339, 1, 97, 120.57
2025/01/01 02:42:46.340, 1, 97, 123.78
2025/01/01 02:42:47.340, 1, 97, 120.57
2025/01/01 02:42:48.340, 1, 97, 121.53
2025/01/01 02:42:49.340, 1, 97, 122.74
2025/01/01 02:42:50.340, 1, 97, 119.19
2025/01/01 02:42:51.340, 1, 97, 117.82
2025/01/01 02:42:52.340, 1, 97, 124.52
2025/01/01 02:42:53.341, 1, 97, 121.99
2025/01/01 02:42:54.341, 1, 97, 118.39
2025/01/01 02:42:55.341, 1, 96, 120.61
2025/01/01 02:42:56.341, 1, 96, 121.80
2025/01/01 02:42:57.341, 1, 95, 116.25
2025/01/01 02:42:58.341, 1, 96, 116.33
2025/01/01 02:42:59.341, 1, 97, 120.88
2025/01/01 02:43:00.341, 1, 97, 121.74
2025/01/01 02:43:01.342, 1, 97, 118.99
2025/01/01 02:43:02.342, 1, 97, 118.87
2025/01/01 02:43:03.342, 1, 96, 121.37
2025/01/01 02:43:04.342, 1, 97, 122.30
2025/01/01 02:43:05.342, 1, 97, 122.58
2025/01/01 02:43:06.342, 1, 97, 120.63
2025/01/01 02:43:07.342, 1, 97, 117.96
2025/01/01 02:43:08.342, 1, 97, 120.68
2025/01/01 02:43:09.343, 1, 97, 119.06
2025/01/01 02:43:10.343, 1, 97, 124.96
2025/01/01 02:43:11.343, 1, 97, 118.10
2025/01/01 02:43:12.343, 1, 97, 118.82
2025/01/01 02:43:13.343, 1, 97, 122.14
2025/01/01 02:43:14.343, 1, 97, 123.60
2025/01/01 02:43:15.343, 1, 97, 124.80
2025/01/01 02:43:16.343, 1, 97, 120.80
2025/01/01 02:43:17.344, 1, 97, 120.55
2025/01/01 02:43:18.344, 1, 97, 119.89
2025/01/01 02:43:19.344, 1, 97, 122.57
2025/01/01 02:43:20.344, 1, 97, 117.46
2025/01/01 02:43:21.344, 1, 97, 121.16
2025/01/01 02:43:22.344, 1, 97, 124.09
2025/01/01 02:43:23.344, 1, 97, 116.17
2025/01/01 02:43:24.345, 1, 96, 119.38
2025/01/01 02:43:25.345, 1, 97, 117.09
2025/01/01 02:43:26.345, 1, 97, 121.76
2025/01/01 02:43:27.345, 1, 97, 122.15
2025/01/01 02:43:28.345, 1, 97, 120.68
2025/01/01 02:43:29.345, 1, 97, 120.78
2025/01/01 02:43:30.345, 1, 97, 125.07
