timestamp, index, utilization.gpu [%], power.draw [W]
2024/12/31 21:36:49.352, 0, 0, 36.72
2024/12/31 21:36:50.353, 0, 0, 36.81
2024/12/31 21:36:51.353, 0, 0, 36.72
2024/12/31 21:36:52.353, 0, 0, 36.61
2024/12/31 21:36:53.353, 0, 0, 36.72
2024/12/31 21:36:54.354, 0, 0, 36.71
2024/12/31 21:36:55.354, 0, 0, 36.60
2024/12/31 21:36:56.354, 0, 0, 36.41
2024/12/31 21:36:57.354, 0, 0, 36.72
2024/12/31 21:36:58.354, 0, 0, 36.72
2024/12/31 21:36:59.354, 0, 0, 36.71
2024/12/31 21:37:00.354, 0, 0, 36.72
2024/12/31 21:37:01.355, 0, 0, 36.71
2024/12/31 21:37:02.355, 0, 0, 36.71
2024/12/31 21:37:03.355, 0, 0, 36.70
2024/12/31 21:37:04.355, 0, 0, 36.92
2024/12/31 21:37:05.355, 0, 0, 36.70
2024/12/31 21:37:06.355, 0, 0, 36.70
2024/12/31 21:37:07.355, 0, 0, 36.60
2024/12/31 21:37:08.355, 0, 0, 36.60
2024/12/31 21:37:09.356, 0, 0, 36.71
2024/12/31 21:37:10.356, 0, 0, 36.71
2024/12/31 21:37:11.356, 0, 0, 36.60
2024/12/31 21:37:12.356, 0, 0, 36.50
2024/12/31 21:37:13.356, 0, 0, 36.50
2024/12/31 21:37:14.356, 0, 0, 36.62
2024/12/31 21:37:15.356, 0, 0, 36.70
2024/12/31 21:37:16.357, 0, 0, 36.60
2024/12/31 21:37:17.357, 0, 0, 36.51
2024/12/31 21:37:18.357, 0, 0, 36.82
2024/12/31 21:37:19.357, 0, 33, 36.59
2024/12/31 21:37:20.357, 0, 34, 37.40
2024/12/31 21:37:21.357, 0, 14, 37.40
2024/12/31 21:37:22.357, 0, 34, 36.59
2024/12/31 21:37:23.358, 0, 27, 36.71
2024/12/31 21:37:24.358, 0, 14, 36.71
2024/12/31 21:37:25.358, 0, 8, 37.40
2024/12/31 21:37:26.358, 0, 0, 36.61
2024/12/31 21:37:27.358, 0, 0, 36.82
2024/12/31 21:37:28.358, 0, 0, 36.61
2024/12/31 21:37:29.358, 0, 0, 36.72
2024/12/31 21:37:30.358, 0, 0, 36.41
2024/12/31 21:37:31.359, 0, 0, 36.51
2024/12/31 21:37:32.359, 0, 0, 36.59
2024/12/31 21:37:33.359, 0, 80, 115.00
2024/12/31 21:37:34.359, 0, 97, 116.03
2024/12/31 21:37:35.359, 0, 97, 124.60
2024/12/31 21:37:36.359, 0, 97, 122.51
2024/12/31 21:37:37.359, 0, 97, 117.82
2024/12/31 21:37:38.360, 0, 97, 117.79
2024/12/31 21:37:39.360, 0, 97, 120.80
2024/12/31 21:37:40.360, 0, 97, 119.32
2024/12/31 21:37:41.360, 0, 97, 119.72
2024/12/31 21:37:42.360, 0, 97, 124.94
2024/12/31 21:37:43.360, 0, 97, 113.14
2024/12/31 21:37:44.360, 0, 97, 111.50
2024/12/31 21:37:45.360, 0, 97, 112.24
2024/12/31 21:37:46.361, 0, 97, 121.17
2024/12/31 21:37:47.361, 0, 97, 123.67
2024/12/31 21:37:48.361, 0, 97, 114.75
2024/12/31 21:37:49.361, 0, 97, 125.77
2024/12/31 21:37:50.361, 0, 97, 122.93
2024/12/31 21:37:51.361, 0, 94, 112.61
2024/12/31 21:37:52.361, 0, 96, 124.70
2024/12/31 21:37:53.362, 0, 97, 119.13
2024/12/31 21:37:54.362, 0, 97, 120.21
2024/12/31 21:37:55.362, 0, 97, 123.27
2024/12/31 21:37:56.362, 0, 97, 118.62
2024/12/31 21:37:57.362, 0, 97, 124.19
2024/12/31 21:37:58.362, 0, 97, 123.88
2024/12/31 21:37:59.362, 0, 97, 119.92
2024/12/31 21:38:00.362, 0, 94, 116.42
2024/12/31 21:38:01.363, 0, 97, 118.81
2024/12/31 21:38:02.363, 0, 97, 126.11
2024/12/31 21:38:03.363, 0, 96, 125.19
2024/12/31 21:38:04.363, 0, 97, 118.94
2024/12/31 21:38:05.363, 0, 97, 115.71
2024/12/31 21:38:06.363, 0, 97, 114.69
2024/12/31 21:38:07.363, 0, 97, 119.74
2024/12/31 21:38:08.364, 0, 97, 116.25
2024/12/31 21:38:09.364, 0, 96, 118.86
2024/12/31 21:38:10.364, 0, 97, 115.65
2024/12/31 21:38:11.364, 0, 97, 121.90
2024/12/31 21:38:12.364, 0, 97, 124.73
2024/12/31 21:38:13.364, 0, 97, 120.29
2024/12/31 21:38:14.364, 0, 97, 119.81
2024/12/31 21:38:15.365, 0, 97, 115.44
2024/12/31 21:38:16.365, 0, 97, 124.97
2024/12/31 21:38:17.365, 0, 97, 115.32
2024/12/31 21:38:18.365, 0, 97, 119.55
2024/12/31 21:38:19.365, 0, 97, 122.47
2024/12/31 21:38:20.365, 0, 97, 123.50
2024/12/31 21:38:21.365, 0, 97, 111.77
2024/12/31 21:38:22.366, 0, 97, 122.24
2024/12/31 21:38:23.366, 0, 96, 116.56
2024/12/31 21:38:24.366, 0, 97, 129.04
2024/12/31 21:38:25.366, 0, 97, 125.45
2024/12/31 21:38:26.366, 0, 97, 122.74
2024/12/31 21:38:27.366, 0, 97, 126.66
2024/12/31 21:38:28.366, 0, 97, 119.10
2024/12/31 21:38:29.367, 0, 96, 126.15
2024/12/31 21:38:30.367, 0, 97, 121.57
2024/12/31 21:38:31.367, 0, 97, 119.64
2024/12/31 21:38:32.367, 0, 97, 120.37
2024/12/31 21:38:33.367, 0, 97, 123.07
2024/12/31 21:38:34.367, 0, 97, 119.10
2024/12/31 21:38:35.367, 0, 95, 119.55
2024/12/31 21:38:36.368, 0, 97, 124.16
2024/12/31 21:38:37.368, 0, 97, 120.81
2024/12/31 21:38:38.368, 0, 97, 117.37
2024/12/31 21:38:39.368, 0, 97, 122.09
2024/12/31 21:38:40.368, 0, 97, 119.90
2024/12/31 21:38:41.368, 0, 97, 125.06
2024/12/31 21:38:42.368, 0, 97, 124.69
2024/12/31 21:38:43.368, 0, 97, 125.39
