timestamp, index, utilization.gpu [%], power.draw [W]
2025/01/04 05:55:51.472, 0, 0, 36.60
2025/01/04 05:55:52.473, 0, 0, 36.51
2025/01/04 05:55:53.473, 0, 0, 36.30
2025/01/04 05:55:54.474, 0, 0, 36.51
2025/01/04 05:55:55.474, 0, 0, 36.50
2025/01/04 05:55:56.474, 0, 0, 36.60
2025/01/04 05:55:57.474, 0, 0, 36.30
2025/01/04 05:55:58.474, 0, 0, 36.21
2025/01/04 05:55:59.474, 0, 0, 36.31
2025/01/04 05:56:00.474, 0, 0, 36.60
2025/01/04 05:56:01.474, 0, 0, 36.61
2025/01/04 05:56:02.475, 0, 0, 36.31
2025/01/04 05:56:03.475, 0, 0, 36.61
2025/01/04 05:56:04.475, 0, 0, 36.30
2025/01/04 05:56:05.475, 0, 0, 36.30
2025/01/04 05:56:06.475, 0, 0, 36.30
2025/01/04 05:56:07.475, 0, 0, 36.60
2025/01/04 05:56:08.475, 0, 0, 36.60
2025/01/04 05:56:09.476, 0, 0, 36.30
2025/01/04 05:56:10.476, 0, 0, 36.30
2025/01/04 05:56:11.476, 0, 0, 36.50
2025/01/04 05:56:12.476, 0, 0, 36.61
2025/01/04 05:56:13.476, 0, 0, 36.60
2025/01/04 05:56:14.476, 0, 0, 36.31
2025/01/04 05:56:15.476, 0, 0, 36.22
2025/01/04 05:56:16.477, 0, 0, 36.30
2025/01/04 05:56:17.477, 0, 0, 36.41
2025/01/04 05:56:18.477, 0, 0, 36.61
2025/01/04 05:56:19.477, 0, 0, 36.60
2025/01/04 05:56:20.477, 0, 31, 36.30
2025/01/04 05:56:21.477, 0, 0, 37.21
2025/01/04 05:56:22.477, 0, 76, 36.80
2025/01/04 05:56:23.477, 0, 56, 37.20
2025/01/04 05:56:24.478, 0, 84, 36.90
2025/01/04 05:56:25.478, 0, 82, 36.90
2025/01/04 05:56:26.478, 0, 82, 36.90
2025/01/04 05:56:27.478, 0, 64, 36.41
2025/01/04 05:56:28.478, 0, 0, 36.22
2025/01/04 05:56:29.478, 0, 0, 36.51
2025/01/04 05:56:30.478, 0, 0, 36.40
2025/01/04 05:56:31.479, 0, 0, 36.22
2025/01/04 05:56:32.479, 0, 0, 36.12
2025/01/04 05:56:33.479, 0, 0, 36.22
2025/01/04 05:56:34.479, 0, 0, 36.50
2025/01/04 05:56:35.479, 0, 35, 80.22
2025/01/04 05:56:36.479, 0, 90, 98.52
2025/01/04 05:56:37.479, 0, 92, 110.13
2025/01/04 05:56:38.479, 0, 91, 110.83
2025/01/04 05:56:39.480, 0, 92, 112.57
2025/01/04 05:56:40.480, 0, 92, 109.58
2025/01/04 05:56:41.480, 0, 90, 114.57
2025/01/04 05:56:42.480, 0, 93, 100.42
2025/01/04 05:56:43.480, 0, 89, 94.23
2025/01/04 05:56:44.480, 0, 90, 103.21
2025/01/04 05:56:45.480, 0, 90, 112.57
2025/01/04 05:56:46.480, 0, 90, 115.35
2025/01/04 05:56:47.481, 0, 90, 82.30
2025/01/04 05:56:48.481, 0, 95, 105.00
2025/01/04 05:56:49.481, 0, 88, 120.83
2025/01/04 05:56:50.481, 0, 90, 102.61
2025/01/04 05:56:51.481, 0, 92, 112.65
2025/01/04 05:56:52.481, 0, 92, 115.35
2025/01/04 05:56:53.481, 0, 90, 112.48
