timestamp, index, utilization.gpu [%], power.draw [W]
2025/01/03 20:20:40.072, 1, 0, 37.25
2025/01/03 20:20:41.074, 1, 0, 37.25
2025/01/03 20:20:42.074, 1, 0, 37.15
2025/01/03 20:20:43.074, 1, 0, 37.13
2025/01/03 20:20:44.074, 1, 0, 37.24
2025/01/03 20:20:45.075, 1, 0, 37.44
2025/01/03 20:20:46.075, 1, 0, 37.25
2025/01/03 20:20:47.075, 1, 0, 37.25
2025/01/03 20:20:48.075, 1, 0, 37.25
2025/01/03 20:20:49.075, 1, 0, 37.24
2025/01/03 20:20:50.075, 1, 0, 37.25
2025/01/03 20:20:51.075, 1, 0, 37.15
2025/01/03 20:20:52.076, 1, 0, 37.15
2025/01/03 20:20:53.076, 1, 0, 37.25
2025/01/03 20:20:54.076, 1, 0, 37.25
2025/01/03 20:20:55.076, 1, 0, 37.15
2025/01/03 20:20:56.076, 1, 0, 37.25
2025/01/03 20:20:57.076, 1, 0, 37.25
2025/01/03 20:20:58.076, 1, 0, 37.25
2025/01/03 20:20:59.077, 1, 0, 37.25
2025/01/03 20:21:00.077, 1, 0, 37.22
2025/01/03 20:21:01.077, 1, 0, 37.22
2025/01/03 20:21:02.077, 1, 0, 37.23
2025/01/03 20:21:03.077, 1, 0, 37.23
2025/01/03 20:21:04.077, 1, 0, 37.43
2025/01/03 20:21:05.077, 1, 0, 37.15
2025/01/03 20:21:06.077, 1, 27, 38.22
2025/01/03 20:21:07.078, 1, 53, 37.04
2025/01/03 20:21:08.078, 1, 24, 38.22
2025/01/03 20:21:09.078, 1, 51, 38.22
2025/01/03 20:21:10.078, 1, 39, 37.15
2025/01/03 20:21:11.078, 1, 34, 37.23
2025/01/03 20:21:12.078, 1, 0, 37.15
2025/01/03 20:21:13.078, 1, 0, 37.05
2025/01/03 20:21:14.079, 1, 0, 37.05
2025/01/03 20:21:15.079, 1, 0, 37.13
2025/01/03 20:21:16.079, 1, 0, 37.22
2025/01/03 20:21:17.079, 1, 0, 37.12
2025/01/03 20:21:18.079, 1, 0, 37.12
2025/01/03 20:21:19.079, 1, 97, 116.01
2025/01/03 20:21:20.079, 1, 97, 115.06
2025/01/03 20:21:21.080, 1, 97, 119.60
2025/01/03 20:21:22.080, 1, 97, 116.53
2025/01/03 20:21:23.080, 1, 97, 112.79
2025/01/03 20:21:24.080, 1, 97, 119.61
2025/01/03 20:21:25.080, 1, 97, 117.64
2025/01/03 20:21:26.080, 1, 97, 117.20
2025/01/03 20:21:27.080, 1, 97, 120.78
2025/01/03 20:21:28.080, 1, 97, 117.12
2025/01/03 20:21:29.081, 1, 97, 114.32
2025/01/03 20:21:30.081, 1, 97, 119.01
2025/01/03 20:21:31.081, 1, 97, 120.69
2025/01/03 20:21:32.081, 1, 97, 92.80
2025/01/03 20:21:33.081, 1, 97, 118.53
2025/01/03 20:21:34.081, 1, 97, 115.26
2025/01/03 20:21:35.082, 1, 97, 112.03
2025/01/03 20:21:36.082, 1, 97, 114.68
2025/01/03 20:21:37.082, 1, 97, 116.47
2025/01/03 20:21:38.082, 1, 97, 99.93
2025/01/03 20:21:39.082, 1, 97, 117.18
2025/01/03 20:21:40.082, 1, 97, 118.08
2025/01/03 20:21:41.082, 1, 97, 117.65
2025/01/03 20:21:42.082, 1, 97, 121.38
2025/01/03 20:21:43.083, 1, 97, 121.06
2025/01/03 20:21:44.083, 1, 97, 117.90
2025/01/03 20:21:45.083, 1, 97, 123.39
2025/01/03 20:21:46.083, 1, 96, 118.11
2025/01/03 20:21:47.083, 1, 97, 119.35
2025/01/03 20:21:48.083, 1, 97, 114.88
2025/01/03 20:21:49.083, 1, 97, 117.16
2025/01/03 20:21:50.084, 1, 97, 118.24
2025/01/03 20:21:51.084, 1, 97, 121.26
2025/01/03 20:21:52.084, 1, 97, 117.80
2025/01/03 20:21:53.084, 1, 97, 118.31
2025/01/03 20:21:54.084, 1, 97, 118.14
2025/01/03 20:21:55.084, 1, 97, 120.61
2025/01/03 20:21:56.084, 1, 97, 119.82
2025/01/03 20:21:57.085, 1, 97, 113.68
2025/01/03 20:21:58.085, 1, 96, 115.70
2025/01/03 20:21:59.085, 1, 97, 115.65
2025/01/03 20:22:00.085, 1, 97, 118.17
2025/01/03 20:22:01.085, 1, 97, 114.62
2025/01/03 20:22:02.085, 1, 97, 122.71
2025/01/03 20:22:03.085, 1, 97, 114.62
2025/01/03 20:22:04.086, 1, 97, 119.75
2025/01/03 20:22:05.086, 1, 97, 116.01
2025/01/03 20:22:06.086, 1, 96, 119.93
2025/01/03 20:22:07.086, 1, 97, 116.06
2025/01/03 20:22:08.086, 1, 97, 119.42
2025/01/03 20:22:09.086, 1, 97, 118.93
2025/01/03 20:22:10.086, 1, 97, 120.48
2025/01/03 20:22:11.087, 1, 97, 116.22
2025/01/03 20:22:12.087, 1, 97, 115.02
2025/01/03 20:22:13.087, 1, 97, 118.30
2025/01/03 20:22:14.087, 1, 97, 122.49
2025/01/03 20:22:15.087, 1, 97, 120.25
2025/01/03 20:22:16.087, 1, 97, 121.12
2025/01/03 20:22:17.087, 1, 97, 121.05
2025/01/03 20:22:18.087, 1, 97, 116.92
2025/01/03 20:22:19.088, 1, 97, 122.94
2025/01/03 20:22:20.088, 1, 97, 123.19
2025/01/03 20:22:21.088, 1, 97, 120.11
2025/01/03 20:22:22.088, 1, 97, 120.75
2025/01/03 20:22:23.088, 1, 97, 120.81
2025/01/03 20:22:24.088, 1, 97, 121.11
2025/01/03 20:22:25.088, 1, 97, 122.20
2025/01/03 20:22:26.089, 1, 97, 122.71
2025/01/03 20:22:27.089, 1, 97, 116.87
2025/01/03 20:22:28.089, 1, 97, 119.60
2025/01/03 20:22:29.089, 1, 97, 123.01
2025/01/03 20:22:30.089, 1, 97, 116.98
2025/01/03 20:22:31.089, 1, 97, 116.99
2025/01/03 20:22:32.089, 1, 97, 117.74
2025/01/03 20:22:33.090, 1, 97, 122.22
2025/01/03 20:22:34.090, 1, 98, 120.13
2025/01/03 20:22:35.090, 1, 97, 116.72
2025/01/03 20:22:36.090, 1, 97, 115.67
2025/01/03 20:22:37.090, 1, 97, 120.84
2025/01/03 20:22:38.090, 1, 96, 119.75
