timestamp, index, utilization.gpu [%], power.draw [W]
2024/12/30 00:58:12.539, 1, 0, 37.93
2024/12/30 00:58:13.539, 1, 0, 38.03
2024/12/30 00:58:14.540, 1, 0, 38.34
2024/12/30 00:58:15.540, 1, 0, 37.83
2024/12/30 00:58:16.540, 1, 0, 37.92
2024/12/30 00:58:17.540, 1, 0, 38.23
2024/12/30 00:58:18.540, 1, 0, 38.03
2024/12/30 00:58:19.540, 1, 0, 38.34
2024/12/30 00:58:20.540, 1, 0, 38.13
2024/12/30 00:58:21.541, 1, 0, 38.24
2024/12/30 00:58:22.541, 1, 0, 38.03
2024/12/30 00:58:23.541, 1, 0, 37.71
2024/12/30 00:58:24.541, 1, 0, 38.03
2024/12/30 00:58:25.541, 1, 0, 38.14
2024/12/30 00:58:26.542, 1, 0, 37.82
2024/12/30 00:58:27.542, 1, 0, 37.92
2024/12/30 00:58:28.542, 1, 0, 38.03
2024/12/30 00:58:29.542, 1, 0, 38.02
2024/12/30 00:58:30.542, 1, 0, 37.72
2024/12/30 00:58:31.543, 1, 0, 37.93
2024/12/30 00:58:32.543, 1, 0, 38.24
2024/12/30 00:58:33.543, 1, 0, 38.03
2024/12/30 00:58:34.543, 1, 0, 37.71
2024/12/30 00:58:35.543, 1, 0, 37.83
2024/12/30 00:58:36.543, 1, 0, 38.03
2024/12/30 00:58:37.543, 1, 0, 38.02
2024/12/30 00:58:38.543, 1, 0, 38.03
2024/12/30 00:58:39.544, 1, 0, 37.63
2024/12/30 00:58:40.544, 1, 49, 37.92
2024/12/30 00:58:41.544, 1, 48, 39.00
2024/12/30 00:58:42.544, 1, 49, 38.02
2024/12/30 00:58:43.544, 1, 0, 37.62
2024/12/30 00:58:44.544, 1, 0, 37.74
2024/12/30 00:58:45.544, 1, 0, 37.93
2024/12/30 00:58:46.545, 1, 0, 37.93
2024/12/30 00:58:47.545, 1, 0, 37.82
2024/12/30 00:58:48.545, 1, 0, 37.92
2024/12/30 00:58:49.545, 1, 0, 37.62
2024/12/30 00:58:50.545, 1, 0, 37.92
2024/12/30 00:58:51.545, 1, 0, 38.03
2024/12/30 00:58:52.545, 1, 0, 37.62
2024/12/30 00:58:53.546, 1, 0, 37.92
2024/12/30 00:58:54.546, 1, 0, 37.92
2024/12/30 00:58:55.546, 1, 0, 37.92
2024/12/30 00:58:56.546, 1, 94, 105.38
2024/12/30 00:58:57.546, 1, 94, 107.20
2024/12/30 00:58:58.546, 1, 94, 120.46
2024/12/30 00:58:59.546, 1, 95, 131.60
2024/12/30 00:59:00.547, 1, 94, 128.21
2024/12/30 00:59:01.547, 1, 94, 129.07
2024/12/30 00:59:02.547, 1, 94, 134.37
2024/12/30 00:59:03.547, 1, 94, 125.65
2024/12/30 00:59:04.547, 1, 96, 110.46
