file_name,total_time_seconds,average_power_watts,total_energy_joules
gpu_monitor_alpha_0.2_run_1.csv,1190,116.46,138590.88
gpu_monitor_alpha_0.2_run_2.csv,1187,116.61,138415.47
gpu_monitor_alpha_0.2_run_3.csv,1189,116.15,138106.63
gpu_monitor_alpha_0.2_run_4.csv,1187,116.39,138157.59
gpu_monitor_alpha_0.2_run_5.csv,1189,116.18,138139.97
gpu_monitor_alpha_0.4_run_1.csv,1187,116.02,137719.18
gpu_monitor_alpha_0.4_run_2.csv,1181,116.51,137596.12
gpu_monitor_alpha_0.4_run_3.csv,1181,116.91,138067.36
gpu_monitor_alpha_0.4_run_4.csv,1186,116.63,138329.08
gpu_monitor_alpha_0.4_run_5.csv,1182,116.53,137737.97
gpu_monitor_alpha_0.6_run_1.csv,1187,116.12,137832.43
gpu_monitor_alpha_0.6_run_2.csv,1184,116.67,138139.51
gpu_monitor_alpha_0.6_run_3.csv,1190,116.33,138427.1
gpu_monitor_alpha_0.6_run_4.csv,1181,117.24,138455.55
gpu_monitor_alpha_0.6_run_5.csv,1182,116.64,137871.23
gpu_monitor_alpha_0.8_run_1.csv,1167,116.18,135586.32
gpu_monitor_alpha_0.8_run_2.csv,1163,116.7,135716.45
gpu_monitor_alpha_0.8_run_3.csv,1162,116.89,135830.49
gpu_monitor_alpha_0.8_run_4.csv,1168,116.92,136564.77
gpu_monitor_alpha_0.8_run_5.csv,1161,116.54,135304.54
gpu_monitor_alpha_1.0_run_1.csv,1134,116.43,132032.85
gpu_monitor_alpha_1.0_run_2.csv,1134,116.95,132620.66
gpu_monitor_alpha_1.0_run_3.csv,1135,117.24,133071.6
gpu_monitor_alpha_1.0_run_4.csv,1135,116.17,131852.6
gpu_monitor_alpha_1.0_run_5.csv,1136,116.46,132304.18
