file_name,total_time_seconds,average_power_watts,total_energy_joules
gpu_monitor_beam_4_group_2_run_1.csv,792,102.26,80989.89
gpu_monitor_beam_4_group_2_run_2.csv,786,102.09,80244.98
gpu_monitor_beam_4_group_2_run_3.csv,786,102.66,80688.43
gpu_monitor_beam_4_group_2_run_4.csv,794,102.41,81310.57
gpu_monitor_beam_4_group_2_run_5.csv,788,102.36,80658.11
gpu_monitor_beam_5_group_5_run_1.csv,881,98.31,86614.12
gpu_monitor_beam_5_group_5_run_2.csv,888,97.49,86573.06
gpu_monitor_beam_5_group_5_run_3.csv,883,97.34,85948.98
gpu_monitor_beam_5_group_5_run_4.csv,888,98.11,87121.3
gpu_monitor_beam_5_group_5_run_5.csv,890,97.43,86713.35
gpu_monitor_beam_10_group_2_run_1.csv,942,107.34,101116.11
gpu_monitor_beam_10_group_2_run_2.csv,942,107.6,101355.21
gpu_monitor_beam_10_group_2_run_3.csv,942,107.33,101104.84
gpu_monitor_beam_10_group_2_run_4.csv,943,107.46,101330.11
gpu_monitor_beam_10_group_2_run_5.csv,948,107.17,101600.46
gpu_monitor_beam_10_group_5_run_1.csv,1024,101.07,103499.0
gpu_monitor_beam_10_group_5_run_2.csv,1029,100.81,103733.93
gpu_monitor_beam_10_group_5_run_3.csv,1030,102.0,105064.81
gpu_monitor_beam_10_group_5_run_4.csv,1030,101.61,104660.07
gpu_monitor_beam_10_group_5_run_5.csv,1026,102.77,105439.82
