timestamp, index, utilization.gpu [%], power.draw [W]
2024/12/29 09:12:36.249, 1, 0, 40.20
2024/12/29 09:12:37.251, 1, 0, 40.10
2024/12/29 09:12:38.251, 1, 0, 39.91
2024/12/29 09:12:39.252, 1, 0, 39.82
2024/12/29 09:12:40.252, 1, 0, 39.81
2024/12/29 09:12:41.252, 1, 0, 39.71
2024/12/29 09:12:42.252, 1, 0, 40.01
2024/12/29 09:12:43.252, 1, 0, 39.50
2024/12/29 09:12:44.252, 1, 0, 40.39
2024/12/29 09:12:45.253, 1, 0, 39.62
2024/12/29 09:12:46.253, 1, 0, 39.53
2024/12/29 09:12:47.253, 1, 0, 39.40
2024/12/29 09:12:48.253, 1, 0, 39.21
2024/12/29 09:12:49.253, 1, 0, 39.22
2024/12/29 09:12:50.253, 1, 0, 39.40
2024/12/29 09:12:51.253, 1, 0, 39.11
2024/12/29 09:12:52.254, 1, 0, 39.12
2024/12/29 09:12:53.254, 1, 0, 39.11
2024/12/29 09:12:54.254, 1, 0, 39.08
2024/12/29 09:12:55.254, 1, 0, 39.14
2024/12/29 09:12:56.254, 1, 0, 39.35
2024/12/29 09:12:57.255, 1, 0, 38.79
2024/12/29 09:12:58.255, 1, 0, 38.60
2024/12/29 09:12:59.256, 1, 0, 38.82
2024/12/29 09:13:00.256, 1, 0, 38.72
2024/12/29 09:13:01.256, 1, 0, 38.72
2024/12/29 09:13:02.256, 1, 0, 38.73
2024/12/29 09:13:03.256, 1, 53, 39.79
2024/12/29 09:13:04.256, 1, 46, 39.69
2024/12/29 09:13:05.256, 1, 0, 38.62
2024/12/29 09:13:06.257, 1, 0, 38.53
2024/12/29 09:13:07.257, 1, 0, 38.52
2024/12/29 09:13:08.257, 1, 0, 38.52
2024/12/29 09:13:09.257, 1, 0, 38.42
2024/12/29 09:13:10.257, 1, 0, 38.52
2024/12/29 09:13:11.257, 1, 0, 38.42
2024/12/29 09:13:12.258, 1, 0, 38.53
2024/12/29 09:13:13.258, 1, 0, 38.43
2024/12/29 09:13:14.258, 1, 0, 38.23
2024/12/29 09:13:15.258, 1, 0, 38.43
2024/12/29 09:13:16.258, 1, 0, 38.23
2024/12/29 09:13:17.258, 1, 0, 38.33
2024/12/29 09:13:18.259, 1, 11, 38.42
