timestamp, index, utilization.gpu [%], power.draw [W]
2024/12/29 08:21:29.088, 0, 0, 38.29
2024/12/29 08:21:30.089, 0, 0, 37.97
2024/12/29 08:21:31.089, 0, 0, 38.18
2024/12/29 08:21:32.089, 0, 0, 38.10
2024/12/29 08:21:33.090, 0, 0, 38.07
2024/12/29 08:21:34.090, 0, 0, 38.08
2024/12/29 08:21:35.090, 0, 0, 38.17
2024/12/29 08:21:36.090, 0, 0, 38.00
2024/12/29 08:21:37.090, 0, 0, 37.98
2024/12/29 08:21:38.090, 0, 0, 37.88
2024/12/29 08:21:39.090, 0, 0, 38.09
2024/12/29 08:21:40.091, 0, 0, 37.99
2024/12/29 08:21:41.091, 0, 0, 37.79
2024/12/29 08:21:42.091, 0, 0, 37.89
2024/12/29 08:21:43.091, 0, 0, 37.78
2024/12/29 08:21:44.091, 0, 0, 37.69
2024/12/29 08:21:45.091, 0, 0, 37.69
2024/12/29 08:21:46.091, 0, 0, 37.70
2024/12/29 08:21:47.092, 0, 0, 37.78
2024/12/29 08:21:48.092, 0, 0, 37.79
2024/12/29 08:21:49.092, 0, 0, 37.69
2024/12/29 08:21:50.092, 0, 0, 37.79
2024/12/29 08:21:51.092, 0, 0, 37.69
2024/12/29 08:21:52.092, 0, 0, 37.98
2024/12/29 08:21:53.092, 0, 0, 37.90
2024/12/29 08:21:54.093, 0, 0, 37.98
2024/12/29 08:21:55.093, 0, 0, 38.10
2024/12/29 08:21:56.093, 0, 59, 38.78
2024/12/29 08:21:57.093, 0, 57, 38.47
2024/12/29 08:21:58.093, 0, 85, 37.96
2024/12/29 08:21:59.093, 0, 0, 37.79
2024/12/29 08:22:00.093, 0, 0, 37.90
2024/12/29 08:22:01.094, 0, 0, 37.99
2024/12/29 08:22:02.094, 0, 0, 37.89
2024/12/29 08:22:03.094, 0, 0, 37.79
2024/12/29 08:22:04.094, 0, 0, 37.90
2024/12/29 08:22:05.094, 0, 0, 37.79
2024/12/29 08:22:06.094, 0, 0, 37.89
2024/12/29 08:22:07.094, 0, 0, 37.89
2024/12/29 08:22:08.095, 0, 0, 37.59
2024/12/29 08:22:09.095, 0, 0, 37.88
2024/12/29 08:22:10.095, 0, 0, 37.79
2024/12/29 08:22:11.095, 0, 0, 37.59
2024/12/29 08:22:12.095, 0, 95, 106.36
2024/12/29 08:22:13.095, 0, 96, 109.73
2024/12/29 08:22:14.095, 0, 96, 112.40
2024/12/29 08:22:15.096, 0, 96, 107.21
2024/12/29 08:22:16.096, 0, 96, 108.78
2024/12/29 08:22:17.096, 0, 96, 107.14
2024/12/29 08:22:18.096, 0, 96, 111.58
2024/12/29 08:22:19.096, 0, 96, 106.21
2024/12/29 08:22:20.096, 0, 96, 111.00
2024/12/29 08:22:21.096, 0, 96, 111.29
2024/12/29 08:22:22.097, 0, 96, 104.81
2024/12/29 08:22:23.097, 0, 96, 107.64
2024/12/29 08:22:24.097, 0, 96, 113.03
2024/12/29 08:22:25.097, 0, 96, 113.99
2024/12/29 08:22:26.097, 0, 96, 105.10
2024/12/29 08:22:27.097, 0, 96, 110.23
2024/12/29 08:22:28.097, 0, 96, 107.48
2024/12/29 08:22:29.098, 0, 96, 110.55
2024/12/29 08:22:30.098, 0, 96, 110.59
2024/12/29 08:22:31.098, 0, 96, 109.40
2024/12/29 08:22:32.098, 0, 96, 103.74
2024/12/29 08:22:33.098, 0, 96, 115.73
2024/12/29 08:22:34.098, 0, 96, 113.73
2024/12/29 08:22:35.098, 0, 96, 115.10
2024/12/29 08:22:36.099, 0, 96, 115.13
2024/12/29 08:22:37.099, 0, 95, 104.35
2024/12/29 08:22:38.099, 0, 96, 107.83
2024/12/29 08:22:39.099, 0, 96, 111.42
2024/12/29 08:22:40.099, 0, 96, 108.63
2024/12/29 08:22:41.099, 0, 96, 116.39
2024/12/29 08:22:42.099, 0, 96, 107.63
2024/12/29 08:22:43.100, 0, 96, 117.98
2024/12/29 08:22:44.100, 0, 96, 107.32
2024/12/29 08:22:45.100, 0, 96, 111.84
2024/12/29 08:22:46.100, 0, 96, 104.84
2024/12/29 08:22:47.100, 0, 96, 113.85
2024/12/29 08:22:48.100, 0, 96, 104.92
2024/12/29 08:22:49.100, 0, 96, 114.81
2024/12/29 08:22:50.101, 0, 96, 108.16
2024/12/29 08:22:51.101, 0, 96, 106.39
2024/12/29 08:22:52.101, 0, 96, 114.59
2024/12/29 08:22:53.101, 0, 96, 113.19
2024/12/29 08:22:54.101, 0, 96, 104.81
2024/12/29 08:22:55.101, 0, 96, 110.65
2024/12/29 08:22:56.101, 0, 96, 119.75
2024/12/29 08:22:57.102, 0, 96, 117.37
2024/12/29 08:22:58.102, 0, 96, 108.36
2024/12/29 08:22:59.102, 0, 95, 109.65
2024/12/29 08:23:00.102, 0, 96, 110.01
2024/12/29 08:23:01.102, 0, 96, 113.68
2024/12/29 08:23:02.102, 0, 96, 121.03
2024/12/29 08:23:03.103, 0, 96, 107.43
2024/12/29 08:23:04.103, 0, 96, 112.50
2024/12/29 08:23:05.103, 0, 96, 107.63
2024/12/29 08:23:06.103, 0, 96, 117.67
2024/12/29 08:23:07.103, 0, 96, 112.64
2024/12/29 08:23:08.103, 0, 96, 105.17
2024/12/29 08:23:09.103, 0, 96, 115.57
2024/12/29 08:23:10.104, 0, 96, 119.24
2024/12/29 08:23:11.104, 0, 96, 121.67
2024/12/29 08:23:12.104, 0, 96, 109.88
2024/12/29 08:23:13.104, 0, 96, 113.25
2024/12/29 08:23:14.104, 0, 96, 119.03
2024/12/29 08:23:15.104, 0, 96, 120.90
2024/12/29 08:23:16.104, 0, 96, 108.50
2024/12/29 08:23:17.105, 0, 96, 109.87
2024/12/29 08:23:18.105, 0, 96, 120.62
2024/12/29 08:23:19.105, 0, 96, 111.97
2024/12/29 08:23:20.105, 0, 96, 113.72
2024/12/29 08:23:21.105, 0, 96, 117.41
2024/12/29 08:23:22.105, 0, 96, 108.31
2024/12/29 08:23:23.105, 0, 96, 121.59
2024/12/29 08:23:24.106, 0, 96, 116.18
2024/12/29 08:23:25.106, 0, 96, 109.89
2024/12/29 08:23:26.106, 0, 96, 126.24
2024/12/29 08:23:27.106, 0, 96, 108.51
2024/12/29 08:23:28.106, 0, 96, 120.52
2024/12/29 08:23:29.106, 0, 96, 108.35
2024/12/29 08:23:30.107, 0, 96, 110.51
2024/12/29 08:23:31.107, 0, 96, 115.22
