file_name,total_time_seconds,average_power_watts,total_energy_joules
gpu_monitor_topp_0.3_run_1.csv,623,110.42,68788.75
gpu_monitor_topp_0.3_run_2.csv,624,111.03,69281.9
gpu_monitor_topp_0.3_run_3.csv,622,110.88,68968.76
gpu_monitor_topp_0.3_run_4.csv,618,111.22,68736.77
gpu_monitor_topp_0.3_run_5.csv,618,111.54,68930.72
gpu_monitor_topp_0.5_run_1.csv,622,110.84,68941.06
gpu_monitor_topp_0.5_run_2.csv,616,111.53,68700.73
gpu_monitor_topp_0.5_run_3.csv,623,110.54,68866.08
gpu_monitor_topp_0.5_run_4.csv,616,111.07,68417.63
gpu_monitor_topp_0.5_run_5.csv,623,111.15,69245.31
gpu_monitor_topp_0.7_run_1.csv,620,111.25,68972.48
gpu_monitor_topp_0.7_run_2.csv,617,111.67,68898.95
gpu_monitor_topp_0.7_run_3.csv,617,111.49,68788.27
gpu_monitor_topp_0.7_run_4.csv,617,111.51,68801.87
gpu_monitor_topp_0.7_run_5.csv,618,111.66,69003.35
gpu_monitor_topp_0.8_run_1.csv,621,111.07,68976.81
gpu_monitor_topp_0.8_run_2.csv,628,110.28,69258.98
gpu_monitor_topp_0.8_run_3.csv,618,111.84,69116.61
gpu_monitor_topp_0.8_run_4.csv,623,111.01,69158.45
gpu_monitor_topp_0.8_run_5.csv,622,111.02,69054.0
gpu_monitor_topp_0.9_run_1.csv,616,110.94,68340.86
gpu_monitor_topp_0.9_run_2.csv,611,111.76,68283.5
gpu_monitor_topp_0.9_run_3.csv,616,110.99,68369.31
gpu_monitor_topp_0.9_run_4.csv,610,111.98,68305.17
gpu_monitor_topp_0.9_run_5.csv,611,111.45,68094.33
gpu_monitor_topp_0.95_run_1.csv,610,111.34,67918.27
gpu_monitor_topp_0.95_run_2.csv,611,111.55,68155.83
gpu_monitor_topp_0.95_run_3.csv,611,111.51,68130.46
gpu_monitor_topp_0.95_run_4.csv,617,111.06,68525.34
gpu_monitor_topp_0.95_run_5.csv,619,110.35,68307.12
