file_name,total_time_seconds,average_power_watts,total_energy_joules
gpu_monitor_typical_0.2_run_1.csv,620,109.7,68014.02
gpu_monitor_typical_0.2_run_2.csv,621,109.47,67982.32
gpu_monitor_typical_0.2_run_3.csv,621,109.44,67963.07
gpu_monitor_typical_0.2_run_4.csv,627,108.83,68237.74
gpu_monitor_typical_0.2_run_5.csv,626,109.02,68247.2
gpu_monitor_typical_0.5_run_1.csv,626,109.54,68573.92
gpu_monitor_typical_0.5_run_2.csv,626,109.36,68456.58
gpu_monitor_typical_0.5_run_3.csv,624,109.65,68421.96
gpu_monitor_typical_0.5_run_4.csv,624,109.51,68336.11
gpu_monitor_typical_0.5_run_5.csv,633,108.27,68536.11
gpu_monitor_typical_0.8_run_1.csv,632,108.88,68812.74
gpu_monitor_typical_0.8_run_2.csv,627,109.21,68477.77
gpu_monitor_typical_0.8_run_3.csv,635,108.53,68919.25
gpu_monitor_typical_0.8_run_4.csv,636,108.46,68980.48
gpu_monitor_typical_0.8_run_5.csv,633,108.44,68641.45
gpu_monitor_typical_0.9_run_1.csv,622,109.26,67956.98
gpu_monitor_typical_0.9_run_2.csv,619,109.49,67774.87
gpu_monitor_typical_0.9_run_3.csv,620,109.8,68073.14
gpu_monitor_typical_0.9_run_4.csv,618,109.81,67860.72
gpu_monitor_typical_0.9_run_5.csv,619,109.79,67962.98
gpu_monitor_typical_0.95_run_1.csv,618,109.34,67569.62
gpu_monitor_typical_0.95_run_2.csv,618,109.26,67525.09
gpu_monitor_typical_0.95_run_3.csv,621,109.04,67715.6
gpu_monitor_typical_0.95_run_4.csv,621,109.06,67728.73
gpu_monitor_typical_0.95_run_5.csv,617,109.95,67841.86
