file_name,total_time_seconds,average_power_watts,total_energy_joules
gpu_monitor_beam_4_group_2_run_1.csv,778,102.78,79966.55
gpu_monitor_beam_4_group_2_run_2.csv,783,101.88,79771.76
gpu_monitor_beam_4_group_2_run_3.csv,775,102.37,79339.31
gpu_monitor_beam_4_group_2_run_4.csv,782,102.31,80005.99
gpu_monitor_beam_4_group_2_run_5.csv,773,102.48,79218.16
gpu_monitor_beam_5_group_5_run_1.csv,875,98.22,85939.39
gpu_monitor_beam_5_group_5_run_2.csv,881,97.95,86291.7
gpu_monitor_beam_5_group_5_run_3.csv,879,97.6,85792.13
gpu_monitor_beam_5_group_5_run_4.csv,880,96.95,85317.61
gpu_monitor_beam_5_group_5_run_5.csv,879,97.96,86105.84
gpu_monitor_beam_10_group_2_run_1.csv,917,107.52,98596.8
gpu_monitor_beam_10_group_2_run_2.csv,919,106.97,98305.88
gpu_monitor_beam_10_group_2_run_3.csv,916,107.26,98250.87
gpu_monitor_beam_10_group_2_run_4.csv,922,107.43,99054.67
gpu_monitor_beam_10_group_2_run_5.csv,919,107.31,98615.54
gpu_monitor_beam_10_group_5_run_1.csv,1007,101.46,102171.25
gpu_monitor_beam_10_group_5_run_2.csv,1006,101.09,101692.59
gpu_monitor_beam_10_group_5_run_3.csv,998,102.66,102450.18
gpu_monitor_beam_10_group_5_run_4.csv,1008,102.47,103285.15
gpu_monitor_beam_10_group_5_run_5.csv,1006,101.96,102569.36
