timestamp, index, utilization.gpu [%], power.draw [W]
2024/12/27 23:13:01.869, 0, 0, 37.40
2024/12/27 23:13:02.869, 0, 0, 37.21
2024/12/27 23:13:03.870, 0, 0, 37.09
2024/12/27 23:13:04.870, 0, 0, 37.30
2024/12/27 23:13:05.870, 0, 0, 37.20
2024/12/27 23:13:06.871, 0, 0, 37.09
2024/12/27 23:13:07.871, 0, 0, 37.21
2024/12/27 23:13:08.871, 0, 0, 36.97
2024/12/27 23:13:09.871, 0, 0, 36.69
2024/12/27 23:13:10.871, 0, 0, 37.20
2024/12/27 23:13:11.871, 0, 0, 36.89
2024/12/27 23:13:12.871, 0, 0, 36.99
2024/12/27 23:13:13.872, 0, 0, 36.68
2024/12/27 23:13:14.872, 0, 0, 36.99
2024/12/27 23:13:15.872, 0, 0, 36.89
2024/12/27 23:13:16.872, 0, 0, 37.09
2024/12/27 23:13:17.872, 0, 0, 37.11
2024/12/27 23:13:18.872, 0, 0, 36.80
2024/12/27 23:13:19.872, 0, 0, 36.99
2024/12/27 23:13:20.872, 0, 0, 36.79
2024/12/27 23:13:21.873, 0, 0, 37.21
2024/12/27 23:13:22.873, 0, 0, 36.69
2024/12/27 23:13:23.873, 0, 0, 36.79
2024/12/27 23:13:24.873, 0, 0, 36.79
2024/12/27 23:13:25.873, 0, 0, 37.20
2024/12/27 23:13:26.873, 0, 0, 36.69
2024/12/27 23:13:27.873, 0, 0, 36.77
2024/12/27 23:13:28.873, 0, 85, 37.58
2024/12/27 23:13:29.874, 0, 86, 37.47
2024/12/27 23:13:30.874, 0, 86, 37.68
2024/12/27 23:13:31.874, 0, 82, 37.94
2024/12/27 23:13:32.874, 0, 0, 37.10
2024/12/27 23:13:33.874, 0, 0, 37.10
2024/12/27 23:13:34.875, 0, 0, 37.09
2024/12/27 23:13:35.875, 0, 0, 36.79
2024/12/27 23:13:36.875, 0, 0, 36.78
2024/12/27 23:13:37.875, 0, 0, 36.58
2024/12/27 23:13:38.875, 0, 0, 37.20
2024/12/27 23:13:39.875, 0, 0, 36.68
2024/12/27 23:13:40.876, 0, 0, 36.68
2024/12/27 23:13:41.876, 0, 0, 36.68
2024/12/27 23:13:42.876, 0, 0, 37.10
2024/12/27 23:13:43.876, 0, 0, 36.80
2024/12/27 23:13:44.876, 0, 0, 36.58
2024/12/27 23:13:45.876, 0, 0, 36.89
2024/12/27 23:13:46.876, 0, 0, 37.10
2024/12/27 23:13:47.877, 0, 0, 36.70
2024/12/27 23:13:48.877, 0, 0, 36.68
2024/12/27 23:13:49.877, 0, 0, 36.99
2024/12/27 23:13:50.877, 0, 0, 36.96
2024/12/27 23:13:51.877, 0, 0, 36.70
2024/12/27 23:13:52.877, 0, 0, 36.77
2024/12/27 23:13:53.877, 0, 0, 36.69
