timestamp, index, utilization.gpu [%], power.draw [W]
2024/12/27 21:01:56.790, 0, 0, 39.27
2024/12/27 21:01:57.791, 0, 0, 39.37
2024/12/27 21:01:58.791, 0, 0, 39.17
2024/12/27 21:01:59.791, 0, 0, 39.17
2024/12/27 21:02:00.792, 0, 0, 38.98
2024/12/27 21:02:01.792, 0, 0, 38.98
2024/12/27 21:02:02.792, 0, 0, 38.98
2024/12/27 21:02:03.792, 0, 0, 39.06
2024/12/27 21:02:04.792, 0, 0, 38.67
2024/12/27 21:02:05.792, 0, 0, 38.79
2024/12/27 21:02:06.793, 0, 0, 38.68
2024/12/27 21:02:07.793, 0, 0, 38.78
2024/12/27 21:02:08.793, 0, 0, 38.48
2024/12/27 21:02:09.793, 0, 0, 38.38
2024/12/27 21:02:10.793, 0, 0, 38.17
2024/12/27 21:02:11.793, 0, 0, 38.59
2024/12/27 21:02:12.794, 0, 0, 38.48
2024/12/27 21:02:13.794, 0, 0, 38.18
2024/12/27 21:02:14.794, 0, 0, 38.19
2024/12/27 21:02:15.794, 0, 0, 38.08
2024/12/27 21:02:16.794, 0, 0, 38.19
2024/12/27 21:02:17.794, 0, 0, 38.08
2024/12/27 21:02:18.794, 0, 0, 38.18
2024/12/27 21:02:19.795, 0, 0, 37.98
2024/12/27 21:02:20.795, 0, 0, 37.98
2024/12/27 21:02:21.795, 0, 0, 38.08
2024/12/27 21:02:22.795, 0, 0, 37.99
2024/12/27 21:02:23.795, 0, 73, 38.57
2024/12/27 21:02:24.795, 0, 85, 38.27
2024/12/27 21:02:25.795, 0, 57, 38.57
2024/12/27 21:02:26.796, 0, 0, 37.80
2024/12/27 21:02:27.796, 0, 0, 37.79
2024/12/27 21:02:28.796, 0, 0, 37.79
2024/12/27 21:02:29.796, 0, 0, 37.79
2024/12/27 21:02:30.796, 0, 0, 37.69
2024/12/27 21:02:31.796, 0, 0, 37.69
2024/12/27 21:02:32.797, 0, 0, 37.69
2024/12/27 21:02:33.797, 0, 0, 37.58
2024/12/27 21:02:34.797, 0, 0, 37.69
2024/12/27 21:02:35.797, 0, 0, 37.59
2024/12/27 21:02:36.797, 0, 0, 37.69
2024/12/27 21:02:37.797, 0, 0, 37.68
2024/12/27 21:02:38.797, 0, 0, 37.59
2024/12/27 21:02:39.798, 0, 0, 37.49
2024/12/27 21:02:40.798, 0, 0, 37.49
2024/12/27 21:02:41.798, 0, 0, 37.39
2024/12/27 21:02:42.798, 0, 0, 37.60
2024/12/27 21:02:43.798, 0, 0, 37.69
2024/12/27 21:02:44.798, 0, 0, 37.79
2024/12/27 21:02:45.798, 0, 0, 37.79
2024/12/27 21:02:46.799, 0, 0, 37.69
2024/12/27 21:02:47.799, 0, 0, 37.70
2024/12/27 21:02:48.799, 0, 0, 37.78
2024/12/27 21:02:49.799, 0, 0, 37.59
2024/12/27 21:02:50.799, 0, 0, 37.70
2024/12/27 21:02:51.799, 0, 0, 37.59
2024/12/27 21:02:52.799, 0, 0, 37.69
2024/12/27 21:02:53.800, 0, 0, 37.56
2024/12/27 21:02:54.800, 0, 0, 37.76
2024/12/27 21:02:55.800, 0, 0, 37.64
2024/12/27 21:02:56.801, 0, 0, 37.67
2024/12/27 21:02:57.801, 0, 0, 37.74
2024/12/27 21:02:58.801, 0, 0, 37.69
2024/12/27 21:02:59.801, 0, 0, 37.49
2024/12/27 21:03:00.801, 0, 0, 37.49
2024/12/27 21:03:01.801, 0, 0, 37.69
2024/12/27 21:03:02.801, 0, 0, 37.59
2024/12/27 21:03:03.802, 0, 0, 37.59
2024/12/27 21:03:04.802, 0, 0, 37.49
2024/12/27 21:03:05.802, 0, 0, 37.59
2024/12/27 21:03:06.802, 0, 45, 100.71
2024/12/27 21:03:07.802, 0, 97, 119.71
2024/12/27 21:03:08.802, 0, 97, 113.89
2024/12/27 21:03:09.803, 0, 97, 111.89
2024/12/27 21:03:10.803, 0, 97, 107.28
2024/12/27 21:03:11.803, 0, 97, 116.71
2024/12/27 21:03:12.803, 0, 97, 109.90
2024/12/27 21:03:13.803, 0, 96, 116.84
2024/12/27 21:03:14.803, 0, 97, 111.88
2024/12/27 21:03:15.803, 0, 97, 117.01
2024/12/27 21:03:16.804, 0, 97, 111.63
2024/12/27 21:03:17.804, 0, 96, 110.26
2024/12/27 21:03:18.804, 0, 97, 114.50
2024/12/27 21:03:19.804, 0, 96, 112.35
2024/12/27 21:03:20.804, 0, 96, 106.66
2024/12/27 21:03:21.804, 0, 97, 112.40
2024/12/27 21:03:22.804, 0, 96, 117.07
2024/12/27 21:03:23.805, 0, 96, 109.17
2024/12/27 21:03:24.805, 0, 97, 112.98
2024/12/27 21:03:25.805, 0, 95, 119.27
2024/12/27 21:03:26.805, 0, 96, 106.51
2024/12/27 21:03:27.805, 0, 94, 110.66
2024/12/27 21:03:28.805, 0, 96, 112.94
2024/12/27 21:03:29.805, 0, 97, 110.27
2024/12/27 21:03:30.806, 0, 97, 109.06
2024/12/27 21:03:31.806, 0, 97, 114.47
2024/12/27 21:03:32.806, 0, 96, 118.86
2024/12/27 21:03:33.806, 0, 96, 120.15
2024/12/27 21:03:34.806, 0, 96, 117.87
2024/12/27 21:03:35.806, 0, 96, 104.90
2024/12/27 21:03:36.806, 0, 97, 116.22
2024/12/27 21:03:37.807, 0, 96, 118.49
