timestamp, index, utilization.gpu [%], power.draw [W]
2024/12/27 12:06:43.653, 1, 0, 38.42
2024/12/27 12:06:44.653, 1, 0, 38.32
2024/12/27 12:06:45.654, 1, 0, 38.33
2024/12/27 12:06:46.654, 1, 0, 38.23
2024/12/27 12:06:47.654, 1, 0, 38.23
2024/12/27 12:06:48.654, 1, 0, 38.52
2024/12/27 12:06:49.654, 1, 0, 38.42
2024/12/27 12:06:50.654, 1, 0, 38.42
2024/12/27 12:06:51.654, 1, 0, 38.42
2024/12/27 12:06:52.655, 1, 0, 38.33
2024/12/27 12:06:53.655, 1, 0, 38.33
2024/12/27 12:06:54.655, 1, 0, 38.33
2024/12/27 12:06:55.655, 1, 0, 38.23
2024/12/27 12:06:56.655, 1, 0, 38.33
2024/12/27 12:06:57.655, 1, 0, 38.23
2024/12/27 12:06:58.655, 1, 0, 38.13
2024/12/27 12:06:59.656, 1, 0, 38.13
2024/12/27 12:07:00.656, 1, 0, 38.34
2024/12/27 12:07:01.656, 1, 0, 38.12
2024/12/27 12:07:02.656, 1, 0, 38.33
2024/12/27 12:07:03.656, 1, 0, 38.42
2024/12/27 12:07:04.656, 1, 0, 38.13
2024/12/27 12:07:05.656, 1, 0, 38.42
2024/12/27 12:07:06.656, 1, 0, 38.33
2024/12/27 12:07:07.657, 1, 0, 38.02
2024/12/27 12:07:08.657, 1, 0, 38.42
2024/12/27 12:07:09.657, 1, 0, 38.23
2024/12/27 12:07:10.657, 1, 17, 39.18
2024/12/27 12:07:11.657, 1, 4, 38.99
2024/12/27 12:07:12.657, 1, 26, 38.33
2024/12/27 12:07:13.657, 1, 0, 38.02
2024/12/27 12:07:14.658, 1, 0, 38.32
2024/12/27 12:07:15.658, 1, 0, 38.23
2024/12/27 12:07:16.658, 1, 0, 37.92
2024/12/27 12:07:17.658, 1, 0, 38.23
2024/12/27 12:07:18.658, 1, 0, 38.23
2024/12/27 12:07:19.658, 1, 0, 37.92
2024/12/27 12:07:20.658, 1, 0, 38.31
2024/12/27 12:07:21.658, 1, 0, 37.82
2024/12/27 12:07:22.659, 1, 0, 38.24
2024/12/27 12:07:23.659, 1, 0, 38.12
2024/12/27 12:07:24.659, 1, 0, 37.92
2024/12/27 12:07:25.659, 1, 0, 37.71
2024/12/27 12:07:26.659, 1, 0, 38.12
2024/12/27 12:07:27.659, 1, 0, 38.12
2024/12/27 12:07:28.659, 1, 0, 37.82
2024/12/27 12:07:29.660, 1, 0, 38.02
2024/12/27 12:07:30.660, 1, 0, 38.13
2024/12/27 12:07:31.660, 1, 0, 38.02
2024/12/27 12:07:32.660, 1, 0, 38.02
2024/12/27 12:07:33.660, 1, 0, 38.10
2024/12/27 12:07:34.660, 1, 0, 38.23
2024/12/27 12:07:35.660, 1, 0, 38.02
2024/12/27 12:07:36.660, 1, 0, 38.02
2024/12/27 12:07:37.661, 1, 0, 38.12
2024/12/27 12:07:38.661, 1, 0, 38.02
2024/12/27 12:07:39.661, 1, 0, 38.02
2024/12/27 12:07:40.661, 1, 0, 38.02
2024/12/27 12:07:41.661, 1, 0, 39.31
2024/12/27 12:07:42.661, 1, 0, 37.63
