file_name,total_time_seconds,average_power_watts,total_energy_joules
gpu_monitor_topk_1_run_1.csv,614,110.04,67562.81
gpu_monitor_topk_1_run_2.csv,620,109.67,67992.58
gpu_monitor_topk_1_run_3.csv,615,110.18,67763.3
gpu_monitor_topk_1_run_4.csv,624,108.7,67827.56
gpu_monitor_topk_1_run_5.csv,621,109.22,67827.09
gpu_monitor_topk_5_run_1.csv,615,109.28,67209.75
gpu_monitor_topk_5_run_2.csv,618,108.93,67318.49
gpu_monitor_topk_5_run_3.csv,614,109.73,67377.16
gpu_monitor_topk_5_run_4.csv,615,109.42,67295.03
gpu_monitor_topk_5_run_5.csv,610,109.9,67040.88
gpu_monitor_topk_25_run_1.csv,614,109.98,67525.75
gpu_monitor_topk_25_run_2.csv,615,109.91,67594.27
gpu_monitor_topk_25_run_3.csv,617,109.58,67611.34
gpu_monitor_topk_25_run_4.csv,618,109.62,67742.64
gpu_monitor_topk_25_run_5.csv,614,110.02,67552.12
gpu_monitor_topk_50_run_1.csv,617,109.22,67390.88
gpu_monitor_topk_50_run_2.csv,616,109.6,67511.39
gpu_monitor_topk_50_run_3.csv,610,110.25,67254.83
gpu_monitor_topk_50_run_4.csv,615,109.81,67535.12
gpu_monitor_topk_50_run_5.csv,609,110.24,67137.15
gpu_monitor_topk_100_run_1.csv,615,109.43,67298.5
gpu_monitor_topk_100_run_2.csv,609,110.44,67255.85
gpu_monitor_topk_100_run_3.csv,609,110.12,67064.54
gpu_monitor_topk_100_run_4.csv,608,110.32,67072.2
gpu_monitor_topk_100_run_5.csv,610,110.24,67247.06
gpu_monitor_topk_250_run_1.csv,615,109.37,67260.26
gpu_monitor_topk_250_run_2.csv,617,109.38,67484.98
gpu_monitor_topk_250_run_3.csv,615,109.78,67513.09
gpu_monitor_topk_250_run_4.csv,615,109.44,67302.82
gpu_monitor_topk_250_run_5.csv,610,109.74,66941.5
gpu_monitor_topk_500_run_1.csv,619,109.66,67880.77
gpu_monitor_topk_500_run_2.csv,619,109.54,67803.2
gpu_monitor_topk_500_run_3.csv,615,109.98,67637.19
gpu_monitor_topk_500_run_4.csv,620,109.22,67718.64
gpu_monitor_topk_500_run_5.csv,616,109.77,67618.78
