timestamp, index, utilization.gpu [%], power.draw [W]
2024/12/27 07:39:05.530, 1, 0, 38.62
2024/12/27 07:39:06.531, 1, 0, 38.51
2024/12/27 07:39:07.531, 1, 0, 38.30
2024/12/27 07:39:08.531, 1, 0, 38.29
2024/12/27 07:39:09.531, 1, 0, 38.61
2024/12/27 07:39:10.531, 1, 0, 38.43
2024/12/27 07:39:11.532, 1, 0, 38.33
2024/12/27 07:39:12.532, 1, 0, 38.42
2024/12/27 07:39:13.532, 1, 0, 38.33
2024/12/27 07:39:14.532, 1, 0, 38.42
2024/12/27 07:39:15.532, 1, 0, 38.42
2024/12/27 07:39:16.532, 1, 0, 38.43
2024/12/27 07:39:17.532, 1, 0, 38.02
2024/12/27 07:39:18.533, 1, 0, 38.33
2024/12/27 07:39:19.533, 1, 0, 38.31
2024/12/27 07:39:20.533, 1, 0, 37.92
2024/12/27 07:39:21.533, 1, 0, 38.23
2024/12/27 07:39:22.533, 1, 0, 38.13
2024/12/27 07:39:23.533, 1, 0, 38.13
2024/12/27 07:39:24.533, 1, 0, 38.12
2024/12/27 07:39:25.534, 1, 0, 38.13
2024/12/27 07:39:26.534, 1, 0, 38.12
2024/12/27 07:39:27.534, 1, 0, 38.03
2024/12/27 07:39:28.534, 1, 0, 38.12
2024/12/27 07:39:29.534, 1, 38, 39.18
2024/12/27 07:39:30.534, 1, 25, 39.19
2024/12/27 07:39:31.534, 1, 38, 38.14
2024/12/27 07:39:32.535, 1, 0, 37.82
2024/12/27 07:39:33.535, 1, 0, 37.82
2024/12/27 07:39:34.535, 1, 0, 38.02
2024/12/27 07:39:35.535, 1, 0, 37.93
2024/12/27 07:39:36.535, 1, 0, 37.82
2024/12/27 07:39:37.535, 1, 0, 37.82
2024/12/27 07:39:38.535, 1, 0, 37.82
2024/12/27 07:39:39.536, 1, 0, 37.82
2024/12/27 07:39:40.536, 1, 0, 37.80
2024/12/27 07:39:41.536, 1, 0, 37.71
2024/12/27 07:39:42.536, 1, 0, 37.62
2024/12/27 07:39:43.536, 1, 0, 37.73
2024/12/27 07:39:44.536, 1, 0, 37.71
2024/12/27 07:39:45.536, 1, 0, 37.71
2024/12/27 07:39:46.537, 1, 0, 37.73
2024/12/27 07:39:47.537, 1, 0, 37.71
2024/12/27 07:39:48.537, 1, 0, 37.62
2024/12/27 07:39:49.537, 1, 0, 37.82
2024/12/27 07:39:50.537, 1, 0, 37.73
2024/12/27 07:39:51.537, 1, 0, 37.62
2024/12/27 07:39:52.537, 1, 0, 37.52
2024/12/27 07:39:53.538, 1, 0, 37.52
2024/12/27 07:39:54.538, 1, 0, 37.52
2024/12/27 07:39:55.538, 1, 0, 37.52
2024/12/27 07:39:56.538, 1, 0, 37.62
2024/12/27 07:39:57.538, 1, 0, 37.51
2024/12/27 07:39:58.538, 1, 0, 37.52
2024/12/27 07:39:59.538, 1, 0, 37.52
2024/12/27 07:40:00.539, 1, 0, 37.50
2024/12/27 07:40:01.539, 1, 0, 37.52
2024/12/27 07:40:02.539, 1, 0, 37.62
2024/12/27 07:40:03.539, 1, 0, 37.52
2024/12/27 07:40:04.539, 1, 0, 37.52
2024/12/27 07:40:05.539, 1, 0, 37.52
2024/12/27 07:40:06.539, 1, 0, 37.42
2024/12/27 07:40:07.540, 1, 0, 37.32
2024/12/27 07:40:08.540, 1, 0, 37.51
2024/12/27 07:40:09.540, 1, 0, 37.22
2024/12/27 07:40:10.540, 1, 0, 37.32
2024/12/27 07:40:11.540, 1, 0, 39.01
2024/12/27 07:40:12.540, 1, 52, 37.62
2024/12/27 07:40:13.540, 1, 95, 97.11
2024/12/27 07:40:14.541, 1, 96, 101.95
2024/12/27 07:40:15.541, 1, 96, 105.64
2024/12/27 07:40:16.541, 1, 96, 102.26
2024/12/27 07:40:17.541, 1, 95, 108.46
2024/12/27 07:40:18.541, 1, 96, 105.29
2024/12/27 07:40:19.541, 1, 96, 106.58
2024/12/27 07:40:20.541, 1, 96, 115.23
2024/12/27 07:40:21.542, 1, 96, 106.19
2024/12/27 07:40:22.542, 1, 96, 115.66
2024/12/27 07:40:23.542, 1, 96, 113.83
2024/12/27 07:40:24.542, 1, 96, 106.97
2024/12/27 07:40:25.542, 1, 96, 112.62
2024/12/27 07:40:26.542, 1, 96, 105.75
2024/12/27 07:40:27.543, 1, 96, 103.81
2024/12/27 07:40:28.543, 1, 96, 104.53
2024/12/27 07:40:29.543, 1, 97, 101.05
2024/12/27 07:40:30.543, 1, 96, 116.47
2024/12/27 07:40:31.543, 1, 97, 103.38
2024/12/27 07:40:32.543, 1, 97, 107.25
2024/12/27 07:40:33.543, 1, 96, 110.80
2024/12/27 07:40:34.544, 1, 96, 115.59
2024/12/27 07:40:35.544, 1, 96, 102.07
2024/12/27 07:40:36.544, 1, 96, 104.57
2024/12/27 07:40:37.544, 1, 96, 108.53
2024/12/27 07:40:38.544, 1, 96, 100.42
2024/12/27 07:40:39.544, 1, 96, 105.47
2024/12/27 07:40:40.545, 1, 96, 102.83
2024/12/27 07:40:41.545, 1, 96, 116.20
2024/12/27 07:40:42.545, 1, 96, 103.86
2024/12/27 07:40:43.545, 1, 96, 116.07
2024/12/27 07:40:44.545, 1, 96, 113.34
2024/12/27 07:40:45.545, 1, 94, 107.86
2024/12/27 07:40:46.545, 1, 96, 106.99
2024/12/27 07:40:47.546, 1, 96, 101.91
2024/12/27 07:40:48.546, 1, 96, 100.71
2024/12/27 07:40:49.546, 1, 96, 108.70
2024/12/27 07:40:50.546, 1, 96, 105.48
2024/12/27 07:40:51.546, 1, 96, 105.57
2024/12/27 07:40:52.546, 1, 96, 104.91
2024/12/27 07:40:53.547, 1, 96, 105.05
2024/12/27 07:40:54.547, 1, 96, 116.43
2024/12/27 07:40:55.547, 1, 96, 111.64
2024/12/27 07:40:56.547, 1, 96, 112.89
2024/12/27 07:40:57.547, 1, 96, 106.69
2024/12/27 07:40:58.547, 1, 94, 111.80
2024/12/27 07:40:59.547, 1, 96, 102.91
2024/12/27 07:41:00.548, 1, 96, 108.37
2024/12/27 07:41:01.548, 1, 96, 103.41
2024/12/27 07:41:02.548, 1, 96, 107.34
2024/12/27 07:41:03.548, 1, 96, 105.58
2024/12/27 07:41:04.548, 1, 96, 105.67
2024/12/27 07:41:05.548, 1, 95, 112.46
2024/12/27 07:41:06.548, 1, 95, 103.30
2024/12/27 07:41:07.549, 1, 96, 114.42
2024/12/27 07:41:08.549, 1, 96, 107.84
2024/12/27 07:41:09.549, 1, 96, 103.70
2024/12/27 07:41:10.549, 1, 96, 102.48
2024/12/27 07:41:11.549, 1, 96, 110.00
2024/12/27 07:41:12.549, 1, 96, 102.72
2024/12/27 07:41:13.550, 1, 95, 106.38
2024/12/27 07:41:14.550, 1, 96, 106.78
2024/12/27 07:41:15.550, 1, 95, 113.40
2024/12/27 07:41:16.550, 1, 96, 113.19
2024/12/27 07:41:17.550, 1, 96, 101.48
2024/12/27 07:41:18.550, 1, 96, 102.82
2024/12/27 07:41:19.550, 1, 96, 103.25
2024/12/27 07:41:20.551, 1, 96, 113.57
2024/12/27 07:41:21.551, 1, 96, 104.87
2024/12/27 07:41:22.551, 1, 96, 110.21
2024/12/27 07:41:23.551, 1, 96, 110.01
2024/12/27 07:41:24.551, 1, 96, 109.47
2024/12/27 07:41:25.551, 1, 95, 108.02
2024/12/27 07:41:26.551, 1, 95, 108.47
2024/12/27 07:41:27.552, 1, 95, 112.52
2024/12/27 07:41:28.552, 1, 95, 105.41
2024/12/27 07:41:29.552, 1, 95, 103.93
2024/12/27 07:41:30.552, 1, 95, 111.35
2024/12/27 07:41:31.552, 1, 96, 107.52
2024/12/27 07:41:32.552, 1, 96, 109.91
2024/12/27 07:41:33.553, 1, 96, 113.85
2024/12/27 07:41:34.553, 1, 96, 108.67
2024/12/27 07:41:35.553, 1, 96, 115.91
2024/12/27 07:41:36.553, 1, 96, 104.07
2024/12/27 07:41:37.553, 1, 95, 110.53
2024/12/27 07:41:38.553, 1, 96, 111.86
2024/12/27 07:41:39.554, 1, 96, 112.60
2024/12/27 07:41:40.554, 1, 96, 103.88
2024/12/27 07:41:41.554, 1, 96, 103.46
2024/12/27 07:41:42.554, 1, 96, 110.56
2024/12/27 07:41:43.554, 1, 96, 107.75
2024/12/27 07:41:44.554, 1, 96, 109.20
2024/12/27 07:41:45.554, 1, 95, 108.91
2024/12/27 07:41:46.555, 1, 95, 109.43
2024/12/27 07:41:47.555, 1, 95, 108.55
2024/12/27 07:41:48.555, 1, 95, 108.22
2024/12/27 07:41:49.555, 1, 96, 103.42
2024/12/27 07:41:50.555, 1, 96, 110.84
2024/12/27 07:41:51.555, 1, 96, 103.79
2024/12/27 07:41:52.555, 1, 96, 106.74
2024/12/27 07:41:53.556, 1, 96, 106.74
2024/12/27 07:41:54.556, 1, 96, 107.61
2024/12/27 07:41:55.556, 1, 96, 135.44
2024/12/27 07:41:56.556, 1, 96, 103.41
2024/12/27 07:41:57.556, 1, 95, 110.35
2024/12/27 07:41:58.556, 1, 95, 106.53
2024/12/27 07:41:59.556, 1, 95, 112.86
2024/12/27 07:42:00.557, 1, 96, 104.75
2024/12/27 07:42:01.557, 1, 96, 103.41
2024/12/27 07:42:02.557, 1, 96, 107.40
2024/12/27 07:42:03.557, 1, 96, 103.44
