timestamp, index, utilization.gpu [%], power.draw [W]
2024/12/27 05:40:14.379, 0, 0, 37.70
2024/12/27 05:40:15.380, 0, 0, 37.48
2024/12/27 05:40:16.380, 0, 0, 37.50
2024/12/27 05:40:17.380, 0, 0, 37.50
2024/12/27 05:40:18.380, 0, 0, 37.40
2024/12/27 05:40:19.380, 0, 0, 37.59
2024/12/27 05:40:20.380, 0, 0, 37.59
2024/12/27 05:40:21.380, 0, 0, 37.49
2024/12/27 05:40:22.381, 0, 0, 37.30
2024/12/27 05:40:23.381, 0, 0, 37.39
2024/12/27 05:40:24.381, 0, 0, 37.59
2024/12/27 05:40:25.381, 0, 0, 37.30
2024/12/27 05:40:26.381, 0, 0, 37.39
2024/12/27 05:40:27.381, 0, 0, 37.50
2024/12/27 05:40:28.381, 0, 0, 37.31
2024/12/27 05:40:29.382, 0, 0, 37.30
2024/12/27 05:40:30.382, 0, 0, 37.59
2024/12/27 05:40:31.382, 0, 0, 37.60
2024/12/27 05:40:32.382, 0, 0, 37.60
2024/12/27 05:40:33.382, 0, 0, 37.49
2024/12/27 05:40:34.382, 0, 0, 37.49
2024/12/27 05:40:35.382, 0, 0, 37.69
2024/12/27 05:40:36.383, 0, 0, 37.59
2024/12/27 05:40:37.383, 0, 0, 37.49
2024/12/27 05:40:38.383, 0, 0, 37.49
2024/12/27 05:40:39.383, 0, 0, 37.78
2024/12/27 05:40:40.383, 0, 0, 37.58
2024/12/27 05:40:41.383, 0, 74, 37.60
2024/12/27 05:40:42.383, 0, 0, 38.52
2024/12/27 05:40:43.384, 0, 81, 38.16
2024/12/27 05:40:44.384, 0, 53, 38.23
2024/12/27 05:40:45.384, 0, 0, 37.59
2024/12/27 05:40:46.384, 0, 0, 37.59
2024/12/27 05:40:47.384, 0, 0, 37.40
2024/12/27 05:40:48.384, 0, 0, 37.49
2024/12/27 05:40:49.384, 0, 0, 37.59
2024/12/27 05:40:50.385, 0, 0, 37.39
2024/12/27 05:40:51.385, 0, 93, 98.55
2024/12/27 05:40:52.385, 0, 93, 102.15
2024/12/27 05:40:53.385, 0, 92, 96.89
2024/12/27 05:40:54.385, 0, 92, 97.99
2024/12/27 05:40:55.385, 0, 92, 97.11
2024/12/27 05:40:56.385, 0, 92, 96.49
2024/12/27 05:40:57.386, 0, 92, 102.96
2024/12/27 05:40:58.386, 0, 92, 97.26
2024/12/27 05:40:59.386, 0, 93, 93.04
2024/12/27 05:41:00.386, 0, 93, 98.49
2024/12/27 05:41:01.386, 0, 92, 97.88
2024/12/27 05:41:02.386, 0, 92, 109.56
2024/12/27 05:41:03.386, 0, 92, 101.03
2024/12/27 05:41:04.387, 0, 93, 96.39
2024/12/27 05:41:05.387, 0, 93, 89.87
2024/12/27 05:41:06.387, 0, 92, 98.39
2024/12/27 05:41:07.387, 0, 93, 99.61
2024/12/27 05:41:08.387, 0, 89, 100.05
2024/12/27 05:41:09.387, 0, 92, 92.31
2024/12/27 05:41:10.387, 0, 92, 91.48
2024/12/27 05:41:11.388, 0, 92, 106.35
2024/12/27 05:41:12.388, 0, 93, 95.13
2024/12/27 05:41:13.388, 0, 92, 97.40
2024/12/27 05:41:14.388, 0, 92, 91.23
2024/12/27 05:41:15.388, 0, 92, 87.36
2024/12/27 05:41:16.388, 0, 92, 97.88
2024/12/27 05:41:17.388, 0, 92, 97.91
2024/12/27 05:41:18.389, 0, 92, 99.55
2024/12/27 05:41:19.389, 0, 90, 99.87
2024/12/27 05:41:20.389, 0, 92, 96.29
2024/12/27 05:41:21.389, 0, 93, 95.80
2024/12/27 05:41:22.389, 0, 92, 99.06
2024/12/27 05:41:23.389, 0, 93, 94.41
2024/12/27 05:41:24.389, 0, 92, 97.44
2024/12/27 05:41:25.389, 0, 92, 89.35
2024/12/27 05:41:26.390, 0, 93, 98.62
2024/12/27 05:41:27.390, 0, 92, 98.84
2024/12/27 05:41:28.390, 0, 93, 87.68
