file_name,total_time_seconds,average_power_watts,total_energy_joules
gpu_monitor_beam_4_group_2_run_1.csv,635,112.32,71320.14
gpu_monitor_beam_4_group_2_run_2.csv,635,111.05,70516.86
gpu_monitor_beam_4_group_2_run_3.csv,635,111.29,70672.08
gpu_monitor_beam_4_group_2_run_4.csv,635,110.18,69963.03
gpu_monitor_beam_4_group_2_run_5.csv,635,110.5,70169.51
gpu_monitor_beam_5_group_5_run_1.csv,751,109.0,81859.57
gpu_monitor_beam_5_group_5_run_2.csv,751,110.0,82607.66
gpu_monitor_beam_5_group_5_run_3.csv,759,107.8,81822.14
gpu_monitor_beam_5_group_5_run_4.csv,750,108.46,81343.78
gpu_monitor_beam_5_group_5_run_5.csv,756,107.93,81595.3
gpu_monitor_beam_10_group_2_run_1.csv,901,122.38,110263.79
gpu_monitor_beam_10_group_2_run_2.csv,900,122.66,110396.56
gpu_monitor_beam_10_group_2_run_3.csv,901,123.01,110833.39
gpu_monitor_beam_10_group_2_run_4.csv,904,123.17,111349.01
gpu_monitor_beam_10_group_2_run_5.csv,904,122.58,110815.9
gpu_monitor_beam_10_group_5_run_1.csv,974,118.84,115748.2
gpu_monitor_beam_10_group_5_run_2.csv,979,117.86,115387.48
gpu_monitor_beam_10_group_5_run_3.csv,974,118.46,115384.25
gpu_monitor_beam_10_group_5_run_4.csv,974,118.66,115572.12
gpu_monitor_beam_10_group_5_run_5.csv,977,118.74,116007.8
