timestamp, index, utilization.gpu [%], power.draw [W]
2024/12/26 07:04:48.684, 1, 0, 38.53
2024/12/26 07:04:49.684, 1, 0, 38.45
2024/12/26 07:04:50.684, 1, 0, 38.53
2024/12/26 07:04:51.685, 1, 0, 38.45
2024/12/26 07:04:52.685, 1, 0, 38.35
2024/12/26 07:04:53.685, 1, 0, 38.34
2024/12/26 07:04:54.685, 1, 0, 38.06
2024/12/26 07:04:55.685, 1, 0, 38.04
2024/12/26 07:04:56.685, 1, 0, 38.04
2024/12/26 07:04:57.685, 1, 0, 37.95
2024/12/26 07:04:58.685, 1, 0, 37.93
2024/12/26 07:04:59.686, 1, 0, 37.95
2024/12/26 07:05:00.686, 1, 0, 37.84
2024/12/26 07:05:01.686, 1, 0, 37.85
2024/12/26 07:05:02.686, 1, 0, 37.95
2024/12/26 07:05:03.686, 1, 0, 37.74
2024/12/26 07:05:04.686, 1, 0, 37.85
2024/12/26 07:05:05.686, 1, 0, 37.95
2024/12/26 07:05:06.687, 1, 0, 37.74
2024/12/26 07:05:07.687, 1, 0, 37.74
2024/12/26 07:05:08.687, 1, 0, 37.85
2024/12/26 07:05:09.687, 1, 0, 37.75
2024/12/26 07:05:10.687, 1, 0, 37.74
2024/12/26 07:05:11.687, 1, 0, 37.74
2024/12/26 07:05:12.687, 1, 0, 37.74
2024/12/26 07:05:13.687, 1, 0, 37.95
2024/12/26 07:05:14.688, 1, 0, 37.95
2024/12/26 07:05:15.688, 1, 0, 37.85
2024/12/26 07:05:16.688, 1, 22, 38.62
2024/12/26 07:05:17.688, 1, 1, 38.24
2024/12/26 07:05:18.688, 1, 31, 37.93
2024/12/26 07:05:19.688, 1, 33, 38.52
2024/12/26 07:05:20.688, 1, 31, 38.42
2024/12/26 07:05:21.689, 1, 0, 37.86
2024/12/26 07:05:22.689, 1, 0, 37.88
2024/12/26 07:05:23.689, 1, 0, 37.88
2024/12/26 07:05:24.689, 1, 0, 37.88
2024/12/26 07:05:25.690, 1, 0, 37.97
2024/12/26 07:05:26.690, 1, 0, 37.74
2024/12/26 07:05:27.690, 1, 84, 103.25
2024/12/26 07:05:28.690, 1, 95, 104.93
2024/12/26 07:05:29.690, 1, 94, 106.56
2024/12/26 07:05:30.690, 1, 95, 140.18
2024/12/26 07:05:31.691, 1, 95, 104.46
2024/12/26 07:05:32.691, 1, 95, 106.16
2024/12/26 07:05:33.691, 1, 95, 109.16
2024/12/26 07:05:34.691, 1, 95, 109.86
2024/12/26 07:05:35.691, 1, 97, 107.44
2024/12/26 07:05:36.691, 1, 95, 111.95
2024/12/26 07:05:37.691, 1, 95, 110.86
2024/12/26 07:05:38.692, 1, 95, 108.34
2024/12/26 07:05:39.692, 1, 95, 106.02
2024/12/26 07:05:40.692, 1, 95, 107.30
2024/12/26 07:05:41.692, 1, 95, 109.63
2024/12/26 07:05:42.692, 1, 96, 105.60
2024/12/26 07:05:43.692, 1, 95, 108.48
2024/12/26 07:05:44.693, 1, 95, 107.41
2024/12/26 07:05:45.693, 1, 95, 107.95
2024/12/26 07:05:46.693, 1, 95, 107.33
2024/12/26 07:05:47.693, 1, 95, 113.59
2024/12/26 07:05:48.693, 1, 95, 108.24
2024/12/26 07:05:49.693, 1, 95, 107.06
2024/12/26 07:05:50.693, 1, 95, 107.41
2024/12/26 07:05:51.694, 1, 95, 109.24
2024/12/26 07:05:52.694, 1, 95, 109.53
2024/12/26 07:05:53.694, 1, 95, 108.51
2024/12/26 07:05:54.694, 1, 95, 106.70
2024/12/26 07:05:55.694, 1, 95, 107.21
2024/12/26 07:05:56.694, 1, 95, 160.52
2024/12/26 07:05:57.695, 1, 95, 107.75
2024/12/26 07:05:58.695, 1, 95, 111.39
2024/12/26 07:05:59.695, 1, 95, 103.93
2024/12/26 07:06:00.695, 1, 94, 106.11
2024/12/26 07:06:01.695, 1, 95, 107.06
