timestamp, index, utilization.gpu [%], power.draw [W]
2024/12/26 03:42:23.980, 0, 0, 37.98
2024/12/26 03:42:24.982, 0, 0, 37.87
2024/12/26 03:42:25.982, 0, 0, 37.99
2024/12/26 03:42:26.983, 0, 0, 38.08
2024/12/26 03:42:27.983, 0, 0, 38.19
2024/12/26 03:42:28.983, 0, 0, 38.18
2024/12/26 03:42:29.983, 0, 0, 38.18
2024/12/26 03:42:30.983, 0, 0, 37.98
2024/12/26 03:42:31.983, 0, 0, 38.08
2024/12/26 03:42:32.983, 0, 0, 38.07
2024/12/26 03:42:33.983, 0, 0, 37.98
2024/12/26 03:42:34.984, 0, 0, 37.89
2024/12/26 03:42:35.984, 0, 0, 38.07
2024/12/26 03:42:36.984, 0, 0, 37.98
2024/12/26 03:42:37.984, 0, 0, 37.89
2024/12/26 03:42:38.984, 0, 0, 37.98
2024/12/26 03:42:39.984, 0, 0, 37.59
2024/12/26 03:42:40.984, 0, 0, 37.89
2024/12/26 03:42:41.984, 0, 0, 37.89
2024/12/26 03:42:42.984, 0, 0, 37.90
2024/12/26 03:42:43.984, 0, 0, 37.89
2024/12/26 03:42:44.984, 0, 0, 37.78
2024/12/26 03:42:45.985, 0, 33, 38.23
2024/12/26 03:42:46.985, 0, 5, 37.88
2024/12/26 03:42:47.985, 0, 34, 38.26
2024/12/26 03:42:48.985, 0, 34, 38.47
2024/12/26 03:42:49.985, 0, 35, 38.34
2024/12/26 03:42:50.985, 0, 0, 37.80
2024/12/26 03:42:51.985, 0, 0, 37.79
2024/12/26 03:42:52.986, 0, 0, 37.69
2024/12/26 03:42:53.986, 0, 0, 37.71
2024/12/26 03:42:54.986, 0, 0, 37.65
2024/12/26 03:42:55.986, 0, 0, 37.85
2024/12/26 03:42:56.986, 0, 95, 108.43
2024/12/26 03:42:57.986, 0, 95, 110.97
2024/12/26 03:42:58.986, 0, 95, 114.34
2024/12/26 03:42:59.986, 0, 95, 108.17
2024/12/26 03:43:00.986, 0, 95, 113.24
2024/12/26 03:43:01.987, 0, 95, 113.22
2024/12/26 03:43:02.987, 0, 95, 108.32
2024/12/26 03:43:03.987, 0, 95, 110.14
2024/12/26 03:43:04.987, 0, 95, 104.95
2024/12/26 03:43:05.987, 0, 98, 104.90
2024/12/26 03:43:06.987, 0, 94, 111.07
2024/12/26 03:43:07.987, 0, 95, 107.33
2024/12/26 03:43:08.987, 0, 95, 105.39
2024/12/26 03:43:09.988, 0, 95, 109.06
2024/12/26 03:43:10.988, 0, 94, 146.23
2024/12/26 03:43:11.988, 0, 95, 111.75
2024/12/26 03:43:12.988, 0, 95, 112.52
2024/12/26 03:43:13.988, 0, 95, 114.29
2024/12/26 03:43:14.988, 0, 95, 113.75
2024/12/26 03:43:15.988, 0, 95, 113.06
2024/12/26 03:43:16.988, 0, 95, 109.10
2024/12/26 03:43:17.989, 0, 94, 113.19
2024/12/26 03:43:18.989, 0, 95, 110.55
2024/12/26 03:43:19.989, 0, 95, 158.40
2024/12/26 03:43:20.989, 0, 95, 105.61
2024/12/26 03:43:21.989, 0, 95, 111.42
2024/12/26 03:43:22.989, 0, 95, 111.92
2024/12/26 03:43:23.989, 0, 94, 112.60
2024/12/26 03:43:24.990, 0, 95, 112.85
2024/12/26 03:43:25.990, 0, 95, 111.34
2024/12/26 03:43:26.990, 0, 95, 107.74
2024/12/26 03:43:27.990, 0, 95, 110.89
2024/12/26 03:43:28.990, 0, 95, 112.06
2024/12/26 03:43:29.990, 0, 95, 112.84
2024/12/26 03:43:30.990, 0, 97, 111.17
2024/12/26 03:43:31.990, 0, 95, 109.21
2024/12/26 03:43:32.991, 0, 95, 110.27
2024/12/26 03:43:33.991, 0, 95, 113.40
2024/12/26 03:43:34.991, 0, 95, 106.85
2024/12/26 03:43:35.991, 0, 95, 108.90
2024/12/26 03:43:36.991, 0, 95, 112.33
2024/12/26 03:43:37.991, 0, 93, 111.18
2024/12/26 03:43:38.991, 0, 95, 110.37
2024/12/26 03:43:39.991, 0, 95, 113.18
2024/12/26 03:43:40.992, 0, 95, 106.61
2024/12/26 03:43:41.992, 0, 94, 111.93
2024/12/26 03:43:42.992, 0, 95, 103.55
2024/12/26 03:43:43.992, 0, 95, 110.65
2024/12/26 03:43:44.992, 0, 95, 109.66
2024/12/26 03:43:45.992, 0, 95, 110.24
2024/12/26 03:43:46.992, 0, 95, 109.71
2024/12/26 03:43:47.992, 0, 95, 113.40
2024/12/26 03:43:48.993, 0, 95, 114.72
2024/12/26 03:43:49.993, 0, 95, 109.72
2024/12/26 03:43:50.993, 0, 95, 116.33
2024/12/26 03:43:51.993, 0, 95, 104.46
2024/12/26 03:43:52.993, 0, 95, 164.44
2024/12/26 03:43:53.993, 0, 94, 112.16
2024/12/26 03:43:54.993, 0, 94, 87.80
2024/12/26 03:43:55.993, 0, 95, 112.87
2024/12/26 03:43:56.994, 0, 95, 109.33
2024/12/26 03:43:57.994, 0, 95, 113.82
2024/12/26 03:43:58.994, 0, 95, 104.34
2024/12/26 03:43:59.994, 0, 94, 105.27
2024/12/26 03:44:00.994, 0, 95, 114.19
2024/12/26 03:44:01.994, 0, 95, 110.59
2024/12/26 03:44:02.994, 0, 95, 108.66
2024/12/26 03:44:03.994, 0, 95, 108.21
2024/12/26 03:44:04.995, 0, 95, 142.38
2024/12/26 03:44:05.995, 0, 95, 109.58
2024/12/26 03:44:06.995, 0, 95, 106.37
2024/12/26 03:44:07.995, 0, 94, 110.66
2024/12/26 03:44:08.995, 0, 95, 113.55
2024/12/26 03:44:09.995, 0, 95, 104.61
2024/12/26 03:44:10.995, 0, 95, 108.80
2024/12/26 03:44:11.995, 0, 95, 108.90
2024/12/26 03:44:12.995, 0, 95, 113.99
2024/12/26 03:44:13.996, 0, 95, 107.68
2024/12/26 03:44:14.996, 0, 95, 105.81
2024/12/26 03:44:15.996, 0, 95, 109.54
2024/12/26 03:44:16.996, 0, 95, 114.83
2024/12/26 03:44:17.996, 0, 95, 112.34
2024/12/26 03:44:18.996, 0, 95, 107.88
2024/12/26 03:44:19.996, 0, 95, 104.49
2024/12/26 03:44:20.997, 0, 95, 113.93
2024/12/26 03:44:21.997, 0, 94, 105.50
2024/12/26 03:44:22.997, 0, 95, 105.91
2024/12/26 03:44:23.997, 0, 95, 111.03
2024/12/26 03:44:24.997, 0, 95, 112.25
2024/12/26 03:44:25.997, 0, 95, 106.27
2024/12/26 03:44:26.997, 0, 95, 111.14
2024/12/26 03:44:27.998, 0, 94, 108.22
2024/12/26 03:44:28.998, 0, 95, 111.67
2024/12/26 03:44:29.998, 0, 95, 111.77
2024/12/26 03:44:30.998, 0, 95, 110.64
