file_name,total_time_seconds,average_power_watts,total_energy_joules
gpu_monitor_topp_0.3_run_1.csv,451,109.99,49606.23
gpu_monitor_topp_0.3_run_2.csv,447,110.27,49291.28
gpu_monitor_topp_0.3_run_3.csv,451,110.34,49762.28
gpu_monitor_topp_0.3_run_4.csv,451,109.0,49157.61
gpu_monitor_topp_0.3_run_5.csv,453,109.95,49809.2
gpu_monitor_topp_0.5_run_1.csv,440,111.01,48845.14
gpu_monitor_topp_0.5_run_2.csv,440,110.98,48832.82
gpu_monitor_topp_0.5_run_3.csv,441,110.68,48807.89
gpu_monitor_topp_0.5_run_4.csv,440,111.15,48904.83
gpu_monitor_topp_0.5_run_5.csv,446,110.1,49104.94
gpu_monitor_topp_0.7_run_1.csv,450,109.44,49249.89
gpu_monitor_topp_0.7_run_2.csv,449,110.79,49746.65
gpu_monitor_topp_0.7_run_3.csv,448,111.29,49859.75
gpu_monitor_topp_0.7_run_4.csv,445,110.39,49124.79
gpu_monitor_topp_0.7_run_5.csv,449,109.14,49002.15
gpu_monitor_topp_0.8_run_1.csv,449,110.88,49786.26
gpu_monitor_topp_0.8_run_2.csv,449,110.29,49519.48
gpu_monitor_topp_0.8_run_3.csv,450,109.82,49419.38
gpu_monitor_topp_0.8_run_4.csv,449,110.54,49631.04
gpu_monitor_topp_0.8_run_5.csv,453,109.28,49504.91
gpu_monitor_topp_0.9_run_1.csv,453,110.01,49836.26
gpu_monitor_topp_0.9_run_2.csv,451,110.96,50043.36
gpu_monitor_topp_0.9_run_3.csv,451,110.82,49981.25
gpu_monitor_topp_0.9_run_4.csv,453,111.54,50526.36
gpu_monitor_topp_0.9_run_5.csv,454,110.4,50119.74
gpu_monitor_topp_0.95_run_1.csv,450,109.32,49196.06
gpu_monitor_topp_0.95_run_2.csv,447,109.15,48788.6
gpu_monitor_topp_0.95_run_3.csv,451,108.89,49109.45
gpu_monitor_topp_0.95_run_4.csv,447,110.3,49302.95
gpu_monitor_topp_0.95_run_5.csv,446,110.73,49385.15
