timestamp, index, utilization.gpu [%], power.draw [W]
2024/12/25 23:10:25.387, 0, 0, 36.80
2024/12/25 23:10:26.388, 0, 0, 36.82
2024/12/25 23:10:27.388, 0, 0, 36.82
2024/12/25 23:10:28.388, 0, 0, 36.71
2024/12/25 23:10:29.388, 0, 0, 36.72
2024/12/25 23:10:30.389, 0, 0, 36.82
2024/12/25 23:10:31.389, 0, 0, 36.81
2024/12/25 23:10:32.389, 0, 0, 37.01
2024/12/25 23:10:33.389, 0, 0, 36.92
2024/12/25 23:10:34.389, 0, 0, 36.72
2024/12/25 23:10:35.389, 0, 0, 36.61
2024/12/25 23:10:36.389, 0, 0, 37.00
2024/12/25 23:10:37.390, 0, 0, 37.01
2024/12/25 23:10:38.390, 0, 0, 36.61
2024/12/25 23:10:39.390, 0, 0, 36.92
2024/12/25 23:10:40.390, 0, 0, 37.01
2024/12/25 23:10:41.390, 0, 0, 37.01
2024/12/25 23:10:42.390, 0, 0, 37.01
2024/12/25 23:10:43.390, 0, 0, 36.92
2024/12/25 23:10:44.390, 0, 0, 37.00
2024/12/25 23:10:45.391, 0, 0, 36.91
2024/12/25 23:10:46.391, 0, 0, 36.61
2024/12/25 23:10:47.391, 0, 0, 36.71
2024/12/25 23:10:48.391, 0, 31, 37.31
2024/12/25 23:10:49.391, 0, 27, 37.20
2024/12/25 23:10:50.391, 0, 0, 37.00
2024/12/25 23:10:51.391, 0, 27, 37.00
2024/12/25 23:10:52.392, 0, 35, 36.60
2024/12/25 23:10:53.392, 0, 0, 36.62
2024/12/25 23:10:54.392, 0, 0, 36.68
2024/12/25 23:10:55.392, 0, 0, 36.80
2024/12/25 23:10:56.392, 0, 0, 36.62
2024/12/25 23:10:57.392, 0, 0, 36.83
2024/12/25 23:10:58.392, 0, 0, 36.81
2024/12/25 23:10:59.393, 0, 21, 165.40
2024/12/25 23:11:00.393, 0, 95, 101.17
2024/12/25 23:11:01.393, 0, 96, 111.42
2024/12/25 23:11:02.393, 0, 95, 158.77
2024/12/25 23:11:03.393, 0, 95, 108.35
2024/12/25 23:11:04.393, 0, 96, 107.67
2024/12/25 23:11:05.393, 0, 95, 110.88
2024/12/25 23:11:06.393, 0, 95, 104.24
2024/12/25 23:11:07.394, 0, 96, 107.09
2024/12/25 23:11:08.394, 0, 96, 108.40
2024/12/25 23:11:09.394, 0, 96, 109.41
2024/12/25 23:11:10.394, 0, 95, 102.08
2024/12/25 23:11:11.394, 0, 95, 110.51
2024/12/25 23:11:12.394, 0, 96, 110.23
2024/12/25 23:11:13.394, 0, 95, 111.73
2024/12/25 23:11:14.394, 0, 96, 111.42
2024/12/25 23:11:15.394, 0, 97, 109.79
2024/12/25 23:11:16.395, 0, 95, 108.65
2024/12/25 23:11:17.395, 0, 95, 111.32
2024/12/25 23:11:18.395, 0, 95, 112.00
2024/12/25 23:11:19.395, 0, 96, 113.19
2024/12/25 23:11:20.395, 0, 96, 112.36
2024/12/25 23:11:21.395, 0, 96, 112.16
2024/12/25 23:11:22.395, 0, 95, 112.26
2024/12/25 23:11:23.395, 0, 96, 115.01
2024/12/25 23:11:24.395, 0, 96, 109.28
2024/12/25 23:11:25.396, 0, 96, 109.74
2024/12/25 23:11:26.396, 0, 95, 114.11
2024/12/25 23:11:27.396, 0, 96, 110.89
2024/12/25 23:11:28.396, 0, 96, 102.37
2024/12/25 23:11:29.396, 0, 95, 110.47
2024/12/25 23:11:30.396, 0, 96, 107.05
2024/12/25 23:11:31.396, 0, 98, 104.28
2024/12/25 23:11:32.396, 0, 95, 112.86
2024/12/25 23:11:33.396, 0, 95, 111.24
2024/12/25 23:11:34.397, 0, 96, 113.40
2024/12/25 23:11:35.397, 0, 95, 109.91
2024/12/25 23:11:36.397, 0, 95, 111.17
2024/12/25 23:11:37.397, 0, 96, 112.39
2024/12/25 23:11:38.397, 0, 95, 108.11
2024/12/25 23:11:39.397, 0, 96, 106.46
2024/12/25 23:11:40.397, 0, 96, 109.87
2024/12/25 23:11:41.397, 0, 96, 104.58
2024/12/25 23:11:42.397, 0, 96, 111.42
2024/12/25 23:11:43.398, 0, 96, 113.69
2024/12/25 23:11:44.398, 0, 95, 111.77
2024/12/25 23:11:45.398, 0, 95, 104.81
2024/12/25 23:11:46.398, 0, 96, 112.76
2024/12/25 23:11:47.398, 0, 95, 108.07
2024/12/25 23:11:48.398, 0, 96, 114.50
2024/12/25 23:11:49.398, 0, 95, 105.36
2024/12/25 23:11:50.398, 0, 96, 110.36
2024/12/25 23:11:51.398, 0, 95, 168.79
2024/12/25 23:11:52.399, 0, 95, 106.67
2024/12/25 23:11:53.399, 0, 95, 106.88
2024/12/25 23:11:54.399, 0, 96, 110.45
2024/12/25 23:11:55.399, 0, 96, 166.38
2024/12/25 23:11:56.399, 0, 96, 113.80
2024/12/25 23:11:57.399, 0, 96, 106.56
2024/12/25 23:11:58.399, 0, 96, 110.70
2024/12/25 23:11:59.399, 0, 95, 114.40
2024/12/25 23:12:00.400, 0, 95, 105.48
2024/12/25 23:12:01.400, 0, 96, 110.33
2024/12/25 23:12:02.400, 0, 95, 116.22
2024/12/25 23:12:03.400, 0, 95, 104.25
2024/12/25 23:12:04.400, 0, 96, 105.51
2024/12/25 23:12:05.400, 0, 95, 111.56
2024/12/25 23:12:06.400, 0, 96, 111.42
2024/12/25 23:12:07.400, 0, 96, 111.97
2024/12/25 23:12:08.400, 0, 95, 108.85
2024/12/25 23:12:09.401, 0, 95, 107.07
2024/12/25 23:12:10.401, 0, 96, 111.84
2024/12/25 23:12:11.401, 0, 95, 109.89
2024/12/25 23:12:12.401, 0, 95, 110.46
2024/12/25 23:12:13.401, 0, 95, 160.99
2024/12/25 23:12:14.401, 0, 96, 104.11
2024/12/25 23:12:15.401, 0, 96, 112.71
2024/12/25 23:12:16.402, 0, 95, 114.10
2024/12/25 23:12:17.402, 0, 95, 108.56
2024/12/25 23:12:18.402, 0, 96, 111.04
2024/12/25 23:12:19.402, 0, 95, 108.07
2024/12/25 23:12:20.402, 0, 96, 111.46
2024/12/25 23:12:21.402, 0, 95, 102.76
2024/12/25 23:12:22.402, 0, 96, 163.85
2024/12/25 23:12:23.402, 0, 95, 104.78
2024/12/25 23:12:24.402, 0, 96, 107.47
2024/12/25 23:12:25.402, 0, 95, 105.94
2024/12/25 23:12:26.403, 0, 95, 107.39
2024/12/25 23:12:27.403, 0, 95, 102.86
2024/12/25 23:12:28.403, 0, 95, 113.57
2024/12/25 23:12:29.403, 0, 95, 107.47
2024/12/25 23:12:30.403, 0, 95, 107.57
2024/12/25 23:12:31.403, 0, 96, 109.74
2024/12/25 23:12:32.403, 0, 96, 113.17
2024/12/25 23:12:33.403, 0, 96, 110.13
2024/12/25 23:12:34.404, 0, 93, 159.45
2024/12/25 23:12:35.404, 0, 95, 108.28
2024/12/25 23:12:36.404, 0, 96, 104.48
2024/12/25 23:12:37.404, 0, 96, 112.55
2024/12/25 23:12:38.404, 0, 95, 113.03
2024/12/25 23:12:39.404, 0, 95, 111.22
2024/12/25 23:12:40.405, 0, 95, 104.19
2024/12/25 23:12:41.405, 0, 96, 156.33
2024/12/25 23:12:42.405, 0, 95, 106.23
2024/12/25 23:12:43.405, 0, 96, 114.07
2024/12/25 23:12:44.405, 0, 95, 104.98
2024/12/25 23:12:45.405, 0, 95, 118.16
2024/12/25 23:12:46.405, 0, 96, 160.67
2024/12/25 23:12:47.406, 0, 96, 105.60
2024/12/25 23:12:48.406, 0, 95, 113.22
2024/12/25 23:12:49.406, 0, 96, 110.30
2024/12/25 23:12:50.406, 0, 95, 104.84
2024/12/25 23:12:51.406, 0, 95, 103.27
2024/12/25 23:12:52.406, 0, 95, 113.02
2024/12/25 23:12:53.406, 0, 95, 109.46
2024/12/25 23:12:54.406, 0, 96, 109.79
2024/12/25 23:12:55.406, 0, 96, 111.78
2024/12/25 23:12:56.407, 0, 93, 109.72
2024/12/25 23:12:57.407, 0, 96, 112.96
2024/12/25 23:12:58.407, 0, 95, 104.58
2024/12/25 23:12:59.407, 0, 96, 116.93
2024/12/25 23:13:00.407, 0, 95, 104.69
2024/12/25 23:13:01.407, 0, 96, 113.58
2024/12/25 23:13:02.407, 0, 96, 113.76
2024/12/25 23:13:03.407, 0, 95, 107.45
2024/12/25 23:13:04.407, 0, 96, 105.17
2024/12/25 23:13:05.408, 0, 95, 110.03
2024/12/25 23:13:06.408, 0, 95, 109.12
2024/12/25 23:13:07.408, 0, 95, 110.89
2024/12/25 23:13:08.408, 0, 96, 109.38
2024/12/25 23:13:09.408, 0, 96, 113.18
2024/12/25 23:13:10.408, 0, 96, 115.45
2024/12/25 23:13:11.408, 0, 96, 111.96
2024/12/25 23:13:12.408, 0, 95, 111.52
2024/12/25 23:13:13.408, 0, 96, 114.19
2024/12/25 23:13:14.409, 0, 95, 110.28
2024/12/25 23:13:15.409, 0, 96, 105.50
2024/12/25 23:13:16.409, 0, 96, 104.83
2024/12/25 23:13:17.409, 0, 95, 118.61
2024/12/25 23:13:18.409, 0, 95, 111.62
2024/12/25 23:13:19.409, 0, 96, 112.95
2024/12/25 23:13:20.409, 0, 95, 105.90
2024/12/25 23:13:21.409, 0, 95, 113.96
2024/12/25 23:13:22.409, 0, 95, 113.60
2024/12/25 23:13:23.410, 0, 93, 106.83
2024/12/25 23:13:24.410, 0, 95, 113.08
2024/12/25 23:13:25.410, 0, 96, 108.94
2024/12/25 23:13:26.410, 0, 95, 115.62
2024/12/25 23:13:27.410, 0, 95, 156.47
2024/12/25 23:13:28.410, 0, 95, 108.68
2024/12/25 23:13:29.410, 0, 95, 103.78
2024/12/25 23:13:30.410, 0, 95, 114.20
2024/12/25 23:13:31.410, 0, 96, 114.76
2024/12/25 23:13:32.411, 0, 96, 112.48
2024/12/25 23:13:33.411, 0, 95, 112.43
2024/12/25 23:13:34.411, 0, 95, 108.19
2024/12/25 23:13:35.411, 0, 95, 112.11
2024/12/25 23:13:36.411, 0, 96, 106.80
2024/12/25 23:13:37.411, 0, 95, 107.49
2024/12/25 23:13:38.411, 0, 96, 115.25
2024/12/25 23:13:39.411, 0, 96, 103.84
2024/12/25 23:13:40.411, 0, 96, 112.22
2024/12/25 23:13:41.412, 0, 98, 110.12
2024/12/25 23:13:42.412, 0, 95, 109.24
2024/12/25 23:13:43.412, 0, 95, 105.10
2024/12/25 23:13:44.412, 0, 96, 103.81
2024/12/25 23:13:45.412, 0, 96, 106.14
2024/12/25 23:13:46.412, 0, 94, 154.98
2024/12/25 23:13:47.412, 0, 96, 116.81
2024/12/25 23:13:48.412, 0, 96, 112.44
2024/12/25 23:13:49.413, 0, 95, 112.15
2024/12/25 23:13:50.413, 0, 95, 110.43
2024/12/25 23:13:51.413, 0, 95, 116.18
2024/12/25 23:13:52.413, 0, 95, 112.78
2024/12/25 23:13:53.413, 0, 95, 113.96
2024/12/25 23:13:54.413, 0, 96, 108.18
2024/12/25 23:13:55.413, 0, 95, 107.59
2024/12/25 23:13:56.413, 0, 97, 109.76
2024/12/25 23:13:57.414, 0, 95, 113.12
2024/12/25 23:13:58.414, 0, 95, 109.61
2024/12/25 23:13:59.414, 0, 95, 111.19
2024/12/25 23:14:00.414, 0, 94, 104.75
2024/12/25 23:14:01.414, 0, 95, 110.98
2024/12/25 23:14:02.414, 0, 95, 112.32
2024/12/25 23:14:03.414, 0, 95, 109.61
2024/12/25 23:14:04.414, 0, 95, 112.79
2024/12/25 23:14:05.414, 0, 95, 115.68
2024/12/25 23:14:06.415, 0, 96, 114.15
2024/12/25 23:14:07.415, 0, 96, 107.85
2024/12/25 23:14:08.415, 0, 95, 107.28
2024/12/25 23:14:09.415, 0, 96, 112.45
2024/12/25 23:14:10.415, 0, 95, 105.72
2024/12/25 23:14:11.415, 0, 95, 112.52
2024/12/25 23:14:12.415, 0, 95, 113.71
2024/12/25 23:14:13.415, 0, 95, 115.89
2024/12/25 23:14:14.416, 0, 95, 110.52
2024/12/25 23:14:15.416, 0, 96, 110.98
2024/12/25 23:14:16.416, 0, 96, 112.10
2024/12/25 23:14:17.416, 0, 95, 110.60
2024/12/25 23:14:18.416, 0, 95, 138.71
2024/12/25 23:14:19.416, 0, 95, 109.96
2024/12/25 23:14:20.416, 0, 95, 117.17
2024/12/25 23:14:21.416, 0, 95, 111.00
