file_name,total_time_seconds,average_power_watts,total_energy_joules
gpu_monitor_typical_0.2_run_1.csv,436,110.57,48206.41
gpu_monitor_typical_0.2_run_2.csv,432,111.63,48224.13
gpu_monitor_typical_0.2_run_3.csv,436,110.96,48380.32
gpu_monitor_typical_0.2_run_4.csv,435,110.77,48186.99
gpu_monitor_typical_0.2_run_5.csv,436,110.43,48146.35
gpu_monitor_typical_0.5_run_1.csv,463,110.58,51200.01
gpu_monitor_typical_0.5_run_2.csv,463,110.64,51227.67
gpu_monitor_typical_0.5_run_3.csv,459,111.59,51220.75
gpu_monitor_typical_0.5_run_4.csv,462,111.0,51283.22
gpu_monitor_typical_0.5_run_5.csv,463,110.69,51249.22
gpu_monitor_typical_0.8_run_1.csv,467,111.25,51955.98
gpu_monitor_typical_0.8_run_2.csv,467,111.89,52250.4
gpu_monitor_typical_0.8_run_3.csv,466,111.43,51924.26
gpu_monitor_typical_0.8_run_4.csv,465,111.41,51805.19
gpu_monitor_typical_0.8_run_5.csv,470,110.53,51948.82
gpu_monitor_typical_0.9_run_1.csv,445,112.36,50000.48
gpu_monitor_typical_0.9_run_2.csv,445,112.03,49854.17
gpu_monitor_typical_0.9_run_3.csv,447,110.72,49491.79
gpu_monitor_typical_0.9_run_4.csv,444,111.8,49639.75
gpu_monitor_typical_0.9_run_5.csv,448,111.31,49868.44
gpu_monitor_typical_0.95_run_1.csv,450,111.29,50079.36
gpu_monitor_typical_0.95_run_2.csv,447,111.74,49946.79
gpu_monitor_typical_0.95_run_3.csv,447,111.97,50049.49
gpu_monitor_typical_0.95_run_4.csv,451,111.42,50250.96
gpu_monitor_typical_0.95_run_5.csv,446,112.35,50109.57
