timestamp, index, utilization.gpu [%], power.draw [W]
2024/12/31 00:41:09.178, 1, 0, 37.42
2024/12/31 00:41:10.179, 1, 0, 37.81
2024/12/31 00:41:11.179, 1, 0, 37.49
2024/12/31 00:41:12.179, 1, 0, 37.93
2024/12/31 00:41:13.180, 1, 0, 37.82
2024/12/31 00:41:14.180, 1, 0, 37.52
2024/12/31 00:41:15.180, 1, 0, 37.81
2024/12/31 00:41:16.180, 1, 0, 37.82
2024/12/31 00:41:17.180, 1, 0, 37.42
2024/12/31 00:41:18.180, 1, 0, 37.73
2024/12/31 00:41:19.180, 1, 0, 37.43
2024/12/31 00:41:20.181, 1, 0, 37.53
2024/12/31 00:41:21.181, 1, 0, 37.52
2024/12/31 00:41:22.181, 1, 0, 37.82
2024/12/31 00:41:23.181, 1, 0, 37.52
2024/12/31 00:41:24.181, 1, 0, 37.52
2024/12/31 00:41:25.181, 1, 0, 37.42
2024/12/31 00:41:26.181, 1, 0, 37.62
2024/12/31 00:41:27.182, 1, 0, 37.62
2024/12/31 00:41:28.182, 1, 0, 37.60
2024/12/31 00:41:29.182, 1, 0, 37.62
2024/12/31 00:41:30.182, 1, 0, 37.32
2024/12/31 00:41:31.182, 1, 0, 37.32
2024/12/31 00:41:32.182, 1, 0, 37.63
2024/12/31 00:41:33.182, 1, 0, 37.63
2024/12/31 00:41:34.183, 1, 0, 37.82
2024/12/31 00:41:35.183, 1, 0, 37.82
2024/12/31 00:41:36.183, 1, 0, 39.11
2024/12/31 00:41:37.183, 1, 0, 38.80
2024/12/31 00:41:38.183, 1, 39, 38.90
2024/12/31 00:41:39.183, 1, 50, 37.74
2024/12/31 00:41:40.183, 1, 0, 37.52
2024/12/31 00:41:41.184, 1, 0, 37.73
2024/12/31 00:41:42.184, 1, 0, 37.63
2024/12/31 00:41:43.184, 1, 0, 37.63
2024/12/31 00:41:44.184, 1, 0, 37.72
2024/12/31 00:41:45.184, 1, 0, 37.32
2024/12/31 00:41:46.184, 1, 6, 160.74
2024/12/31 00:41:47.184, 1, 88, 84.57
2024/12/31 00:41:48.185, 1, 88, 84.56
2024/12/31 00:41:49.185, 1, 88, 85.34
2024/12/31 00:41:50.185, 1, 88, 97.68
2024/12/31 00:41:51.185, 1, 86, 102.97
2024/12/31 00:41:52.185, 1, 88, 83.20
2024/12/31 00:41:53.185, 1, 86, 160.40
2024/12/31 00:41:54.186, 1, 85, 89.16
2024/12/31 00:41:55.186, 1, 87, 98.07
2024/12/31 00:41:56.186, 1, 86, 150.90
2024/12/31 00:41:57.186, 1, 86, 100.83
2024/12/31 00:41:58.186, 1, 88, 105.26
2024/12/31 00:41:59.186, 1, 88, 105.15
2024/12/31 00:42:00.186, 1, 85, 77.20
2024/12/31 00:42:01.187, 1, 88, 84.00
2024/12/31 00:42:02.187, 1, 86, 148.35
2024/12/31 00:42:03.187, 1, 86, 100.05
2024/12/31 00:42:04.187, 1, 85, 110.61
2024/12/31 00:42:05.187, 1, 85, 81.19
2024/12/31 00:42:06.187, 1, 88, 93.79
2024/12/31 00:42:07.187, 1, 88, 109.41
2024/12/31 00:42:08.188, 1, 88, 104.28
2024/12/31 00:42:09.188, 1, 85, 86.94
2024/12/31 00:42:10.188, 1, 88, 97.88
2024/12/31 00:42:11.188, 1, 85, 100.73
2024/12/31 00:42:12.188, 1, 88, 78.86
2024/12/31 00:42:13.188, 1, 85, 81.61
2024/12/31 00:42:14.188, 1, 85, 104.53
2024/12/31 00:42:15.189, 1, 88, 79.91
2024/12/31 00:42:16.189, 1, 85, 103.82
2024/12/31 00:42:17.189, 1, 86, 93.10
2024/12/31 00:42:18.189, 1, 88, 101.61
2024/12/31 00:42:19.189, 1, 85, 96.86
2024/12/31 00:42:20.189, 1, 88, 107.89
2024/12/31 00:42:21.189, 1, 89, 97.14
2024/12/31 00:42:22.190, 1, 89, 82.66
2024/12/31 00:42:23.190, 1, 89, 100.04
2024/12/31 00:42:24.190, 1, 89, 107.13
2024/12/31 00:42:25.190, 1, 90, 91.62
2024/12/31 00:42:26.190, 1, 87, 94.87
2024/12/31 00:42:27.190, 1, 87, 84.83
2024/12/31 00:42:28.190, 1, 93, 102.45
2024/12/31 00:42:29.191, 1, 85, 103.79
2024/12/31 00:42:30.191, 1, 86, 104.37
2024/12/31 00:42:31.191, 1, 86, 85.75
2024/12/31 00:42:32.191, 1, 88, 95.51
2024/12/31 00:42:33.191, 1, 87, 93.57
2024/12/31 00:42:34.191, 1, 85, 99.38
2024/12/31 00:42:35.192, 1, 85, 90.63
2024/12/31 00:42:36.192, 1, 86, 94.62
2024/12/31 00:42:37.192, 1, 87, 98.72
2024/12/31 00:42:38.192, 1, 85, 94.32
2024/12/31 00:42:39.192, 1, 91, 93.75
2024/12/31 00:42:40.192, 1, 85, 96.09
2024/12/31 00:42:41.192, 1, 87, 89.18
2024/12/31 00:42:42.193, 1, 86, 84.67
2024/12/31 00:42:43.193, 1, 88, 107.95
2024/12/31 00:42:44.193, 1, 85, 87.54
2024/12/31 00:42:45.193, 1, 88, 83.26
2024/12/31 00:42:46.193, 1, 85, 99.44
2024/12/31 00:42:47.193, 1, 86, 101.64
2024/12/31 00:42:48.193, 1, 85, 105.10
2024/12/31 00:42:49.194, 1, 85, 84.14
2024/12/31 00:42:50.194, 1, 88, 109.32
2024/12/31 00:42:51.194, 1, 85, 98.64
2024/12/31 00:42:52.194, 1, 86, 120.95
2024/12/31 00:42:53.194, 1, 86, 80.11
2024/12/31 00:42:54.194, 1, 88, 78.69
2024/12/31 00:42:55.194, 1, 86, 98.21
2024/12/31 00:42:56.195, 1, 84, 107.15
2024/12/31 00:42:57.195, 1, 88, 79.63
2024/12/31 00:42:58.195, 1, 89, 86.54
2024/12/31 00:42:59.195, 1, 85, 102.04
2024/12/31 00:43:00.195, 1, 86, 79.49
2024/12/31 00:43:01.195, 1, 87, 101.74
2024/12/31 00:43:02.195, 1, 87, 102.27
2024/12/31 00:43:03.196, 1, 88, 109.83
2024/12/31 00:43:04.196, 1, 86, 97.48
2024/12/31 00:43:05.196, 1, 86, 154.27
2024/12/31 00:43:06.196, 1, 85, 85.41
2024/12/31 00:43:07.196, 1, 90, 101.07
2024/12/31 00:43:08.196, 1, 85, 96.28
2024/12/31 00:43:09.196, 1, 86, 95.20
2024/12/31 00:43:10.196, 1, 86, 97.92
2024/12/31 00:43:11.197, 1, 87, 84.49
2024/12/31 00:43:12.197, 1, 87, 102.86
2024/12/31 00:43:13.197, 1, 87, 79.67
2024/12/31 00:43:14.197, 1, 88, 98.71
2024/12/31 00:43:15.197, 1, 85, 76.03
2024/12/31 00:43:16.197, 1, 87, 93.53
2024/12/31 00:43:17.197, 1, 85, 104.56
2024/12/31 00:43:18.198, 1, 87, 86.08
2024/12/31 00:43:19.198, 1, 87, 99.37
2024/12/31 00:43:20.198, 1, 89, 113.83
2024/12/31 00:43:21.198, 1, 85, 106.48
2024/12/31 00:43:22.198, 1, 92, 83.15
2024/12/31 00:43:23.198, 1, 88, 104.66
2024/12/31 00:43:24.199, 1, 86, 79.31
2024/12/31 00:43:25.199, 1, 86, 93.88
2024/12/31 00:43:26.199, 1, 90, 86.51
2024/12/31 00:43:27.199, 1, 87, 100.40
2024/12/31 00:43:28.199, 1, 87, 98.69
2024/12/31 00:43:29.199, 1, 87, 80.35
2024/12/31 00:43:30.199, 1, 85, 94.61
2024/12/31 00:43:31.200, 1, 88, 78.51
2024/12/31 00:43:32.200, 1, 87, 107.29
2024/12/31 00:43:33.200, 1, 86, 88.64
2024/12/31 00:43:34.200, 1, 85, 149.85
2024/12/31 00:43:35.200, 1, 87, 91.97
2024/12/31 00:43:36.200, 1, 89, 102.27
2024/12/31 00:43:37.200, 1, 87, 90.96
2024/12/31 00:43:38.201, 1, 85, 106.25
2024/12/31 00:43:39.201, 1, 86, 90.91
2024/12/31 00:43:40.201, 1, 85, 78.76
2024/12/31 00:43:41.201, 1, 91, 85.77
2024/12/31 00:43:42.201, 1, 85, 79.20
2024/12/31 00:43:43.201, 1, 86, 88.93
2024/12/31 00:43:44.202, 1, 87, 78.39
2024/12/31 00:43:45.202, 1, 87, 89.73
2024/12/31 00:43:46.202, 1, 85, 78.67
2024/12/31 00:43:47.202, 1, 87, 100.86
2024/12/31 00:43:48.202, 1, 91, 95.77
2024/12/31 00:43:49.202, 1, 87, 101.38
2024/12/31 00:43:50.202, 1, 85, 89.63
2024/12/31 00:43:51.203, 1, 87, 100.31
2024/12/31 00:43:52.203, 1, 87, 80.26
2024/12/31 00:43:53.203, 1, 85, 99.40
2024/12/31 00:43:54.203, 1, 85, 96.16
2024/12/31 00:43:55.203, 1, 87, 106.70
2024/12/31 00:43:56.203, 1, 87, 93.61
2024/12/31 00:43:57.203, 1, 86, 94.49
2024/12/31 00:43:58.204, 1, 85, 95.72
2024/12/31 00:43:59.204, 1, 89, 80.82
2024/12/31 00:44:00.204, 1, 85, 90.05
2024/12/31 00:44:01.204, 1, 85, 80.78
2024/12/31 00:44:02.204, 1, 87, 143.36
2024/12/31 00:44:03.204, 1, 87, 83.52
2024/12/31 00:44:04.204, 1, 85, 101.79
2024/12/31 00:44:05.205, 1, 85, 101.10
2024/12/31 00:44:06.205, 1, 86, 77.41
2024/12/31 00:44:07.205, 1, 86, 92.81
2024/12/31 00:44:08.205, 1, 86, 92.34
2024/12/31 00:44:09.205, 1, 85, 146.78
2024/12/31 00:44:10.205, 1, 85, 88.19
2024/12/31 00:44:11.205, 1, 88, 103.31
2024/12/31 00:44:12.205, 1, 86, 92.62
2024/12/31 00:44:13.206, 1, 86, 95.22
2024/12/31 00:44:14.206, 1, 86, 92.54
2024/12/31 00:44:15.206, 1, 85, 82.63
2024/12/31 00:44:16.206, 1, 84, 86.60
2024/12/31 00:44:17.206, 1, 87, 158.20
2024/12/31 00:44:18.206, 1, 87, 97.02
2024/12/31 00:44:19.206, 1, 86, 98.54
2024/12/31 00:44:20.207, 1, 89, 95.24
2024/12/31 00:44:21.207, 1, 85, 78.34
2024/12/31 00:44:22.207, 1, 85, 96.25
2024/12/31 00:44:23.207, 1, 85, 85.87
2024/12/31 00:44:24.207, 1, 85, 96.14
2024/12/31 00:44:25.207, 1, 86, 101.74
2024/12/31 00:44:26.207, 1, 85, 85.97
2024/12/31 00:44:27.208, 1, 87, 92.18
2024/12/31 00:44:28.208, 1, 87, 99.44
2024/12/31 00:44:29.208, 1, 87, 79.59
2024/12/31 00:44:30.208, 1, 88, 105.16
2024/12/31 00:44:31.208, 1, 88, 101.18
2024/12/31 00:44:32.208, 1, 89, 97.86
2024/12/31 00:44:33.208, 1, 89, 88.97
2024/12/31 00:44:34.209, 1, 89, 84.69
