timestamp, index, utilization.gpu [%], power.draw [W]
2024/12/30 15:59:02.040, 1, 0, 37.75
2024/12/30 15:59:03.041, 1, 0, 37.75
2024/12/30 15:59:04.041, 1, 0, 37.43
2024/12/30 15:59:05.041, 1, 0, 37.75
2024/12/30 15:59:06.041, 1, 0, 37.83
2024/12/30 15:59:07.041, 1, 0, 37.75
2024/12/30 15:59:08.041, 1, 0, 37.54
2024/12/30 15:59:09.041, 1, 0, 37.44
2024/12/30 15:59:10.041, 1, 0, 37.53
2024/12/30 15:59:11.042, 1, 0, 37.95
2024/12/30 15:59:12.042, 1, 0, 37.74
2024/12/30 15:59:13.042, 1, 0, 37.85
2024/12/30 15:59:14.042, 1, 0, 37.75
2024/12/30 15:59:15.042, 1, 0, 37.74
2024/12/30 15:59:16.042, 1, 0, 37.75
2024/12/30 15:59:17.042, 1, 0, 37.75
2024/12/30 15:59:18.043, 1, 0, 37.74
2024/12/30 15:59:19.043, 1, 0, 37.85
2024/12/30 15:59:20.043, 1, 0, 37.75
2024/12/30 15:59:21.043, 1, 0, 37.75
2024/12/30 15:59:22.043, 1, 0, 37.44
2024/12/30 15:59:23.043, 1, 0, 37.95
2024/12/30 15:59:24.043, 1, 0, 37.75
2024/12/30 15:59:25.044, 1, 0, 37.75
2024/12/30 15:59:26.044, 1, 0, 37.73
2024/12/30 15:59:27.044, 1, 0, 37.65
2024/12/30 15:59:28.044, 1, 0, 37.65
2024/12/30 15:59:29.044, 1, 0, 37.35
2024/12/30 15:59:30.044, 1, 0, 37.54
2024/12/30 15:59:31.044, 1, 0, 39.32
2024/12/30 15:59:32.045, 1, 0, 38.25
2024/12/30 15:59:33.045, 1, 32, 37.53
2024/12/30 15:59:34.045, 1, 37, 37.74
2024/12/30 15:59:35.045, 1, 29, 37.62
2024/12/30 15:59:36.045, 1, 10, 37.64
2024/12/30 15:59:37.045, 1, 0, 37.54
2024/12/30 15:59:38.045, 1, 0, 37.65
2024/12/30 15:59:39.046, 1, 0, 37.65
2024/12/30 15:59:40.046, 1, 0, 37.65
2024/12/30 15:59:41.046, 1, 0, 37.54
2024/12/30 15:59:42.046, 1, 0, 37.75
2024/12/30 15:59:43.046, 1, 0, 37.65
2024/12/30 15:59:44.046, 1, 96, 112.03
2024/12/30 15:59:45.046, 1, 95, 108.96
2024/12/30 15:59:46.046, 1, 95, 109.11
2024/12/30 15:59:47.047, 1, 96, 111.81
2024/12/30 15:59:48.047, 1, 94, 110.56
2024/12/30 15:59:49.047, 1, 96, 112.53
2024/12/30 15:59:50.047, 1, 95, 107.53
2024/12/30 15:59:51.047, 1, 96, 109.84
2024/12/30 15:59:52.047, 1, 96, 110.75
2024/12/30 15:59:53.048, 1, 96, 108.55
2024/12/30 15:59:54.048, 1, 96, 108.53
2024/12/30 15:59:55.048, 1, 96, 110.77
2024/12/30 15:59:56.048, 1, 96, 106.54
2024/12/30 15:59:57.048, 1, 94, 107.14
2024/12/30 15:59:58.048, 1, 96, 109.05
2024/12/30 15:59:59.048, 1, 95, 106.04
2024/12/30 16:00:00.049, 1, 95, 109.94
2024/12/30 16:00:01.049, 1, 96, 107.53
2024/12/30 16:00:02.049, 1, 95, 109.81
2024/12/30 16:00:03.049, 1, 95, 109.97
2024/12/30 16:00:04.049, 1, 95, 110.39
2024/12/30 16:00:05.049, 1, 93, 112.41
2024/12/30 16:00:06.049, 1, 96, 109.75
2024/12/30 16:00:07.050, 1, 96, 109.43
2024/12/30 16:00:08.050, 1, 96, 115.27
2024/12/30 16:00:09.050, 1, 94, 113.46
2024/12/30 16:00:10.050, 1, 95, 110.59
2024/12/30 16:00:11.050, 1, 94, 112.69
2024/12/30 16:00:12.050, 1, 95, 109.78
2024/12/30 16:00:13.050, 1, 95, 112.34
2024/12/30 16:00:14.050, 1, 96, 111.58
2024/12/30 16:00:15.051, 1, 96, 112.66
2024/12/30 16:00:16.051, 1, 95, 110.65
2024/12/30 16:00:17.051, 1, 95, 108.45
2024/12/30 16:00:18.051, 1, 96, 110.60
2024/12/30 16:00:19.051, 1, 96, 110.68
2024/12/30 16:00:20.051, 1, 95, 110.18
2024/12/30 16:00:21.051, 1, 94, 105.74
2024/12/30 16:00:22.052, 1, 93, 108.48
2024/12/30 16:00:23.052, 1, 96, 108.16
2024/12/30 16:00:24.052, 1, 96, 113.32
2024/12/30 16:00:25.052, 1, 95, 110.26
2024/12/30 16:00:26.052, 1, 96, 110.77
2024/12/30 16:00:27.052, 1, 95, 108.32
2024/12/30 16:00:28.052, 1, 95, 107.84
2024/12/30 16:00:29.053, 1, 93, 99.87
2024/12/30 16:00:30.053, 1, 90, 113.12
2024/12/30 16:00:31.053, 1, 96, 111.51
2024/12/30 16:00:32.053, 1, 95, 108.58
2024/12/30 16:00:33.053, 1, 96, 112.73
2024/12/30 16:00:34.053, 1, 91, 107.74
2024/12/30 16:00:35.053, 1, 96, 108.93
2024/12/30 16:00:36.054, 1, 95, 110.85
2024/12/30 16:00:37.054, 1, 96, 110.17
2024/12/30 16:00:38.054, 1, 96, 113.46
2024/12/30 16:00:39.054, 1, 96, 105.57
2024/12/30 16:00:40.054, 1, 96, 108.42
2024/12/30 16:00:41.054, 1, 96, 111.00
2024/12/30 16:00:42.054, 1, 95, 110.22
2024/12/30 16:00:43.055, 1, 95, 110.33
2024/12/30 16:00:44.055, 1, 95, 108.13
2024/12/30 16:00:45.055, 1, 95, 110.98
2024/12/30 16:00:46.055, 1, 96, 112.83
2024/12/30 16:00:47.055, 1, 94, 109.94
2024/12/30 16:00:48.055, 1, 96, 108.51
2024/12/30 16:00:49.055, 1, 95, 112.88
2024/12/30 16:00:50.056, 1, 95, 110.96
2024/12/30 16:00:51.056, 1, 95, 109.14
2024/12/30 16:00:52.056, 1, 94, 112.89
2024/12/30 16:00:53.056, 1, 95, 109.92
2024/12/30 16:00:54.056, 1, 94, 108.79
2024/12/30 16:00:55.056, 1, 96, 107.77
2024/12/30 16:00:56.056, 1, 96, 106.72
2024/12/30 16:00:57.057, 1, 96, 106.24
2024/12/30 16:00:58.057, 1, 95, 107.94
2024/12/30 16:00:59.057, 1, 95, 111.57
2024/12/30 16:01:00.057, 1, 96, 106.40
2024/12/30 16:01:01.057, 1, 96, 111.41
2024/12/30 16:01:02.057, 1, 96, 109.46
2024/12/30 16:01:03.058, 1, 96, 114.36
2024/12/30 16:01:04.058, 1, 95, 110.13
2024/12/30 16:01:05.058, 1, 96, 111.83
2024/12/30 16:01:06.058, 1, 95, 108.61
2024/12/30 16:01:07.058, 1, 96, 110.30
2024/12/30 16:01:08.058, 1, 94, 112.95
2024/12/30 16:01:09.058, 1, 96, 108.52
2024/12/30 16:01:10.059, 1, 95, 115.11
2024/12/30 16:01:11.059, 1, 96, 110.75
2024/12/30 16:01:12.059, 1, 95, 107.51
2024/12/30 16:01:13.059, 1, 96, 110.25
2024/12/30 16:01:14.059, 1, 96, 113.73
2024/12/30 16:01:15.059, 1, 96, 110.98
2024/12/30 16:01:16.059, 1, 94, 111.83
2024/12/30 16:01:17.060, 1, 96, 111.75
2024/12/30 16:01:18.060, 1, 95, 111.09
2024/12/30 16:01:19.060, 1, 96, 117.33
2024/12/30 16:01:20.060, 1, 95, 111.25
2024/12/30 16:01:21.060, 1, 95, 111.07
2024/12/30 16:01:22.060, 1, 95, 109.21
2024/12/30 16:01:23.060, 1, 95, 106.34
2024/12/30 16:01:24.061, 1, 96, 107.07
2024/12/30 16:01:25.061, 1, 94, 105.66
2024/12/30 16:01:26.061, 1, 96, 108.04
2024/12/30 16:01:27.061, 1, 96, 112.16
2024/12/30 16:01:28.061, 1, 96, 110.68
2024/12/30 16:01:29.061, 1, 95, 113.82
2024/12/30 16:01:30.062, 1, 94, 109.98
2024/12/30 16:01:31.062, 1, 95, 111.43
2024/12/30 16:01:32.062, 1, 95, 113.56
2024/12/30 16:01:33.062, 1, 95, 109.21
2024/12/30 16:01:34.062, 1, 95, 112.32
2024/12/30 16:01:35.062, 1, 96, 112.52
2024/12/30 16:01:36.062, 1, 95, 113.49
2024/12/30 16:01:37.063, 1, 96, 111.23
2024/12/30 16:01:38.063, 1, 96, 112.16
2024/12/30 16:01:39.063, 1, 95, 110.88
2024/12/30 16:01:40.063, 1, 95, 111.22
2024/12/30 16:01:41.063, 1, 95, 110.39
2024/12/30 16:01:42.063, 1, 95, 113.52
2024/12/30 16:01:43.063, 1, 95, 109.12
2024/12/30 16:01:44.064, 1, 94, 107.67
2024/12/30 16:01:45.064, 1, 96, 108.51
2024/12/30 16:01:46.064, 1, 96, 110.91
2024/12/30 16:01:47.064, 1, 96, 109.79
2024/12/30 16:01:48.064, 1, 96, 111.58
2024/12/30 16:01:49.064, 1, 95, 107.27
2024/12/30 16:01:50.064, 1, 95, 112.48
2024/12/30 16:01:51.065, 1, 95, 114.43
2024/12/30 16:01:52.065, 1, 95, 121.45
2024/12/30 16:01:53.065, 1, 94, 112.68
2024/12/30 16:01:54.065, 1, 96, 113.75
2024/12/30 16:01:55.065, 1, 95, 112.14
2024/12/30 16:01:56.065, 1, 96, 112.63
2024/12/30 16:01:57.065, 1, 96, 112.90
2024/12/30 16:01:58.066, 1, 95, 113.64
2024/12/30 16:01:59.066, 1, 96, 109.46
2024/12/30 16:02:00.066, 1, 95, 106.49
2024/12/30 16:02:01.066, 1, 95, 107.07
2024/12/30 16:02:02.066, 1, 95, 108.90
2024/12/30 16:02:03.066, 1, 95, 111.87
2024/12/30 16:02:04.067, 1, 96, 109.13
2024/12/30 16:02:05.067, 1, 95, 105.86
2024/12/30 16:02:06.067, 1, 94, 111.46
2024/12/30 16:02:07.067, 1, 96, 113.82
2024/12/30 16:02:08.067, 1, 94, 113.94
2024/12/30 16:02:09.067, 1, 96, 110.04
2024/12/30 16:02:10.067, 1, 95, 109.49
2024/12/30 16:02:11.068, 1, 95, 113.72
2024/12/30 16:02:12.068, 1, 95, 110.93
2024/12/30 16:02:13.068, 1, 96, 112.65
2024/12/30 16:02:14.068, 1, 95, 106.12
2024/12/30 16:02:15.068, 1, 96, 110.83
2024/12/30 16:02:16.068, 1, 95, 113.65
2024/12/30 16:02:17.068, 1, 95, 115.33
2024/12/30 16:02:18.069, 1, 95, 117.70
2024/12/30 16:02:19.069, 1, 96, 112.13
2024/12/30 16:02:20.069, 1, 96, 115.19
2024/12/30 16:02:21.069, 1, 96, 107.74
2024/12/30 16:02:22.069, 1, 95, 113.67
2024/12/30 16:02:23.069, 1, 95, 112.11
2024/12/30 16:02:24.069, 1, 95, 111.53
2024/12/30 16:02:25.070, 1, 96, 113.75
2024/12/30 16:02:26.070, 1, 96, 117.36
2024/12/30 16:02:27.070, 1, 96, 114.51
2024/12/30 16:02:28.070, 1, 95, 113.13
2024/12/30 16:02:29.070, 1, 94, 113.74
2024/12/30 16:02:30.070, 1, 96, 115.22
2024/12/30 16:02:31.070, 1, 95, 110.90
2024/12/30 16:02:32.071, 1, 95, 112.24
2024/12/30 16:02:33.071, 1, 96, 125.49
2024/12/30 16:02:34.071, 1, 95, 111.19
2024/12/30 16:02:35.071, 1, 96, 113.60
2024/12/30 16:02:36.071, 1, 96, 110.93
2024/12/30 16:02:37.071, 1, 96, 119.09
2024/12/30 16:02:38.071, 1, 95, 119.65
2024/12/30 16:02:39.072, 1, 95, 112.91
2024/12/30 16:02:40.072, 1, 95, 111.96
2024/12/30 16:02:41.072, 1, 95, 113.52
2024/12/30 16:02:42.072, 1, 94, 112.32
2024/12/30 16:02:43.072, 1, 96, 112.84
2024/12/30 16:02:44.072, 1, 96, 112.31
2024/12/30 16:02:45.072, 1, 95, 113.85
2024/12/30 16:02:46.072, 1, 95, 116.03
2024/12/30 16:02:47.073, 1, 96, 113.06
2024/12/30 16:02:48.073, 1, 95, 110.15
2024/12/30 16:02:49.073, 1, 95, 112.87
2024/12/30 16:02:50.073, 1, 95, 115.55
2024/12/30 16:02:51.073, 1, 95, 113.56
2024/12/30 16:02:52.073, 1, 95, 112.55
2024/12/30 16:02:53.073, 1, 96, 107.04
2024/12/30 16:02:54.074, 1, 87, 106.08
2024/12/30 16:02:55.074, 1, 88, 103.34
2024/12/30 16:02:56.074, 1, 89, 108.36
2024/12/30 16:02:57.074, 1, 87, 105.85
2024/12/30 16:02:58.074, 1, 87, 96.99
2024/12/30 16:02:59.074, 1, 89, 112.95
2024/12/30 16:03:00.074, 1, 95, 112.60
2024/12/30 16:03:01.075, 1, 95, 108.43
