timestamp, index, utilization.gpu [%], power.draw [W]
2024/12/24 19:02:36.620, 0, 0, 36.20
2024/12/24 19:02:37.621, 0, 0, 36.39
2024/12/24 19:02:38.621, 0, 0, 36.18
2024/12/24 19:02:39.621, 0, 0, 36.68
2024/12/24 19:02:40.621, 0, 0, 36.30
2024/12/24 19:02:41.621, 0, 0, 36.29
2024/12/24 19:02:42.621, 0, 0, 36.20
2024/12/24 19:02:43.621, 0, 0, 36.37
2024/12/24 19:02:44.622, 0, 0, 36.39
2024/12/24 19:02:45.622, 0, 0, 36.58
2024/12/24 19:02:46.622, 0, 0, 36.29
2024/12/24 19:02:47.622, 0, 0, 36.68
2024/12/24 19:02:48.622, 0, 0, 36.30
2024/12/24 19:02:49.622, 0, 0, 36.19
2024/12/24 19:02:50.622, 0, 0, 36.39
2024/12/24 19:02:51.623, 0, 0, 36.30
2024/12/24 19:02:52.623, 0, 0, 36.39
2024/12/24 19:02:53.623, 0, 0, 36.58
2024/12/24 19:02:54.623, 0, 0, 36.56
2024/12/24 19:02:55.623, 0, 0, 36.55
2024/12/24 19:02:56.624, 0, 0, 36.27
2024/12/24 19:02:57.624, 0, 0, 36.37
2024/12/24 19:02:58.624, 0, 0, 36.59
2024/12/24 19:02:59.624, 0, 0, 36.39
2024/12/24 19:03:00.624, 0, 0, 36.58
2024/12/24 19:03:01.625, 0, 0, 36.30
2024/12/24 19:03:02.625, 0, 0, 36.29
2024/12/24 19:03:03.625, 0, 0, 36.58
2024/12/24 19:03:04.626, 0, 0, 36.28
2024/12/24 19:03:05.626, 0, 0, 36.19
2024/12/24 19:03:06.626, 0, 43, 37.58
2024/12/24 19:03:07.626, 0, 19, 37.68
2024/12/24 19:03:08.626, 0, 42, 36.30
2024/12/24 19:03:09.626, 0, 0, 36.38
2024/12/24 19:03:10.626, 0, 0, 36.70
2024/12/24 19:03:11.627, 0, 0, 36.29
2024/12/24 19:03:12.627, 0, 0, 36.60
2024/12/24 19:03:13.627, 0, 0, 36.29
2024/12/24 19:03:14.627, 0, 0, 36.90
2024/12/24 19:03:15.627, 0, 0, 36.58
2024/12/24 19:03:16.627, 0, 0, 36.69
2024/12/24 19:03:17.627, 0, 9, 37.07
2024/12/24 19:03:18.628, 0, 86, 100.19
2024/12/24 19:03:19.628, 0, 87, 102.49
2024/12/24 19:03:20.628, 0, 87, 105.28
2024/12/24 19:03:21.628, 0, 87, 101.41
2024/12/24 19:03:22.628, 0, 85, 100.78
2024/12/24 19:03:23.628, 0, 86, 100.68
2024/12/24 19:03:24.628, 0, 87, 111.63
2024/12/24 19:03:25.629, 0, 87, 102.91
2024/12/24 19:03:26.629, 0, 85, 100.39
2024/12/24 19:03:27.629, 0, 87, 89.42
2024/12/24 19:03:28.629, 0, 87, 99.03
2024/12/24 19:03:29.629, 0, 87, 80.21
2024/12/24 19:03:30.629, 0, 87, 90.16
2024/12/24 19:03:31.630, 0, 87, 95.74
2024/12/24 19:03:32.630, 0, 87, 100.87
2024/12/24 19:03:33.630, 0, 87, 97.28
2024/12/24 19:03:34.630, 0, 86, 100.97
2024/12/24 19:03:35.630, 0, 87, 93.49
2024/12/24 19:03:36.630, 0, 86, 83.66
2024/12/24 19:03:37.630, 0, 86, 102.65
2024/12/24 19:03:38.631, 0, 85, 101.85
2024/12/24 19:03:39.631, 0, 85, 104.89
2024/12/24 19:03:40.631, 0, 87, 97.18
2024/12/24 19:03:41.631, 0, 87, 93.85
2024/12/24 19:03:42.631, 0, 87, 85.75
2024/12/24 19:03:43.631, 0, 87, 91.58
2024/12/24 19:03:44.631, 0, 86, 102.06
2024/12/24 19:03:45.632, 0, 85, 103.42
2024/12/24 19:03:46.632, 0, 87, 87.61
2024/12/24 19:03:47.632, 0, 85, 103.45
2024/12/24 19:03:48.632, 0, 86, 98.48
2024/12/24 19:03:49.632, 0, 86, 101.57
2024/12/24 19:03:50.632, 0, 87, 101.35
2024/12/24 19:03:51.633, 0, 85, 98.91
2024/12/24 19:03:52.633, 0, 87, 99.54
2024/12/24 19:03:53.633, 0, 87, 92.00
2024/12/24 19:03:54.633, 0, 85, 103.96
2024/12/24 19:03:55.633, 0, 86, 106.29
2024/12/24 19:03:56.633, 0, 87, 106.53
2024/12/24 19:03:57.634, 0, 85, 106.43
2024/12/24 19:03:58.634, 0, 85, 100.83
2024/12/24 19:03:59.634, 0, 87, 88.14
2024/12/24 19:04:00.634, 0, 85, 88.35
2024/12/24 19:04:01.634, 0, 87, 104.70
2024/12/24 19:04:02.634, 0, 85, 108.41
2024/12/24 19:04:03.634, 0, 87, 108.60
2024/12/24 19:04:04.635, 0, 87, 103.13
2024/12/24 19:04:05.635, 0, 87, 102.92
2024/12/24 19:04:06.635, 0, 85, 101.01
2024/12/24 19:04:07.635, 0, 87, 109.31
2024/12/24 19:04:08.635, 0, 85, 104.76
2024/12/24 19:04:09.635, 0, 86, 96.82
2024/12/24 19:04:10.636, 0, 86, 91.20
2024/12/24 19:04:11.636, 0, 87, 93.67
2024/12/24 19:04:12.636, 0, 87, 84.53
2024/12/24 19:04:13.636, 0, 87, 108.08
2024/12/24 19:04:14.636, 0, 85, 89.56
2024/12/24 19:04:15.636, 0, 86, 86.02
2024/12/24 19:04:16.636, 0, 87, 102.09
2024/12/24 19:04:17.637, 0, 85, 103.12
2024/12/24 19:04:18.637, 0, 87, 95.12
2024/12/24 19:04:19.637, 0, 86, 103.85
2024/12/24 19:04:20.637, 0, 85, 85.30
2024/12/24 19:04:21.637, 0, 86, 95.06
2024/12/24 19:04:22.637, 0, 85, 101.18
2024/12/24 19:04:23.638, 0, 85, 106.52
2024/12/24 19:04:24.638, 0, 85, 113.42
2024/12/24 19:04:25.638, 0, 86, 88.44
2024/12/24 19:04:26.638, 0, 86, 88.59
2024/12/24 19:04:27.638, 0, 86, 86.40
2024/12/24 19:04:28.638, 0, 87, 87.69
2024/12/24 19:04:29.638, 0, 87, 99.23
2024/12/24 19:04:30.639, 0, 86, 104.11
2024/12/24 19:04:31.639, 0, 85, 89.66
2024/12/24 19:04:32.639, 0, 85, 94.61
2024/12/24 19:04:33.639, 0, 86, 87.11
2024/12/24 19:04:34.639, 0, 87, 95.59
2024/12/24 19:04:35.639, 0, 86, 102.96
2024/12/24 19:04:36.640, 0, 86, 104.14
2024/12/24 19:04:37.640, 0, 87, 101.95
2024/12/24 19:04:38.640, 0, 85, 106.56
2024/12/24 19:04:39.640, 0, 85, 88.00
2024/12/24 19:04:40.640, 0, 86, 84.79
2024/12/24 19:04:41.640, 0, 87, 93.25
2024/12/24 19:04:42.640, 0, 86, 106.51
2024/12/24 19:04:43.641, 0, 86, 106.38
2024/12/24 19:04:44.641, 0, 87, 95.42
2024/12/24 19:04:45.641, 0, 87, 89.53
2024/12/24 19:04:46.641, 0, 87, 114.50
2024/12/24 19:04:47.641, 0, 87, 101.20
2024/12/24 19:04:48.641, 0, 87, 103.95
2024/12/24 19:04:49.642, 0, 87, 109.64
2024/12/24 19:04:50.642, 0, 86, 95.20
2024/12/24 19:04:51.642, 0, 86, 103.82
2024/12/24 19:04:52.642, 0, 87, 89.36
2024/12/24 19:04:53.642, 0, 85, 102.11
2024/12/24 19:04:54.642, 0, 85, 95.43
2024/12/24 19:04:55.643, 0, 86, 95.12
2024/12/24 19:04:56.643, 0, 85, 110.05
2024/12/24 19:04:57.643, 0, 86, 92.19
2024/12/24 19:04:58.643, 0, 87, 81.88
2024/12/24 19:04:59.643, 0, 85, 94.43
2024/12/24 19:05:00.643, 0, 87, 93.72
2024/12/24 19:05:01.643, 0, 87, 106.33
2024/12/24 19:05:02.644, 0, 87, 106.10
2024/12/24 19:05:03.644, 0, 85, 92.28
2024/12/24 19:05:04.644, 0, 87, 85.84
2024/12/24 19:05:05.644, 0, 86, 107.01
2024/12/24 19:05:06.644, 0, 85, 96.15
2024/12/24 19:05:07.644, 0, 85, 98.97
2024/12/24 19:05:08.645, 0, 87, 108.26
2024/12/24 19:05:09.645, 0, 87, 103.51
2024/12/24 19:05:10.645, 0, 85, 84.72
2024/12/24 19:05:11.645, 0, 85, 94.64
2024/12/24 19:05:12.645, 0, 87, 98.82
2024/12/24 19:05:13.645, 0, 87, 103.84
2024/12/24 19:05:14.645, 0, 86, 92.19
2024/12/24 19:05:15.646, 0, 85, 88.20
2024/12/24 19:05:16.646, 0, 84, 101.02
2024/12/24 19:05:17.646, 0, 87, 100.48
2024/12/24 19:05:18.646, 0, 86, 104.35
2024/12/24 19:05:19.646, 0, 86, 100.11
2024/12/24 19:05:20.646, 0, 87, 97.06
2024/12/24 19:05:21.646, 0, 86, 86.51
2024/12/24 19:05:22.647, 0, 87, 102.20
2024/12/24 19:05:23.647, 0, 87, 98.59
2024/12/24 19:05:24.647, 0, 86, 115.81
2024/12/24 19:05:25.647, 0, 85, 87.41
2024/12/24 19:05:26.647, 0, 87, 92.47
2024/12/24 19:05:27.647, 0, 86, 105.11
2024/12/24 19:05:28.648, 0, 88, 80.21
2024/12/24 19:05:29.648, 0, 85, 95.62
2024/12/24 19:05:30.648, 0, 88, 90.12
2024/12/24 19:05:31.648, 0, 85, 86.27
2024/12/24 19:05:32.648, 0, 87, 82.20
2024/12/24 19:05:33.648, 0, 85, 107.16
2024/12/24 19:05:34.649, 0, 86, 111.00
2024/12/24 19:05:35.649, 0, 87, 84.47
2024/12/24 19:05:36.649, 0, 87, 105.19
2024/12/24 19:05:37.649, 0, 84, 103.68
2024/12/24 19:05:38.649, 0, 86, 92.93
2024/12/24 19:05:39.649, 0, 86, 94.47
2024/12/24 19:05:40.649, 0, 87, 85.72
2024/12/24 19:05:41.650, 0, 86, 102.17
2024/12/24 19:05:42.650, 0, 86, 88.71
2024/12/24 19:05:43.650, 0, 87, 100.49
2024/12/24 19:05:44.650, 0, 88, 102.79
2024/12/24 19:05:45.650, 0, 86, 89.33
2024/12/24 19:05:46.650, 0, 86, 106.18
2024/12/24 19:05:47.651, 0, 86, 103.36
2024/12/24 19:05:48.651, 0, 87, 84.68
2024/12/24 19:05:49.651, 0, 86, 96.94
2024/12/24 19:05:50.651, 0, 87, 92.13
2024/12/24 19:05:51.651, 0, 87, 83.10
2024/12/24 19:05:52.651, 0, 86, 103.67
2024/12/24 19:05:53.651, 0, 88, 108.27
2024/12/24 19:05:54.652, 0, 86, 100.74
2024/12/24 19:05:55.652, 0, 87, 83.31
2024/12/24 19:05:56.652, 0, 86, 100.38
2024/12/24 19:05:57.652, 0, 87, 85.80
2024/12/24 19:05:58.652, 0, 86, 106.71
2024/12/24 19:05:59.652, 0, 87, 86.90
2024/12/24 19:06:00.653, 0, 87, 106.56
2024/12/24 19:06:01.653, 0, 87, 89.61
2024/12/24 19:06:02.653, 0, 86, 100.49
2024/12/24 19:06:03.653, 0, 88, 110.48
2024/12/24 19:06:04.653, 0, 85, 90.66
2024/12/24 19:06:05.653, 0, 87, 106.67
2024/12/24 19:06:06.654, 0, 88, 114.01
