file_name,total_time_seconds,average_power_watts,total_energy_joules
gpu_monitor_beam_4_group_2_run_1.csv,541,100.27,54246.93
gpu_monitor_beam_4_group_2_run_2.csv,544,99.88,54335.83
gpu_monitor_beam_4_group_2_run_3.csv,535,100.92,53990.28
gpu_monitor_beam_4_group_2_run_4.csv,540,100.05,54025.09
gpu_monitor_beam_4_group_2_run_5.csv,543,99.94,54269.75
gpu_monitor_beam_5_group_5_run_1.csv,601,94.05,56521.41
gpu_monitor_beam_5_group_5_run_2.csv,596,95.38,56847.05
gpu_monitor_beam_5_group_5_run_3.csv,600,94.96,56976.21
gpu_monitor_beam_5_group_5_run_4.csv,593,94.81,56223.3
gpu_monitor_beam_5_group_5_run_5.csv,600,94.7,56818.04
gpu_monitor_beam_10_group_2_run_1.csv,638,99.93,63755.64
gpu_monitor_beam_10_group_2_run_2.csv,637,100.71,64151.01
gpu_monitor_beam_10_group_2_run_3.csv,636,101.14,64321.92
gpu_monitor_beam_10_group_2_run_4.csv,633,100.22,63438.48
gpu_monitor_beam_10_group_2_run_5.csv,639,99.65,63674.74
gpu_monitor_beam_10_group_5_run_1.csv,666,95.34,63495.27
gpu_monitor_beam_10_group_5_run_2.csv,671,94.46,63384.01
gpu_monitor_beam_10_group_5_run_3.csv,664,95.59,63471.14
gpu_monitor_beam_10_group_5_run_4.csv,672,94.1,63233.87
gpu_monitor_beam_10_group_5_run_5.csv,671,93.7,62874.48
