timestamp, index, utilization.gpu [%], power.draw [W]
2024/12/25 18:04:58.339, 1, 0, 37.52
2024/12/25 18:04:59.340, 1, 0, 37.52
2024/12/25 18:05:00.340, 1, 0, 37.73
2024/12/25 18:05:01.340, 1, 0, 37.42
2024/12/25 18:05:02.340, 1, 0, 37.53
2024/12/25 18:05:03.341, 1, 0, 37.52
2024/12/25 18:05:04.341, 1, 0, 37.43
2024/12/25 18:05:05.341, 1, 0, 37.52
2024/12/25 18:05:06.341, 1, 0, 37.63
2024/12/25 18:05:07.341, 1, 0, 37.52
2024/12/25 18:05:08.341, 1, 0, 37.52
2024/12/25 18:05:09.341, 1, 0, 37.52
2024/12/25 18:05:10.341, 1, 0, 37.62
2024/12/25 18:05:11.342, 1, 0, 37.52
2024/12/25 18:05:12.342, 1, 0, 37.64
2024/12/25 18:05:13.342, 1, 0, 37.52
2024/12/25 18:05:14.342, 1, 0, 37.60
2024/12/25 18:05:15.342, 1, 0, 37.74
2024/12/25 18:05:16.342, 1, 0, 37.52
2024/12/25 18:05:17.342, 1, 0, 37.52
2024/12/25 18:05:18.343, 1, 0, 37.62
2024/12/25 18:05:19.343, 1, 0, 37.52
2024/12/25 18:05:20.343, 1, 0, 37.64
2024/12/25 18:05:21.343, 1, 0, 37.52
2024/12/25 18:05:22.343, 1, 0, 37.53
2024/12/25 18:05:23.343, 1, 0, 37.52
2024/12/25 18:05:24.343, 1, 0, 37.64
2024/12/25 18:05:25.343, 1, 0, 37.61
2024/12/25 18:05:26.344, 1, 3, 38.07
2024/12/25 18:05:27.344, 1, 7, 37.72
2024/12/25 18:05:28.344, 1, 30, 38.40
2024/12/25 18:05:29.344, 1, 30, 38.29
2024/12/25 18:05:30.344, 1, 31, 38.39
2024/12/25 18:05:31.344, 1, 0, 37.53
2024/12/25 18:05:32.344, 1, 0, 37.43
2024/12/25 18:05:33.344, 1, 0, 37.52
2024/12/25 18:05:34.345, 1, 0, 37.64
2024/12/25 18:05:35.345, 1, 0, 37.64
2024/12/25 18:05:36.345, 1, 0, 37.62
2024/12/25 18:05:37.345, 1, 0, 38.03
2024/12/25 18:05:38.345, 1, 0, 37.73
2024/12/25 18:05:39.345, 1, 96, 115.61
2024/12/25 18:05:40.345, 1, 94, 105.26
2024/12/25 18:05:41.346, 1, 97, 115.45
2024/12/25 18:05:42.346, 1, 96, 112.42
2024/12/25 18:05:43.346, 1, 96, 112.39
2024/12/25 18:05:44.346, 1, 96, 114.34
2024/12/25 18:05:45.346, 1, 96, 125.02
