timestamp, index, utilization.gpu [%], power.draw [W]
2024/12/25 19:51:16.426, 1, 0, 37.54
2024/12/25 19:51:17.426, 1, 0, 37.54
2024/12/25 19:51:18.427, 1, 0, 37.52
2024/12/25 19:51:19.427, 1, 0, 37.65
2024/12/25 19:51:20.427, 1, 0, 37.44
2024/12/25 19:51:21.427, 1, 0, 37.64
2024/12/25 19:51:22.427, 1, 0, 37.25
2024/12/25 19:51:23.427, 1, 0, 37.53
2024/12/25 19:51:24.427, 1, 0, 37.54
2024/12/25 19:51:25.428, 1, 0, 37.65
2024/12/25 19:51:26.428, 1, 0, 37.53
2024/12/25 19:51:27.428, 1, 0, 37.54
2024/12/25 19:51:28.428, 1, 0, 37.54
2024/12/25 19:51:29.428, 1, 0, 37.65
2024/12/25 19:51:30.428, 1, 0, 37.65
2024/12/25 19:51:31.428, 1, 0, 37.65
2024/12/25 19:51:32.429, 1, 0, 37.65
2024/12/25 19:51:33.429, 1, 0, 37.64
2024/12/25 19:51:34.429, 1, 0, 37.65
2024/12/25 19:51:35.429, 1, 0, 37.75
2024/12/25 19:51:36.429, 1, 0, 37.65
2024/12/25 19:51:37.429, 1, 0, 37.85
2024/12/25 19:51:38.430, 1, 0, 37.65
2024/12/25 19:51:39.430, 1, 0, 37.65
2024/12/25 19:51:40.430, 1, 0, 37.65
2024/12/25 19:51:41.430, 1, 0, 37.65
2024/12/25 19:51:42.430, 1, 0, 37.75
2024/12/25 19:51:43.430, 1, 0, 37.54
2024/12/25 19:51:44.430, 1, 25, 37.92
2024/12/25 19:51:45.430, 1, 0, 37.83
2024/12/25 19:51:46.431, 1, 29, 37.64
2024/12/25 19:51:47.431, 1, 29, 38.33
2024/12/25 19:51:48.431, 1, 30, 38.33
2024/12/25 19:51:49.431, 1, 0, 37.58
2024/12/25 19:51:50.431, 1, 0, 37.59
2024/12/25 19:51:51.431, 1, 0, 37.78
2024/12/25 19:51:52.432, 1, 0, 37.69
2024/12/25 19:51:53.432, 1, 0, 37.69
2024/12/25 19:51:54.432, 1, 0, 37.68
2024/12/25 19:51:55.432, 1, 0, 37.64
2024/12/25 19:51:56.432, 1, 1, 37.75
2024/12/25 19:51:57.432, 1, 96, 125.39
2024/12/25 19:51:58.433, 1, 96, 116.33
2024/12/25 19:51:59.433, 1, 96, 119.53
2024/12/25 19:52:00.433, 1, 94, 121.21
2024/12/25 19:52:01.433, 1, 94, 143.25
2024/12/25 19:52:02.433, 1, 96, 126.96
2024/12/25 19:52:03.433, 1, 96, 114.35
2024/12/25 19:52:04.433, 1, 95, 117.33
2024/12/25 19:52:05.433, 1, 96, 125.50
2024/12/25 19:52:06.434, 1, 96, 122.62
2024/12/25 19:52:07.434, 1, 97, 117.05
2024/12/25 19:52:08.434, 1, 96, 116.53
2024/12/25 19:52:09.434, 1, 94, 111.67
2024/12/25 19:52:10.434, 1, 96, 117.20
2024/12/25 19:52:11.434, 1, 96, 126.07
2024/12/25 19:52:12.434, 1, 96, 116.87
2024/12/25 19:52:13.435, 1, 97, 118.15
2024/12/25 19:52:14.435, 1, 96, 135.30
2024/12/25 19:52:15.435, 1, 97, 123.39
2024/12/25 19:52:16.435, 1, 96, 117.14
2024/12/25 19:52:17.435, 1, 96, 112.64
2024/12/25 19:52:18.435, 1, 96, 137.33
2024/12/25 19:52:19.435, 1, 97, 116.03
2024/12/25 19:52:20.436, 1, 97, 118.54
2024/12/25 19:52:21.436, 1, 97, 111.38
2024/12/25 19:52:22.436, 1, 97, 111.77
2024/12/25 19:52:23.436, 1, 96, 113.13
2024/12/25 19:52:24.436, 1, 97, 129.22
