timestamp, index, utilization.gpu [%], power.draw [W]
2024/12/25 02:01:53.713, 0, 0, 36.58
2024/12/25 02:01:54.714, 0, 0, 36.59
2024/12/25 02:01:55.714, 0, 0, 36.40
2024/12/25 02:01:56.714, 0, 0, 36.29
2024/12/25 02:01:57.714, 0, 0, 36.58
2024/12/25 02:01:58.715, 0, 0, 36.57
2024/12/25 02:01:59.715, 0, 0, 36.39
2024/12/25 02:02:00.715, 0, 0, 36.58
2024/12/25 02:02:01.715, 0, 0, 36.29
2024/12/25 02:02:02.715, 0, 0, 36.58
2024/12/25 02:02:03.716, 0, 0, 36.59
2024/12/25 02:02:04.716, 0, 0, 36.59
2024/12/25 02:02:05.716, 0, 0, 36.58
2024/12/25 02:02:06.716, 0, 0, 36.68
2024/12/25 02:02:07.716, 0, 0, 36.39
2024/12/25 02:02:08.717, 0, 0, 36.58
2024/12/25 02:02:09.717, 0, 0, 36.58
2024/12/25 02:02:10.717, 0, 0, 36.58
2024/12/25 02:02:11.718, 0, 0, 36.89
2024/12/25 02:02:12.718, 0, 0, 36.69
2024/12/25 02:02:13.718, 0, 0, 36.69
2024/12/25 02:02:14.718, 0, 0, 36.70
2024/12/25 02:02:15.718, 0, 0, 36.39
2024/12/25 02:02:16.718, 0, 0, 36.30
2024/12/25 02:02:17.718, 0, 0, 36.59
2024/12/25 02:02:18.718, 0, 0, 36.58
2024/12/25 02:02:19.719, 0, 0, 36.59
2024/12/25 02:02:20.719, 0, 0, 36.88
2024/12/25 02:02:21.719, 0, 19, 36.78
2024/12/25 02:02:22.719, 0, 33, 36.78
2024/12/25 02:02:23.719, 0, 34, 36.86
2024/12/25 02:02:24.719, 0, 15, 37.53
2024/12/25 02:02:25.719, 0, 0, 36.59
2024/12/25 02:02:26.720, 0, 0, 36.59
2024/12/25 02:02:27.720, 0, 0, 36.30
2024/12/25 02:02:28.720, 0, 0, 36.59
2024/12/25 02:02:29.720, 0, 0, 36.69
2024/12/25 02:02:30.720, 0, 0, 36.40
2024/12/25 02:02:31.720, 0, 0, 36.79
2024/12/25 02:02:32.720, 0, 64, 111.76
2024/12/25 02:02:33.720, 0, 95, 111.14
2024/12/25 02:02:34.721, 0, 95, 112.89
2024/12/25 02:02:35.721, 0, 93, 109.40
2024/12/25 02:02:36.721, 0, 95, 109.24
2024/12/25 02:02:37.721, 0, 95, 109.89
2024/12/25 02:02:38.721, 0, 95, 110.18
2024/12/25 02:02:39.721, 0, 95, 105.51
2024/12/25 02:02:40.721, 0, 95, 109.95
2024/12/25 02:02:41.722, 0, 94, 105.96
2024/12/25 02:02:42.722, 0, 95, 107.25
2024/12/25 02:02:43.722, 0, 95, 103.77
2024/12/25 02:02:44.722, 0, 95, 109.42
2024/12/25 02:02:45.722, 0, 95, 108.95
2024/12/25 02:02:46.722, 0, 95, 112.98
2024/12/25 02:02:47.722, 0, 95, 112.05
2024/12/25 02:02:48.723, 0, 95, 110.17
2024/12/25 02:02:49.723, 0, 95, 105.43
2024/12/25 02:02:50.723, 0, 95, 106.13
2024/12/25 02:02:51.723, 0, 95, 106.68
2024/12/25 02:02:52.723, 0, 95, 105.51
2024/12/25 02:02:53.723, 0, 93, 106.72
2024/12/25 02:02:54.723, 0, 94, 111.59
2024/12/25 02:02:55.724, 0, 94, 106.68
2024/12/25 02:02:56.724, 0, 95, 108.88
2024/12/25 02:02:57.724, 0, 96, 111.44
2024/12/25 02:02:58.724, 0, 95, 113.89
2024/12/25 02:02:59.724, 0, 95, 108.13
2024/12/25 02:03:00.724, 0, 95, 109.65
2024/12/25 02:03:01.724, 0, 95, 117.65
2024/12/25 02:03:02.725, 0, 95, 111.40
2024/12/25 02:03:03.725, 0, 95, 108.73
2024/12/25 02:03:04.725, 0, 95, 109.94
2024/12/25 02:03:05.725, 0, 95, 110.33
2024/12/25 02:03:06.725, 0, 95, 104.99
2024/12/25 02:03:07.725, 0, 95, 108.72
2024/12/25 02:03:08.725, 0, 95, 114.11
2024/12/25 02:03:09.726, 0, 95, 109.60
2024/12/25 02:03:10.726, 0, 95, 106.22
2024/12/25 02:03:11.726, 0, 95, 111.87
2024/12/25 02:03:12.726, 0, 95, 105.31
2024/12/25 02:03:13.726, 0, 96, 110.73
2024/12/25 02:03:14.726, 0, 95, 109.42
2024/12/25 02:03:15.726, 0, 95, 107.56
2024/12/25 02:03:16.727, 0, 94, 111.41
2024/12/25 02:03:17.727, 0, 92, 108.41
2024/12/25 02:03:18.727, 0, 95, 104.67
2024/12/25 02:03:19.727, 0, 95, 112.38
2024/12/25 02:03:20.727, 0, 95, 112.60
2024/12/25 02:03:21.727, 0, 95, 114.92
2024/12/25 02:03:22.727, 0, 95, 110.95
2024/12/25 02:03:23.728, 0, 94, 112.35
2024/12/25 02:03:24.728, 0, 95, 110.89
2024/12/25 02:03:25.728, 0, 95, 111.18
2024/12/25 02:03:26.728, 0, 95, 111.74
2024/12/25 02:03:27.728, 0, 91, 111.25
2024/12/25 02:03:28.728, 0, 94, 109.08
2024/12/25 02:03:29.728, 0, 95, 113.30
2024/12/25 02:03:30.729, 0, 95, 113.83
2024/12/25 02:03:31.729, 0, 95, 109.38
2024/12/25 02:03:32.729, 0, 95, 111.39
2024/12/25 02:03:33.729, 0, 95, 111.74
2024/12/25 02:03:34.729, 0, 95, 110.75
2024/12/25 02:03:35.729, 0, 95, 115.40
2024/12/25 02:03:36.729, 0, 95, 111.14
2024/12/25 02:03:37.730, 0, 95, 113.67
2024/12/25 02:03:38.730, 0, 95, 115.06
2024/12/25 02:03:39.730, 0, 94, 112.17
2024/12/25 02:03:40.730, 0, 95, 113.18
2024/12/25 02:03:41.730, 0, 95, 123.23
2024/12/25 02:03:42.730, 0, 95, 111.98
2024/12/25 02:03:43.730, 0, 95, 107.41
2024/12/25 02:03:44.731, 0, 95, 115.78
2024/12/25 02:03:45.731, 0, 95, 113.68
2024/12/25 02:03:46.731, 0, 95, 113.96
2024/12/25 02:03:47.731, 0, 95, 110.09
2024/12/25 02:03:48.731, 0, 95, 111.69
2024/12/25 02:03:49.731, 0, 95, 106.88
2024/12/25 02:03:50.731, 0, 95, 109.62
2024/12/25 02:03:51.732, 0, 95, 110.80
2024/12/25 02:03:52.732, 0, 95, 114.09
2024/12/25 02:03:53.732, 0, 95, 112.78
2024/12/25 02:03:54.732, 0, 95, 115.33
2024/12/25 02:03:55.732, 0, 95, 105.71
2024/12/25 02:03:56.732, 0, 95, 108.64
2024/12/25 02:03:57.732, 0, 95, 114.95
2024/12/25 02:03:58.733, 0, 95, 111.93
2024/12/25 02:03:59.733, 0, 95, 115.93
2024/12/25 02:04:00.733, 0, 95, 113.09
2024/12/25 02:04:01.733, 0, 95, 106.99
2024/12/25 02:04:02.733, 0, 95, 110.57
2024/12/25 02:04:03.733, 0, 95, 112.97
2024/12/25 02:04:04.733, 0, 94, 99.90
2024/12/25 02:04:05.734, 0, 95, 113.56
2024/12/25 02:04:06.734, 0, 95, 113.50
2024/12/25 02:04:07.734, 0, 95, 110.42
2024/12/25 02:04:08.734, 0, 95, 111.57
2024/12/25 02:04:09.734, 0, 95, 111.77
2024/12/25 02:04:10.734, 0, 94, 108.43
2024/12/25 02:04:11.734, 0, 95, 106.34
2024/12/25 02:04:12.735, 0, 95, 114.69
2024/12/25 02:04:13.735, 0, 95, 113.11
2024/12/25 02:04:14.735, 0, 95, 108.27
2024/12/25 02:04:15.735, 0, 95, 104.59
