timestamp, index, utilization.gpu [%], power.draw [W]
2024/12/25 15:14:55.872, 1, 0, 37.43
2024/12/25 15:14:56.873, 1, 0, 37.52
2024/12/25 15:14:57.873, 1, 0, 37.59
2024/12/25 15:14:58.873, 1, 0, 37.42
2024/12/25 15:14:59.873, 1, 0, 37.23
2024/12/25 15:15:00.873, 1, 0, 37.62
2024/12/25 15:15:01.873, 1, 0, 37.42
2024/12/25 15:15:02.873, 1, 0, 37.33
2024/12/25 15:15:03.874, 1, 0, 37.52
2024/12/25 15:15:04.874, 1, 0, 37.22
2024/12/25 15:15:05.874, 1, 0, 37.82
2024/12/25 15:15:06.874, 1, 0, 37.43
2024/12/25 15:15:07.874, 1, 0, 37.53
2024/12/25 15:15:08.874, 1, 0, 37.53
2024/12/25 15:15:09.875, 1, 0, 37.12
2024/12/25 15:15:10.875, 1, 0, 37.23
2024/12/25 15:15:11.875, 1, 0, 37.32
2024/12/25 15:15:12.875, 1, 0, 37.34
2024/12/25 15:15:13.875, 1, 0, 37.64
2024/12/25 15:15:14.875, 1, 0, 37.63
2024/12/25 15:15:15.875, 1, 0, 37.43
2024/12/25 15:15:16.876, 1, 0, 37.53
2024/12/25 15:15:17.876, 1, 0, 37.42
2024/12/25 15:15:18.876, 1, 0, 37.12
2024/12/25 15:15:19.876, 1, 0, 37.53
2024/12/25 15:15:20.876, 1, 0, 37.32
2024/12/25 15:15:21.876, 1, 0, 37.63
2024/12/25 15:15:22.876, 1, 0, 37.74
2024/12/25 15:15:23.877, 1, 27, 38.09
2024/12/25 15:15:24.877, 1, 0, 37.71
2024/12/25 15:15:25.877, 1, 17, 37.53
2024/12/25 15:15:26.877, 1, 30, 38.09
2024/12/25 15:15:27.877, 1, 30, 38.28
2024/12/25 15:15:28.877, 1, 0, 37.74
2024/12/25 15:15:29.877, 1, 0, 37.33
2024/12/25 15:15:30.878, 1, 0, 37.52
2024/12/25 15:15:31.878, 1, 0, 37.53
2024/12/25 15:15:32.878, 1, 0, 37.74
2024/12/25 15:15:33.878, 1, 0, 37.52
2024/12/25 15:15:34.878, 1, 0, 37.53
2024/12/25 15:15:35.878, 1, 95, 101.36
2024/12/25 15:15:36.878, 1, 95, 102.11
2024/12/25 15:15:37.879, 1, 96, 113.87
2024/12/25 15:15:38.879, 1, 95, 111.97
2024/12/25 15:15:39.879, 1, 96, 107.21
2024/12/25 15:15:40.879, 1, 96, 107.11
2024/12/25 15:15:41.879, 1, 96, 105.49
2024/12/25 15:15:42.879, 1, 95, 109.07
2024/12/25 15:15:43.879, 1, 96, 112.81
2024/12/25 15:15:44.880, 1, 96, 110.43
2024/12/25 15:15:45.880, 1, 95, 106.50
2024/12/25 15:15:46.880, 1, 96, 110.50
2024/12/25 15:15:47.880, 1, 95, 111.33
2024/12/25 15:15:48.880, 1, 95, 109.88
2024/12/25 15:15:49.880, 1, 95, 108.64
2024/12/25 15:15:50.881, 1, 94, 106.91
2024/12/25 15:15:51.881, 1, 96, 110.25
2024/12/25 15:15:52.881, 1, 95, 114.92
2024/12/25 15:15:53.881, 1, 95, 112.70
2024/12/25 15:15:54.881, 1, 96, 111.68
2024/12/25 15:15:55.881, 1, 95, 107.38
2024/12/25 15:15:56.881, 1, 96, 109.15
2024/12/25 15:15:57.881, 1, 96, 108.67
2024/12/25 15:15:58.882, 1, 96, 109.40
2024/12/25 15:15:59.882, 1, 96, 110.33
2024/12/25 15:16:00.882, 1, 95, 108.00
2024/12/25 15:16:01.882, 1, 95, 112.69
2024/12/25 15:16:02.882, 1, 96, 107.54
2024/12/25 15:16:03.882, 1, 96, 108.40
2024/12/25 15:16:04.883, 1, 96, 108.51
2024/12/25 15:16:05.883, 1, 95, 105.76
2024/12/25 15:16:06.883, 1, 96, 112.88
2024/12/25 15:16:07.883, 1, 96, 110.68
2024/12/25 15:16:08.883, 1, 96, 108.69
2024/12/25 15:16:09.883, 1, 94, 113.92
2024/12/25 15:16:10.883, 1, 96, 109.99
2024/12/25 15:16:11.884, 1, 94, 108.74
2024/12/25 15:16:12.884, 1, 96, 108.54
2024/12/25 15:16:13.884, 1, 94, 105.85
2024/12/25 15:16:14.884, 1, 96, 109.46
2024/12/25 15:16:15.884, 1, 96, 109.37
2024/12/25 15:16:16.884, 1, 96, 108.15
2024/12/25 15:16:17.884, 1, 95, 107.09
2024/12/25 15:16:18.884, 1, 96, 109.82
2024/12/25 15:16:19.885, 1, 96, 109.33
2024/12/25 15:16:20.885, 1, 96, 108.00
2024/12/25 15:16:21.885, 1, 95, 111.46
2024/12/25 15:16:22.885, 1, 96, 106.98
2024/12/25 15:16:23.885, 1, 96, 110.34
2024/12/25 15:16:24.885, 1, 95, 109.45
2024/12/25 15:16:25.885, 1, 95, 109.33
2024/12/25 15:16:26.886, 1, 96, 111.29
2024/12/25 15:16:27.886, 1, 96, 109.94
2024/12/25 15:16:28.886, 1, 95, 109.63
2024/12/25 15:16:29.886, 1, 95, 107.93
2024/12/25 15:16:30.886, 1, 96, 105.51
2024/12/25 15:16:31.886, 1, 96, 106.01
2024/12/25 15:16:32.887, 1, 95, 110.43
2024/12/25 15:16:33.887, 1, 95, 105.25
2024/12/25 15:16:34.887, 1, 95, 105.41
2024/12/25 15:16:35.887, 1, 95, 111.29
2024/12/25 15:16:36.887, 1, 94, 111.64
2024/12/25 15:16:37.887, 1, 95, 113.58
2024/12/25 15:16:38.887, 1, 94, 108.36
2024/12/25 15:16:39.887, 1, 96, 112.33
2024/12/25 15:16:40.888, 1, 95, 109.21
