timestamp, index, utilization.gpu [%], power.draw [W]
2024/12/23 19:40:25.839, 0, 0, 36.42
2024/12/23 19:40:26.840, 0, 0, 36.71
2024/12/23 19:40:27.840, 0, 0, 36.71
2024/12/23 19:40:28.840, 0, 0, 36.70
2024/12/23 19:40:29.840, 0, 0, 36.61
2024/12/23 19:40:30.840, 0, 0, 36.41
2024/12/23 19:40:31.840, 0, 0, 36.60
2024/12/23 19:40:32.841, 0, 0, 36.61
2024/12/23 19:40:33.841, 0, 0, 36.72
2024/12/23 19:40:34.841, 0, 0, 36.40
2024/12/23 19:40:35.841, 0, 0, 37.00
2024/12/23 19:40:36.841, 0, 0, 36.40
2024/12/23 19:40:37.841, 0, 0, 36.72
2024/12/23 19:40:38.841, 0, 0, 36.60
2024/12/23 19:40:39.842, 0, 0, 36.60
2024/12/23 19:40:40.842, 0, 0, 36.71
2024/12/23 19:40:41.842, 0, 0, 36.71
2024/12/23 19:40:42.842, 0, 0, 36.72
2024/12/23 19:40:43.842, 0, 0, 36.71
2024/12/23 19:40:44.842, 0, 0, 36.40
2024/12/23 19:40:45.842, 0, 0, 36.91
2024/12/23 19:40:46.843, 0, 0, 36.61
2024/12/23 19:40:47.843, 0, 0, 36.82
2024/12/23 19:40:48.843, 0, 0, 36.71
2024/12/23 19:40:49.843, 0, 0, 36.60
2024/12/23 19:40:50.843, 0, 0, 36.72
2024/12/23 19:40:51.843, 0, 0, 36.40
2024/12/23 19:40:52.843, 0, 0, 36.71
2024/12/23 19:40:53.844, 0, 2, 37.30
2024/12/23 19:40:54.844, 0, 6, 36.80
2024/12/23 19:40:55.844, 0, 34, 37.31
2024/12/23 19:40:56.844, 0, 29, 37.19
2024/12/23 19:40:57.844, 0, 37, 37.40
2024/12/23 19:40:58.844, 0, 0, 36.51
2024/12/23 19:40:59.844, 0, 0, 36.73
2024/12/23 19:41:00.845, 0, 0, 36.62
2024/12/23 19:41:01.845, 0, 0, 36.34
2024/12/23 19:41:02.845, 0, 0, 36.33
2024/12/23 19:41:03.845, 0, 0, 36.61
2024/12/23 19:41:04.846, 0, 0, 36.51
2024/12/23 19:41:05.846, 0, 3, 117.98
2024/12/23 19:41:06.846, 0, 95, 103.07
2024/12/23 19:41:07.846, 0, 95, 103.04
2024/12/23 19:41:08.846, 0, 95, 107.26
2024/12/23 19:41:09.846, 0, 95, 103.72
2024/12/23 19:41:10.846, 0, 95, 106.57
2024/12/23 19:41:11.846, 0, 94, 103.58
2024/12/23 19:41:12.847, 0, 95, 109.09
2024/12/23 19:41:13.847, 0, 95, 112.00
2024/12/23 19:41:14.847, 0, 95, 109.43
2024/12/23 19:41:15.847, 0, 95, 111.30
2024/12/23 19:41:16.847, 0, 95, 110.21
2024/12/23 19:41:17.847, 0, 95, 105.88
2024/12/23 19:41:18.848, 0, 95, 107.38
2024/12/23 19:41:19.848, 0, 95, 109.11
2024/12/23 19:41:20.848, 0, 94, 105.20
