timestamp, index, utilization.gpu [%], power.draw [W]
2024/12/25 05:37:48.762, 1, 0, 37.11
2024/12/25 05:37:49.763, 1, 0, 37.22
2024/12/25 05:37:50.763, 1, 0, 37.10
2024/12/25 05:37:51.763, 1, 0, 37.01
2024/12/25 05:37:52.763, 1, 0, 37.01
2024/12/25 05:37:53.763, 1, 0, 37.11
2024/12/25 05:37:54.763, 1, 0, 37.32
2024/12/25 05:37:55.763, 1, 0, 37.13
2024/12/25 05:37:56.764, 1, 0, 37.22
2024/12/25 05:37:57.764, 1, 0, 37.12
2024/12/25 05:37:58.764, 1, 0, 37.01
2024/12/25 05:37:59.764, 1, 0, 37.03
2024/12/25 05:38:00.764, 1, 0, 37.02
2024/12/25 05:38:01.764, 1, 0, 36.92
2024/12/25 05:38:02.764, 1, 0, 36.92
2024/12/25 05:38:03.764, 1, 0, 36.92
2024/12/25 05:38:04.765, 1, 0, 37.03
2024/12/25 05:38:05.765, 1, 0, 37.03
2024/12/25 05:38:06.765, 1, 0, 36.92
2024/12/25 05:38:07.765, 1, 0, 36.82
2024/12/25 05:38:08.765, 1, 0, 37.01
2024/12/25 05:38:09.765, 1, 0, 37.03
2024/12/25 05:38:10.765, 1, 0, 36.99
2024/12/25 05:38:11.766, 1, 0, 36.92
2024/12/25 05:38:12.766, 1, 0, 36.92
2024/12/25 05:38:13.766, 1, 0, 37.01
2024/12/25 05:38:14.766, 1, 0, 37.01
2024/12/25 05:38:15.766, 1, 23, 37.58
2024/12/25 05:38:16.766, 1, 1, 36.99
2024/12/25 05:38:17.766, 1, 28, 37.02
2024/12/25 05:38:18.766, 1, 31, 37.70
2024/12/25 05:38:19.767, 1, 27, 37.59
2024/12/25 05:38:20.767, 1, 0, 37.13
2024/12/25 05:38:21.767, 1, 0, 36.73
2024/12/25 05:38:22.767, 1, 0, 37.03
2024/12/25 05:38:23.767, 1, 0, 36.72
2024/12/25 05:38:24.767, 1, 0, 36.72
2024/12/25 05:38:25.767, 1, 0, 36.83
2024/12/25 05:38:26.768, 1, 0, 36.82
2024/12/25 05:38:27.768, 1, 20, 37.73
2024/12/25 05:38:28.768, 1, 95, 108.77
2024/12/25 05:38:29.768, 1, 95, 107.67
2024/12/25 05:38:30.768, 1, 95, 107.33
2024/12/25 05:38:31.768, 1, 95, 105.08
2024/12/25 05:38:32.768, 1, 95, 106.79
2024/12/25 05:38:33.769, 1, 95, 104.19
2024/12/25 05:38:34.769, 1, 95, 104.86
2024/12/25 05:38:35.769, 1, 95, 121.00
2024/12/25 05:38:36.769, 1, 95, 108.00
2024/12/25 05:38:37.769, 1, 95, 104.64
2024/12/25 05:38:38.769, 1, 93, 106.73
2024/12/25 05:38:39.769, 1, 95, 102.24
2024/12/25 05:38:40.769, 1, 95, 101.47
2024/12/25 05:38:41.770, 1, 96, 107.29
2024/12/25 05:38:42.770, 1, 95, 105.18
2024/12/25 05:38:43.770, 1, 95, 105.85
2024/12/25 05:38:44.770, 1, 95, 106.61
2024/12/25 05:38:45.770, 1, 95, 108.90
2024/12/25 05:38:46.770, 1, 95, 111.20
2024/12/25 05:38:47.770, 1, 95, 110.36
2024/12/25 05:38:48.771, 1, 95, 108.01
2024/12/25 05:38:49.771, 1, 95, 109.94
2024/12/25 05:38:50.771, 1, 95, 109.02
2024/12/25 05:38:51.771, 1, 95, 108.57
2024/12/25 05:38:52.771, 1, 95, 108.01
2024/12/25 05:38:53.771, 1, 95, 108.44
2024/12/25 05:38:54.771, 1, 95, 103.23
2024/12/25 05:38:55.772, 1, 95, 104.42
2024/12/25 05:38:56.772, 1, 95, 107.58
2024/12/25 05:38:57.772, 1, 94, 104.99
2024/12/25 05:38:58.772, 1, 95, 110.50
2024/12/25 05:38:59.772, 1, 95, 100.84
2024/12/25 05:39:00.772, 1, 95, 115.75
2024/12/25 05:39:01.772, 1, 95, 107.47
2024/12/25 05:39:02.773, 1, 95, 108.35
2024/12/25 05:39:03.773, 1, 95, 107.29
2024/12/25 05:39:04.773, 1, 95, 111.27
2024/12/25 05:39:05.773, 1, 95, 110.76
2024/12/25 05:39:06.773, 1, 95, 105.08
2024/12/25 05:39:07.773, 1, 95, 110.54
2024/12/25 05:39:08.773, 1, 95, 106.28
2024/12/25 05:39:09.774, 1, 95, 107.13
2024/12/25 05:39:10.774, 1, 95, 110.17
2024/12/25 05:39:11.774, 1, 95, 103.26
2024/12/25 05:39:12.774, 1, 95, 105.31
2024/12/25 05:39:13.774, 1, 95, 108.06
2024/12/25 05:39:14.774, 1, 95, 107.46
2024/12/25 05:39:15.774, 1, 95, 110.76
2024/12/25 05:39:16.774, 1, 95, 107.23
2024/12/25 05:39:17.775, 1, 94, 109.08
2024/12/25 05:39:18.775, 1, 95, 111.48
2024/12/25 05:39:19.775, 1, 94, 109.76
2024/12/25 05:39:20.775, 1, 95, 109.37
2024/12/25 05:39:21.775, 1, 95, 108.54
2024/12/25 05:39:22.775, 1, 95, 107.83
2024/12/25 05:39:23.775, 1, 95, 108.11
2024/12/25 05:39:24.776, 1, 93, 108.94
2024/12/25 05:39:25.776, 1, 95, 110.29
2024/12/25 05:39:26.776, 1, 95, 107.45
2024/12/25 05:39:27.776, 1, 95, 104.35
2024/12/25 05:39:28.776, 1, 95, 108.17
2024/12/25 05:39:29.776, 1, 95, 107.44
2024/12/25 05:39:30.776, 1, 95, 103.59
2024/12/25 05:39:31.777, 1, 95, 110.01
2024/12/25 05:39:32.777, 1, 95, 110.76
2024/12/25 05:39:33.777, 1, 95, 113.14
2024/12/25 05:39:34.777, 1, 95, 108.71
2024/12/25 05:39:35.777, 1, 95, 105.75
2024/12/25 05:39:36.777, 1, 95, 108.75
2024/12/25 05:39:37.777, 1, 95, 109.66
2024/12/25 05:39:38.778, 1, 95, 95.93
2024/12/25 05:39:39.778, 1, 95, 108.69
2024/12/25 05:39:40.778, 1, 95, 108.01
2024/12/25 05:39:41.778, 1, 96, 106.86
2024/12/25 05:39:42.778, 1, 95, 107.33
2024/12/25 05:39:43.778, 1, 95, 109.99
2024/12/25 05:39:44.778, 1, 95, 109.16
2024/12/25 05:39:45.778, 1, 95, 110.49
2024/12/25 05:39:46.779, 1, 95, 109.58
2024/12/25 05:39:47.779, 1, 95, 111.40
2024/12/25 05:39:48.779, 1, 94, 109.57
2024/12/25 05:39:49.779, 1, 96, 107.82
2024/12/25 05:39:50.779, 1, 95, 111.85
2024/12/25 05:39:51.779, 1, 95, 105.05
2024/12/25 05:39:52.779, 1, 95, 110.12
2024/12/25 05:39:53.780, 1, 96, 109.83
2024/12/25 05:39:54.780, 1, 96, 110.34
2024/12/25 05:39:55.780, 1, 95, 111.20
2024/12/25 05:39:56.780, 1, 95, 109.10
2024/12/25 05:39:57.780, 1, 95, 108.66
2024/12/25 05:39:58.780, 1, 95, 110.46
2024/12/25 05:39:59.780, 1, 95, 114.16
2024/12/25 05:40:00.780, 1, 95, 104.45
2024/12/25 05:40:01.781, 1, 95, 110.45
2024/12/25 05:40:02.781, 1, 95, 110.59
2024/12/25 05:40:03.781, 1, 95, 111.67
2024/12/25 05:40:04.781, 1, 95, 112.10
2024/12/25 05:40:05.781, 1, 95, 110.88
2024/12/25 05:40:06.781, 1, 95, 109.00
2024/12/25 05:40:07.782, 1, 96, 109.96
2024/12/25 05:40:08.782, 1, 95, 104.87
2024/12/25 05:40:09.782, 1, 95, 112.45
2024/12/25 05:40:10.782, 1, 95, 109.54
2024/12/25 05:40:11.782, 1, 96, 112.01
2024/12/25 05:40:12.782, 1, 95, 109.98
2024/12/25 05:40:13.782, 1, 95, 106.40
2024/12/25 05:40:14.783, 1, 95, 115.78
2024/12/25 05:40:15.783, 1, 96, 108.75
2024/12/25 05:40:16.783, 1, 95, 109.22
2024/12/25 05:40:17.783, 1, 95, 112.76
2024/12/25 05:40:18.783, 1, 95, 110.07
2024/12/25 05:40:19.783, 1, 95, 110.96
2024/12/25 05:40:20.783, 1, 95, 109.63
2024/12/25 05:40:21.784, 1, 95, 105.00
2024/12/25 05:40:22.784, 1, 95, 109.99
2024/12/25 05:40:23.784, 1, 95, 110.35
2024/12/25 05:40:24.784, 1, 95, 108.89
2024/12/25 05:40:25.784, 1, 94, 110.49
2024/12/25 05:40:26.784, 1, 95, 110.02
2024/12/25 05:40:27.784, 1, 95, 110.57
2024/12/25 05:40:28.785, 1, 96, 111.88
2024/12/25 05:40:29.785, 1, 95, 105.05
